"Name","TeamAbbreviation","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Dyson Daniels","ATL",746,1615,253,102,176,0.5795454545454546,8,39,0.20512820512820512,0.20512820512820512,25,126,78,24,0,0.6176470588235294,0.6702127659574468,1,0.1813953488372093,0.5721934883720929,0.5302325581395348,0.55,16,11,0.0625,0,0,14.939360529217199
"Mikal Bridges","NYK",736,1472,364,98,160,0.6125,48,110,0.43636363636363634,0.43636363636363634,24,158,38,144,0,0.8061224489795918,0.8315789473684211,1,0.4074074074074074,0.5688503703703706,0.6296296296296297,0.6453900709219859,6,8,0.05,0,0,17.904191616766468
"Donte DiVincenzo","MIN",727,1503,290,22,47,0.46808510638297873,74,199,0.37185929648241206,0.37185929648241206,24,28,16,204,18,0.6363636363636364,0.7,0.918918918918919,0.8089430894308943,0.5638662601626018,0.540650406504065,0.562015503875969,4,2,0.0425531914893617,0,0,17.759237187127532
"Julius Randle","MIN",727,1503,430,110,207,0.5314009661835749,56,141,0.3971631205673759,0.3971631205673759,42,90,130,144,24,0.4090909090909091,0.4368932038834951,0.8571428571428571,0.4051724137931034,0.5354794540229887,0.5574712643678161,0.5779569892473119,14,8,0.03864734299516908,0,0,25.446960667461262
"Jalen Johnson","ATL",721,1566,441,131,242,0.5413223140495868,33,102,0.3235294117647059,0.3235294117647059,80,138,124,90,9,0.5267175572519084,0.575,0.9090909090909091,0.29651162790697677,0.5448411337209301,0.5247093023255814,0.5697674418604651,22,21,0.08677685950413223,1,0.00980392156862745,25.61044860874503
"Rudy Gobert","MIN",703,1451,243,98,140,0.7,0,0,0,0,47,134,62,0,0,0.6836734693877551,0.9436619718309859,0,0,0.6622478571428569,0.7,0.675,54,16,0.11428571428571428,0,0,12.915129151291511
"Nickeil Alexander-Walker","ATL",703,1521,415,74,130,0.5692307692307692,72,168,0.42857142857142855,0.42857142857142855,51,80,68,210,6,0.5405405405405406,0.5405405405405406,0.9722222222222222,0.5637583892617449,0.572501342281879,0.610738255033557,0.64576802507837,0,13,0.1,1,0.005952380952380952,20.32615026208503
"Karl-Anthony Towns","NYK",692,1382,400,102,177,0.576271186440678,36,88,0.4090909090909091,0.4090909090909091,88,104,100,102,6,0.5098039215686274,0.6265060240963856,0.9444444444444444,0.3320754716981132,0.5691666037735849,0.5886792452830188,0.6456310679611651,38,15,0.0847457627118644,1,0.011363636363636364,23.64563416188655
"Desmond Bane","ORL",678,1412,380,102,158,0.6455696202531646,44,96,0.4583333333333333,0.4583333333333333,44,116,88,123,9,0.5686274509803921,0.6041666666666666,0.9318181818181818,0.3779527559055118,0.5463334645669292,0.6614173228346457,0.6900369003690037,12,13,0.08227848101265822,2,0.020833333333333332,19.371391917896087
"Jalen Brunson","NYK",675,1351,404,102,211,0.4834123222748815,49,131,0.37404580152671757,0.37404580152671757,53,64,140,105,42,0.3137254901960784,0.3137254901960784,0.7142857142857143,0.3830409356725146,0.5114397660818714,0.5131578947368421,0.5447154471544715,0,9,0.04265402843601896,0,0,26.609724047306177
"DeMar DeRozan","SAC",672,1384,350,123,226,0.5442477876106194,12,34,0.35294117647058826,0.35294117647058826,68,108,138,33,3,0.43902439024390244,0.453781512605042,0.9166666666666666,0.13076923076923078,0.4713005769230769,0.5423076923076923,0.5945017182130584,8,11,0.048672566371681415,0,0,20.076481835564053
"Amen Thompson","HOU",664,1302,328,132,216,0.6111111111111112,6,27,0.2222222222222222,0.2222222222222222,46,136,128,18,0,0.5151515151515151,0.5619834710743802,1,0.1111111111111111,0.5595220164609054,0.5802469135802469,0.6096654275092936,22,18,0.08333333333333333,0,0,19.920582395764395
"Jaden McDaniels","MIN",661,1370,331,101,156,0.6474358974358975,32,68,0.47058823529411764,0.47058823529411764,33,128,74,93,3,0.6336633663366337,0.6808510638297872,0.96875,0.30357142857142855,0.5604113839285715,0.6651785714285714,0.6854166666666667,14,8,0.05128205128205128,2,0.029411764705882353,18.19371727748691
"Duncan Robinson","DET",658,1353,301,23,44,0.5227272727272727,80,162,0.49382716049382713,0.49382716049382713,15,36,10,234,6,0.782608695652174,0.8571428571428571,0.975,0.7864077669902912,0.5678310679611649,0.6941747572815534,0.7065727699530516,4,3,0.06818181818181818,0,0,13.959390862944163
"Kon Knueppel","CHA",657,1356,389,60,102,0.5882352941176471,82,155,0.5290322580645161,0.5290322580645161,23,74,46,237,9,0.6166666666666667,0.6271186440677966,0.9634146341463414,0.603112840466926,0.5605904296875,0.7120622568093385,0.7203703703703703,2,12,0.11764705882352941,0,0,19.120458891013385
"Kevin Durant","HOU",656,1291,407,114,196,0.5816326530612245,43,106,0.4056603773584906,0.4056603773584906,50,132,96,108,21,0.5789473684210527,0.5892857142857143,0.8372093023255814,0.3509933774834437,0.49793725165562913,0.5910596026490066,0.6188271604938271,4,7,0.03571428571428571,0,0,24.563758389261743
"Jamal Murray","DEN",656,1331,451,100,187,0.5347593582887701,66,151,0.4370860927152318,0.4370860927152318,53,92,108,135,63,0.46,0.46,0.6818181818181818,0.4467455621301775,0.5251825443786982,0.5887573964497042,0.6211699164345403,0,19,0.10160427807486631,1,0.006622516556291391,26.78812415654521
"Jabari Smith Jr.","HOU",648,1268,284,58,100,0.58,45,109,0.41284403669724773,0.41284403669724773,33,82,34,135,0,0.7068965517241379,0.7454545454545455,1,0.5215311004784688,0.540349043062201,0.6004784688995215,0.6288888888888889,6,8,0.08,0,0,16.937669376693766
"Wendell Carter Jr.","ORL",641,1339,262,75,122,0.6147540983606558,28,74,0.3783783783783784,0.3783783783783784,28,124,26,84,0,0.8266666666666667,0.96875,1,0.37755102040816324,0.5697528061224493,0.5969387755102041,0.6150234741784038,22,10,0.08196721311475409,0,0,16.216216216216214
"Onyeka Okongwu","ATL",632,1372,347,72,134,0.5373134328358209,56,136,0.4117647058823529,0.4117647058823529,35,104,40,168,0,0.7222222222222222,0.8,1,0.5037037037037037,0.5676983333333333,0.5777777777777777,0.6045296167247387,14,14,0.1044776119402985,0,0,20.442708333333336
"Deandre Ayton","LAL",631,1305,281,130,190,0.6842105263157895,0,0,0,0,21,238,22,0,0,0.9153846153846154,1,0,0,0.5559826315789472,0.6842105263157895,0.6820388349514563,22,5,0.02631578947368421,0,0,16.445066480055985
"Scottie Barnes","TOR",626,1269,293,105,172,0.6104651162790697,20,62,0.3225806451612903,0.3225806451612903,23,118,92,57,3,0.5619047619047619,0.5784313725490197,0.95,0.26495726495726496,0.5421230769230769,0.5769230769230769,0.5907258064516129,6,5,0.029069767441860465,0,0,19.92982456140351
"Bam Adebayo","MIA",625,1356,429,109,228,0.4780701754385965,46,129,0.35658914728682173,0.35658914728682173,73,138,80,126,12,0.6330275229357798,0.69,0.9130434782608695,0.36134453781512604,0.5388941176470586,0.49859943977591037,0.5389447236180904,18,11,0.04824561403508772,0,0,28.59947643979058
"Miles Bridges","CHA",622,1279,311,66,120,0.55,47,111,0.42342342342342343,0.42342342342342343,38,68,64,132,9,0.5151515151515151,0.5396825396825397,0.9361702127659575,0.4805194805194805,0.5553443722943722,0.5909090909090909,0.6195219123505976,6,6,0.05,0,0,18.440677966101696
"James Harden","LAC",620,1258,316,60,100,0.6,41,110,0.37272727272727274,0.37272727272727274,73,20,100,66,57,0.16666666666666666,0.16666666666666666,0.5365853658536586,0.5238095238095238,0.5299197619047619,0.5785714285714286,0.6514522821576764,0,16,0.16,3,0.02727272727272727,21.748400852878465
"Davion Mitchell","MIA",613,1320,230,63,103,0.6116504854368932,32,76,0.42105263157894735,0.42105263157894735,8,34,92,84,12,0.2698412698412698,0.27419354838709675,0.875,0.4245810055865922,0.5521712290502793,0.6201117318435754,0.6216216216216216,2,6,0.05825242718446602,0,0,14.787305874409183
"Alperen Sengun","HOU",611,1202,364,148,264,0.5606060606060606,10,25,0.4,0.4,38,146,150,24,6,0.49324324324324326,0.5407407407407407,0.8,0.08650519031141868,0.5182332179930795,0.5640138408304498,0.5852090032154341,26,14,0.05303030303030303,0,0,25.883201153568855
"Brandon Ingram","TOR",611,1238,407,125,217,0.576036866359447,37,86,0.43023255813953487,0.43023255813953487,46,116,134,108,3,0.464,0.48333333333333334,0.972972972972973,0.2838283828382838,0.5237229372937292,0.5957095709570958,0.6234567901234568,10,14,0.06451612903225806,0,0,26.346015793251976
