Player,Team,Opponent,Date,Closest Defender Distance,Shot Clock,Touch Time,Dribbles,FGA,eFG%,o10 eFG%,u10ft FG2M,u10ft FG2A,u10ft FG2%,u10ft FG2 Freq,o10ft FG2M,o10ft FG2A,o10ft FG2%,o10ft FG2 Freq,FG3M,FG3A,FG3%,FG3 Freq
A.J. Lawson,TOR,BKN,4/12/2026,4-6 Feet - Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.625,0.5,1,1,1,0.1667,0,0,,0,1,3,0.3333,0.5
Aaron Gordon,DEN,BKN,1/4/2026,2-4 Feet - Tight,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.75,0,3,3,1,0.2,0,1,0,0.0667,0,0,,0
Aaron Gordon,DEN,WAS,1/22/2026,4-6 Feet - Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.625,0.5,1,1,1,0.0833,0,0,,0,1,3,0.3333,0.25
Aaron Gordon,DEN,CHI,11/17/2025,2-4 Feet - Tight,18-15 Early,Touch < 2 Seconds,0 Dribbles,4,0.75,,3,4,0.75,0.2222,0,0,,0,0,0,,0
Aaron Gordon,DEN,POR,4/6/2026,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,1,1,0,0,,0,1,1,1,0.0714,2,3,0.6667,0.2143
Aaron Gordon,DEN,MIA,11/5/2025,2-4 Feet - Tight,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,1,,4,4,1,0.25,0,0,,0,0,0,,0
Aaron Holiday,HOU,UTA,12/1/2025,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.375,0.375,0,0,,0,0,0,,0,1,4,0.25,0.4
Aaron Holiday,HOU,NOP,3/29/2026,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.75,0.75,0,0,,0,0,0,,0,2,4,0.5,0.5
Aaron Holiday,HOU,PHX,11/24/2025,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.75,0.75,0,0,,0,0,0,,0,2,4,0.5,0.2353
Aaron Nesmith,IND,MIL,11/3/2025,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.25,0.25,0,0,,0,1,1,1,0.0625,0,3,0,0.1875
