player,season_year,stl,blk,dreb,def_rim_fgm,def_rim_fga,def_rim_fg_pct,def_rim_fga_per_poss,rim_protection_above_avg,dsv_proxy,possessions
A.J. Lawson,2026,12,4,34,4,6,0.6667,0.0128,-0.0012,21.99,467
Aaron Gordon,2026,21,10,158,75,108,0.6944,0.0522,-0.0289,38.38,2067
Aaron Holiday,2026,26,5,45,37,48,0.7708,0.0298,-0.1053,38.95,1610
Aaron Nesmith,2026,26,23,139,87,141,0.617,0.05,0.0485,68.84,2818
Aaron Wiggins,2026,60,28,158,88,132,0.6667,0.0449,-0.0012,117.84,2943
Ace Bailey,2026,60,49,198,152,217,0.7005,0.0509,-0.035,131.4,4266
Adama Bal,2026,9,1,19,34,41,0.8293,0.0772,-0.1638,7.78,531
Adem Bona,2026,30,82,179,136,254,0.5354,0.098,0.1301,160.05,2592
Adou Thiero,2026,7,2,19,16,24,0.6667,0.0764,-0.0012,12.47,314
AJ Green,2026,37,8,179,137,179,0.7654,0.0393,-0.0999,45.62,4552
AJ Johnson,2026,11,3,40,30,37,0.8108,0.0384,-0.1453,14.12,963
Ajay Mitchell,2026,71,18,150,56,81,0.6914,0.0264,-0.0259,122.4,3069
Al Horford,2026,30,51,175,95,161,0.5901,0.0811,0.0754,108.14,1984
Alex Antetokounmpo,2026,0,1,4,0,2,0.0,0.0444,0.6655,2.33,45
Alex Caruso,2026,72,17,127,35,51,0.6863,0.0238,-0.0208,123.94,2141
Alex Morales,2026,0,0,2,1,1,1.0,0.02,-0.3345,-0.33,50
Alex Sarr,2026,39,95,250,237,427,0.555,0.1539,0.1105,200.68,2774
Alijah Martin,2026,8,4,12,10,14,0.7143,0.0476,-0.0488,15.32,294
Alondes Williams,2026,3,3,20,6,8,0.75,0.0369,-0.0845,6.82,217
Alperen Sengun,2026,85,77,426,301,460,0.6543,0.0963,0.0112,209.65,4777
Amari Williams,2026,3,10,31,7,17,0.4118,0.0548,0.2537,18.81,310
Amen Thompson,2026,119,48,379,118,185,0.6378,0.0311,0.0277,231.62,5952
Amir Coffey,2026,9,5,38,16,31,0.5161,0.0311,0.1494,23.13,996
Andersson Garcia,2026,8,4,25,15,26,0.5769,0.0716,0.0886,18.3,363
Andre Drummond,2026,38,49,332,134,196,0.6837,0.0771,-0.0182,102.43,2541
Andre Jackson Jr.,2026,19,4,47,25,37,0.6757,0.0434,-0.0102,32.12,852
Andrew Nembhard,2026,51,8,135,94,128,0.7344,0.0342,-0.0689,75.68,3740
Andrew Wiggins,2026,73,67,210,170,235,0.7234,0.0547,-0.0579,162.89,4299
Anfernee Simons,2026,27,8,104,79,103,0.767,0.0378,-0.1015,38.05,2723
Anthony Black,2026,91,45,197,115,157,0.7325,0.0393,-0.067,170.98,3992
Anthony Davis,2026,21,32,150,63,119,0.5294,0.0967,0.1361,79.7,1230
Anthony Edwards,2026,82,48,259,110,161,0.6832,0.0366,-0.0177,168.15,4396
Anthony Gill,2026,31,21,100,103,156,0.6603,0.0761,0.0052,68.31,2051
Antonio Reeves,2026,1,0,6,2,2,1.0,0.0156,-0.3345,0.83,128
Ariel Hukporti,2026,9,26,103,57,100,0.57,0.0964,0.0955,49.05,1037
Asa Newell,2026,16,15,52,51,80,0.6375,0.0734,0.028,41.24,1090
Ausar Thompson,2026,145,69,263,91,151,0.6026,0.0391,0.0629,296.0,3858
Austin Reaves,2026,56,20,207,122,152,0.8026,0.0419,-0.1371,83.16,3627
Ayo Dosunmu,2026,58,18,190,92,142,0.6479,0.0357,0.0176,107.5,3977
Bam Adebayo,2026,84,47,564,201,309,0.6505,0.063,0.015,177.64,4906
Baylor Scheierman,2026,42,6,212,66,107,0.6168,0.0378,0.0487,74.21,2830
Ben Saraf,2026,38,8,72,68,95,0.7158,0.0506,-0.0503,60.22,1879
Ben Sheppard,2026,39,6,152,72,96,0.75,0.0326,-0.0845,56.39,2948
Bennedict Mathurin,2026,43,13,238,92,128,0.7188,0.0381,-0.0533,70.68,3362
Bez Mbeng,2026,34,5,39,44,60,0.7333,0.0545,-0.0678,51.93,1100
Bilal Coulibaly,2026,75,54,195,92,153,0.6013,0.0486,0.0642,176.32,3147
Bismack Biyombo,2026,4,2,21,17,24,0.7083,0.0808,-0.0428,6.97,297
Blake Hinson,2026,5,2,22,16,22,0.7273,0.036,-0.0618,8.14,611
Blake Wesley,2026,16,5,31,14,21,0.6667,0.0264,-0.0012,28.97,794
Bobby Portis,2026,40,12,337,153,219,0.6986,0.0676,-0.0331,64.75,3239
Bobi Klintman,2026,3,0,14,4,7,0.5714,0.0437,0.0941,5.16,160
Bogdan Bogdanovic,2026,10,3,53,39,49,0.7959,0.055,-0.1304,11.61,891
Bogdan Bogdanovi,2026,10,3,53,39,49,0.7959,0.055,-0.1304,11.61,891
Bones Hyland,2026,44,17,103,82,103,0.7961,0.0421,-0.1306,69.55,2448
Bradley Beal,2026,3,0,3,6,7,0.8571,0.0288,-0.1916,3.16,243
Branden Carlson,2026,8,27,95,70,115,0.6087,0.1113,0.0568,45.53,1033
Brandin Podziemski,2026,87,14,342,131,171,0.7661,0.0362,-0.1006,127.3,4721
Brandon Clarke,2026,2,0,2,2,5,0.4,0.1064,0.2655,4.33,47
Brandon Ingram,2026,58,55,367,137,213,0.6432,0.0401,0.0223,146.75,5308
Brandon Miller,2026,66,44,249,117,183,0.6393,0.0461,0.0262,147.79,3969
Brandon Williams,2026,62,20,159,95,118,0.8051,0.0376,-0.1396,96.53,3141
Brice Sensabaugh,2026,53,12,171,118,152,0.7763,0.0406,-0.1108,74.66,3742
Bronny James,2026,19,4,18,33,39,0.8462,0.0501,-0.1807,25.45,778
Brook Lopez,2026,45,85,218,178,336,0.5298,0.1049,0.1357,198.1,3203
Brooks Barnhizer,2026,11,5,59,18,28,0.6429,0.0379,0.0226,22.13,738
Bruce Brown,2026,85,20,233,110,141,0.7801,0.0342,-0.1146,131.34,4117
Bryce McGowens,2026,27,9,76,71,98,0.7245,0.0524,-0.059,43.72,1869
Bub Carrington,2026,52,17,243,141,193,0.7306,0.0398,-0.0651,82.44,4850
Buddy Boeheim,2026,0,0,0,1,1,1.0,0.0333,-0.3345,-0.33,30
Buddy Hield,2026,39,9,89,61,93,0.6559,0.0532,0.0096,68.39,1747
Cade Cunningham,2026,90,53,296,136,218,0.6239,0.0495,0.0416,197.07,4405
Caleb Houstan,2026,2,1,6,1,2,0.5,0.0114,0.1655,4.33,176
Caleb Love,2026,27,4,89,46,53,0.8679,0.0249,-0.2024,33.77,2131
Caleb Martin,2026,39,15,111,65,99,0.6566,0.0545,0.0089,74.38,1815
Cam Christie,2026,16,3,59,22,37,0.5946,0.0378,0.0709,29.62,978
Cam Spencer,2026,52,11,143,90,118,0.7627,0.0333,-0.0972,77.53,3547
Cam Thomas,2026,9,4,60,52,61,0.8525,0.0352,-0.187,6.09,1734
Cam Whitmore,2026,15,8,39,19,29,0.6552,0.0378,0.0103,30.8,767
Cameron Johnson,2026,40,21,163,87,121,0.719,0.0353,-0.0535,74.53,3425
Cameron Payne,2026,24,7,41,20,25,0.8,0.0312,-0.1345,39.64,800
Caris LeVert,2026,51,41,94,57,86,0.6628,0.036,0.0027,117.73,2388
Carter Bryant,2026,16,23,140,48,76,0.6316,0.0441,0.0339,49.58,1722
Cason Wallace,2026,150,28,175,100,149,0.6711,0.0349,-0.0056,252.17,4273
Cedric Coward,2026,40,27,281,131,196,0.6684,0.0579,-0.0029,86.43,3384
Chaney Johnson,2026,15,9,46,27,42,0.6429,0.0579,0.0226,32.45,726
Charles Bassey,2026,4,11,34,12,26,0.4615,0.082,0.204,22.3,317
Chaz Lanier,2026,7,0,15,13,17,0.7647,0.0307,-0.0992,8.81,553
Chet Holmgren,2026,43,131,485,184,386,0.4767,0.0935,0.1888,268.38,4128
Chris Boucher,2026,5,7,16,10,21,0.4762,0.1111,0.1893,18.48,189
Chris Livingston,2026,1,0,3,1,1,1.0,0.027,-0.3345,1.17,37
Chris Maon,2026,5,2,8,8,11,0.7273,0.1111,-0.0618,8.82,99
Chris Paul,2026,11,0,22,14,18,0.7778,0.039,-0.1123,14.48,461
Chris Youngblood,2026,4,3,21,8,11,0.7273,0.028,-0.0618,8.32,393
