Player,Touches,Elbow Touches,FGM,FGA,FTM,FTA,Points,Passes,Assists,Turnovers,Fouls,FG%,Points Per Elbow Touch,Pass%,Ast%,TO%,Foul%,Possessions,Touches Per Poss,Elbow Touches Per Poss,season_year
A.J. Lawson,280,6,3,4,0,0,6,1,0,1,0,0.75,1.0,0.1667,0.0,0.1667,0.0,450,0.6222,0.0133,2026
Aaron Gordon,1728,66,15,25,8,10,39,34,9,2,5,0.6,0.5909,0.5152,0.1364,0.0303,0.0758,2056,0.8405,0.0321,2026
Aaron Holiday,1155,4,1,3,0,0,2,1,1,0,0,0.3333,0.5,0.25,0.25,0.0,0.0,1562,0.7394,0.0026,2026
Aaron Nesmith,2246,21,7,12,0,0,14,9,0,0,0,0.5833,0.6667,0.4286,0.0,0.0,0.0,2808,0.7999,0.0075,2026
Aaron Wiggins,2159,24,9,15,0,0,19,7,0,1,0,0.6,0.7917,0.2917,0.0,0.0417,0.0,2925,0.7381,0.0082,2026
Ace Bailey,2410,57,18,27,4,6,40,25,4,2,3,0.6667,0.7018,0.4386,0.0702,0.0351,0.0526,4241,0.5683,0.0134,2026
Adama Bal,293,6,0,1,2,2,2,3,1,0,1,0.0,0.3333,0.5,0.1667,0.0,0.1667,518,0.5656,0.0116,2026
Adem Bona,1201,48,10,16,6,8,26,23,2,5,4,0.625,0.5417,0.4792,0.0417,0.1042,0.0833,2555,0.4701,0.0188,2026
Adou Thiero,183,4,1,2,0,0,2,2,1,0,0,0.5,0.5,0.5,0.25,0.0,0.0,299,0.612,0.0134,2026
AJ Green,3402,23,1,5,0,0,2,17,4,0,0,0.2,0.087,0.7391,0.1739,0.0,0.0,4533,0.7505,0.0051,2026
AJ Johnson,725,7,0,1,1,2,1,4,1,1,1,0.0,0.1429,0.5714,0.1429,0.1429,0.1429,940,0.7713,0.0074,2026
Ajay Mitchell,2587,32,11,14,0,0,22,15,1,2,0,0.7857,0.6875,0.4688,0.0312,0.0625,0.0,3082,0.8394,0.0104,2026
Al Horford,1947,61,14,17,1,2,30,40,12,3,1,0.8235,0.4918,0.6557,0.1967,0.0492,0.0164,1997,0.975,0.0305,2026
Alex Antetokounmpo,29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,46,0.6304,0.0,2026
Alex Caruso,1646,45,10,14,0,0,20,25,4,3,0,0.7143,0.4444,0.5556,0.0889,0.0667,0.0,2129,0.7731,0.0211,2026
Alex Morales,39,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,48,0.8125,0.0,2026
Alex Sarr,2729,232,60,117,28,36,151,70,13,20,17,0.5128,0.6509,0.3017,0.056,0.0862,0.0733,2755,0.9906,0.0842,2026
Alijah Martin,209,5,1,2,0,0,2,3,0,0,0,0.5,0.4,0.6,0.0,0.0,0.0,283,0.7385,0.0177,2026
Alondes Williams,116,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,209,0.555,0.0,2026
Alperen Sengun,5121,386,86,149,29,40,203,196,60,12,17,0.5772,0.5259,0.5078,0.1554,0.0311,0.044,4788,1.0695,0.0806,2026
Amari Williams,174,10,2,5,2,2,6,3,0,0,1,0.4,0.6,0.3,0.0,0.0,0.1,292,0.5959,0.0342,2026
Amen Thompson,5788,144,35,59,11,14,87,67,13,6,6,0.5932,0.6042,0.4653,0.0903,0.0417,0.0417,5880,0.9844,0.0245,2026
Amir Coffey,496,3,1,1,0,0,3,1,0,1,0,1.0,1.0,0.3333,0.0,0.3333,0.0,965,0.514,0.0031,2026
Andersson Garcia,209,3,2,2,0,0,4,1,0,0,0,1.0,1.3333,0.3333,0.0,0.0,0.0,357,0.5854,0.0084,2026
Andre Drummond,1430,66,12,22,3,6,27,36,13,3,3,0.5455,0.4091,0.5455,0.197,0.0455,0.0455,2510,0.5697,0.0263,2026
Andre Jackson Jr.,823,22,3,10,2,2,8,11,2,0,1,0.3,0.3636,0.5,0.0909,0.0,0.0455,825,0.9976,0.0267,2026
Andrew Nembhard,4984,21,6,12,0,0,12,7,0,1,0,0.5,0.5714,0.3333,0.0,0.0476,0.0,3728,1.3369,0.0056,2026
Andrew Wiggins,2828,25,12,19,1,2,26,4,0,1,1,0.6316,1.04,0.16,0.0,0.04,0.04,4270,0.6623,0.0059,2026
Anfernee Simons,2456,12,5,5,0,0,11,7,2,0,0,1.0,0.9167,0.5833,0.1667,0.0,0.0,2736,0.8977,0.0044,2026
Anthony Black,3654,41,13,19,2,2,29,17,3,3,1,0.6842,0.7073,0.4146,0.0732,0.0732,0.0244,3927,0.9305,0.0104,2026
Anthony Davis,1128,80,21,43,11,12,56,23,9,5,6,0.4884,0.7,0.2875,0.1125,0.0625,0.075,1223,0.9223,0.0654,2026
Anthony Edwards,4333,32,13,23,7,8,33,3,0,2,4,0.5652,1.0312,0.0938,0.0,0.0625,0.125,4382,0.9888,0.0073,2026
Anthony Gill,1175,70,17,26,3,4,39,38,6,3,1,0.6538,0.5571,0.5429,0.0857,0.0429,0.0143,2011,0.5843,0.0348,2026
Antonio Reeves,70,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,130,0.5385,0.0,2026
Ariel Hukporti,519,56,5,12,1,2,12,42,6,0,1,0.4167,0.2143,0.75,0.1071,0.0,0.0179,987,0.5258,0.0567,2026
