Player,touches,paint_touches,paint_fgm,paint_fga,paint_ftm,paint_fta,paint_pts,Passes,Assists,Turnovers,Fouls,FG%,ppp_paint,paint_pass_pct,paint_ast_pct,paint_to_pct,Foul%,possessions,Touches Per Poss,paint_per_poss,season_year,player
A.J. Lawson,280,16,7,8,2,2,17,6,1,1,1,0.875,1.0625,0.375,0.0625,0.0625,0.0625,450,0.6222,0.0356,2026,A.J. Lawson
Aaron Gordon,1728,169,77,111,23,32,183,36,8,4,15,0.6937,1.0828,0.213,0.0473,0.0237,0.0888,2056,0.8405,0.0822,2026,Aaron Gordon
Aaron Holiday,1155,3,0,2,0,0,0,1,0,0,0,0.0,0.0,0.3333,0.0,0.0,0.0,1562,0.7394,0.0019,2026,Aaron Holiday
Aaron Nesmith,2246,45,10,23,4,6,25,16,2,1,3,0.4348,0.5556,0.3556,0.0444,0.0222,0.0667,2808,0.7999,0.016,2026,Aaron Nesmith
Aaron Wiggins,2159,74,31,42,5,8,68,18,2,4,4,0.7381,0.9189,0.2432,0.027,0.0541,0.0541,2925,0.7381,0.0253,2026,Aaron Wiggins
Ace Bailey,2410,144,62,92,16,22,142,29,4,7,11,0.6739,0.9861,0.2014,0.0278,0.0486,0.0764,4241,0.5683,0.034,2026,Ace Bailey
Adama Bal,293,15,3,7,2,2,8,6,1,0,1,0.4286,0.5333,0.4,0.0667,0.0,0.0667,518,0.5656,0.029,2026,Adama Bal
Adem Bona,1201,231,87,148,37,44,211,35,3,21,23,0.5878,0.9134,0.1515,0.013,0.0909,0.0996,2555,0.4701,0.0904,2026,Adem Bona
Adou Thiero,183,18,5,9,2,4,12,5,2,1,2,0.5556,0.6667,0.2778,0.1111,0.0556,0.1111,299,0.612,0.0602,2026,Adou Thiero
AJ Green,3402,29,6,12,0,0,12,16,5,0,0,0.5,0.4138,0.5517,0.1724,0.0,0.0,4533,0.7505,0.0064,2026,AJ Green
AJ Johnson,725,25,6,11,5,6,18,6,2,5,3,0.5455,0.72,0.24,0.08,0.2,0.12,940,0.7713,0.0266,2026,AJ Johnson
Ajay Mitchell,2587,49,23,30,0,0,46,13,3,3,0,0.7667,0.9388,0.2653,0.0612,0.0612,0.0,3082,0.8394,0.0159,2026,Ajay Mitchell
Al Horford,1947,119,30,52,9,10,70,52,14,8,5,0.5769,0.5882,0.437,0.1176,0.0672,0.042,1997,0.975,0.0596,2026,Al Horford
Alex Antetokounmpo,29,3,0,0,4,6,4,0,0,0,2,0.0,1.3333,0.0,0.0,0.0,0.6667,46,0.6304,0.0652,2026,Alex Antetokounmpo
Alex Caruso,1646,55,17,27,1,2,35,23,4,4,1,0.6296,0.6364,0.4182,0.0727,0.0727,0.0182,2129,0.7731,0.0258,2026,Alex Caruso
Alex Morales,39,2,0,0,0,0,0,1,0,1,0,0.0,0.0,0.5,0.0,0.5,0.0,48,0.8125,0.0417,2026,Alex Morales
Alex Sarr,2729,264,115,180,29,48,266,31,5,15,24,0.6389,1.0076,0.1174,0.0189,0.0568,0.0909,2755,0.9906,0.0958,2026,Alex Sarr
Alijah Martin,209,18,4,6,2,2,11,9,1,1,1,0.6667,0.6111,0.5,0.0556,0.0556,0.0556,283,0.7385,0.0636,2026,Alijah Martin
Alondes Williams,116,9,5,5,2,2,12,2,0,1,1,1.0,1.3333,0.2222,0.0,0.1111,0.1111,209,0.555,0.0431,2026,Alondes Williams
