Player,touches,post_touches,post_fgm,post_fga,post_ftm,post_fta,post_pts,Passes,Assists,Turnovers,Fouls,FG%,ppp_post,post_pass_pct,post_ast_pct,post_to_pct,Foul%,possessions,Touches Per Poss,post_per_poss,season_year,player
A.J. Lawson,280,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,450,0.6222,0.0,2026,A.J. Lawson
Aaron Gordon,1728,59,8,31,15,18,32,13,3,4,9,0.2581,0.5424,0.2203,0.0508,0.0678,0.1525,2056,0.8405,0.0287,2026,Aaron Gordon
Aaron Holiday,1155,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1562,0.7394,0.0,2026,Aaron Holiday
Aaron Nesmith,2246,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2808,0.7999,0.0,2026,Aaron Nesmith
Aaron Wiggins,2159,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2925,0.7381,0.0,2026,Aaron Wiggins
Ace Bailey,2410,13,3,8,0,0,6,4,0,0,0,0.375,0.4615,0.3077,0.0,0.0,0.0,4241,0.5683,0.0031,2026,Ace Bailey
Adama Bal,293,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,518,0.5656,0.0,2026,Adama Bal
Adem Bona,1201,7,3,4,0,0,6,2,1,0,0,0.75,0.8571,0.2857,0.1429,0.0,0.0,2555,0.4701,0.0027,2026,Adem Bona
Adou Thiero,183,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,299,0.612,0.0033,2026,Adou Thiero
AJ Green,3402,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4533,0.7505,0.0,2026,AJ Green
AJ Johnson,725,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,940,0.7713,0.0,2026,AJ Johnson
Ajay Mitchell,2587,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3082,0.8394,0.0,2026,Ajay Mitchell
Al Horford,1947,103,14,28,4,4,32,63,17,5,2,0.5,0.3107,0.6117,0.165,0.0485,0.0194,1997,0.975,0.0516,2026,Al Horford
Alex Antetokounmpo,29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,46,0.6304,0.0,2026,Alex Antetokounmpo
Alex Caruso,1646,1,0,0,0,0,0,1,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2129,0.7731,0.0005,2026,Alex Caruso
Alex Morales,39,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,48,0.8125,0.0,2026,Alex Morales
Alex Sarr,2729,42,15,27,4,6,34,10,1,0,3,0.5556,0.8095,0.2381,0.0238,0.0,0.0714,2755,0.9906,0.0152,2026,Alex Sarr
