Player,oreb,oreb_contested,oreb_uncontested,oreb_chances,oreb_chances_deferred,dreb,dreb_contested,dreb_uncontested,dreb_chances,dreb_chances_deferred,season_year,player,oreb_contest_rate,dreb_contest_rate,total_rebs,rpv_proxy
A.J. Lawson,9,3,6,19,0,34,8,26,55,4,2026,A.J. Lawson,0.1579,0.1455,43,12.5
Aaron Gordon,51,33,18,102,6,158,47,111,235,14,2026,Aaron Gordon,0.3235,0.2,209,96.5
Aaron Holiday,13,3,10,30,0,45,11,34,73,4,2026,Aaron Holiday,0.1,0.1507,58,15.5
Aaron Nesmith,48,24,24,109,6,139,28,111,245,26,2026,Aaron Nesmith,0.2202,0.1143,187,64.0
Aaron Wiggins,41,23,18,109,9,158,41,117,299,33,2026,Aaron Wiggins,0.211,0.1371,199,75.5
Ace Bailey,104,53,51,194,3,198,64,133,318,35,2026,Ace Bailey,0.2732,0.2013,302,143.5
Adama Bal,6,3,3,25,0,19,2,17,39,5,2026,Adama Bal,0.12,0.0513,25,6.5
Adem Bona,128,86,41,350,12,179,59,120,402,55,2026,Adem Bona,0.2457,0.1468,307,188.0
Adou Thiero,9,4,5,27,0,19,6,13,24,0,2026,Adou Thiero,0.1481,0.25,28,12.0
AJ Green,29,9,20,69,2,179,34,145,323,26,2026,AJ Green,0.1304,0.1053,208,47.5
AJ Johnson,14,6,8,35,3,40,12,29,63,7,2026,AJ Johnson,0.1714,0.1905,54,21.0
Ajay Mitchell,40,15,25,97,3,150,32,118,261,23,2026,Ajay Mitchell,0.1546,0.1226,190,54.5
Al Horford,42,22,20,81,3,171,67,104,254,16,2026,Al Horford,0.2716,0.2638,213,100.0
Alex Antetokounmpo,2,2,0,3,0,4,0,4,5,0,2026,Alex Antetokounmpo,0.6667,0.0,6,3.0
Alex Caruso,28,10,18,80,3,127,31,95,201,15,2026,Alex Caruso,0.125,0.1542,155,46.0
Alex Morales,1,1,0,3,0,2,0,2,4,1,2026,Alex Morales,0.3333,0.0,3,1.5
Alex Sarr,105,64,40,244,6,250,97,152,488,62,2026,Alex Sarr,0.2623,0.1988,355,193.0
Alijah Martin,9,4,5,21,0,12,2,10,17,1,2026,Alijah Martin,0.1905,0.1176,21,8.0
Alondes Williams,5,2,3,5,0,20,7,13,32,3,2026,Alondes Williams,0.4,0.2188,25,10.0
Alperen Sengun,215,135,80,483,25,426,134,286,750,84,2026,Alperen Sengun,0.2795,0.1787,641,336.5
Amari Williams,9,6,3,27,3,31,11,20,51,7,2026,Amari Williams,0.2222,0.2157,40,20.0
Amen Thompson,235,126,101,493,21,379,107,268,591,41,2026,Amen Thompson,0.2556,0.181,614,296.0
Amir Coffey,19,10,9,42,2,38,9,28,60,4,2026,Amir Coffey,0.2381,0.15,57,24.0
Andersson Garcia,17,14,3,39,1,25,7,18,56,8,2026,Andersson Garcia,0.359,0.125,42,28.0
Andre Drummond,200,144,56,357,9,332,112,220,522,36,2026,Andre Drummond,0.4034,0.2146,532,328.0
Andre Jackson Jr.,25,15,10,54,3,47,6,41,76,8,2026,Andre Jackson Jr.,0.2778,0.0789,72,28.5
Andrew Nembhard,25,9,16,83,4,135,13,122,246,25,2026,Andrew Nembhard,0.1084,0.0528,160,26.5
