player,season_year,fga,exp_efg_pos,exp_efg_league,actual_efg,efg_above_pos,efg_above_league,ptv_proxy
A.J. Lawson,2026,78,0.5092,0.5769,0.5577,0.0485,-0.0192,-0.0192
Aaron Gordon,2026,398,0.5553,0.5488,0.5741,0.0188,0.0253,0.0253
Aaron Holiday,2026,250,0.5497,0.5429,0.554,0.0043,0.0111,0.0111
Aaron Nesmith,2026,512,0.5372,0.5411,0.5166,-0.0206,-0.0245,-0.0245
Aaron Wiggins,2026,533,0.5475,0.5455,0.5188,-0.0287,-0.0267,-0.0267
Ace Bailey,2026,867,0.5168,0.5461,0.5185,0.0017,-0.0276,-0.0276
Adama Bal,2026,69,0.5362,0.5539,0.5362,0.0,-0.0177,-0.0177
Adem Bona,2026,218,0.6363,0.6243,0.6009,-0.0354,-0.0234,-0.0234
Adou Thiero,2026,31,0.5323,0.6288,0.5323,0.0,-0.0965,-0.0965
AJ Green,2026,607,0.6079,0.5154,0.603,-0.0049,0.0876,0.0876
AJ Johnson,2026,176,0.39,0.5471,0.358,-0.032,-0.1891,-0.1891
Ajay Mitchell,2026,590,0.5434,0.5335,0.5364,-0.007,0.0029,0.0029
Al Horford,2026,312,0.5795,0.5739,0.5369,-0.0426,-0.037,-0.037
Alex Antetokounmpo,2026,8,0.5,0.5627,0.5,0.0,-0.0627,-0.0627
Alex Caruso,2026,298,0.5515,0.5772,0.5117,-0.0398,-0.0655,-0.0655
Alex Morales,2026,7,0.4286,0.4886,0.4286,0.0,-0.06,-0.06
Alex Sarr,2026,650,0.4978,0.57,0.5177,0.0199,-0.0523,-0.0523
Alijah Martin,2026,50,0.36,0.5512,0.36,0.0,-0.1912,-0.1912
Alondes Williams,2026,26,0.7157,0.5682,0.7115,-0.0042,0.1433,0.1433
Alperen Sengun,2026,1090,0.5203,0.5201,0.5335,0.0132,0.0134,0.0134
Amari Williams,2026,20,0.5,0.6276,0.5,0.0,-0.1276,-0.1276
Amen Thompson,2026,1018,0.544,0.5758,0.5432,-0.0008,-0.0326,-0.0326
Amir Coffey,2026,112,0.5442,0.5365,0.558,0.0138,0.0215,0.0215
Andersson Garcia,2026,29,0.3276,0.5926,0.3276,0.0,-0.265,-0.265
Andre Drummond,2026,335,0.5321,0.6024,0.5134,-0.0187,-0.089,-0.089
Andre Jackson Jr.,2026,118,0.4361,0.568,0.3814,-0.0547,-0.1866,-0.1866
Andrew Nembhard,2026,752,0.5138,0.5194,0.514,0.0002,-0.0054,-0.0054
Andrew Wiggins,2026,786,0.5356,0.5472,0.5573,0.0217,0.0101,0.0101
Anfernee Simons,2026,648,0.5419,0.5013,0.5525,0.0106,0.0512,0.0512
Anthony Black,2026,768,0.5052,0.5526,0.513,0.0078,-0.0396,-0.0396
Anthony Davis,2026,314,0.5502,0.5518,0.5223,-0.0279,-0.0295,-0.0295
Anthony Edwards,2026,1197,0.5299,0.5013,0.5698,0.0399,0.0685,0.0685
Anthony Gill,2026,214,0.6056,0.6042,0.6659,0.0603,0.0617,0.0617
Antonio Reeves,2026,20,0.6187,0.5642,0.675,0.0563,0.1108,0.1108
Ariel Hukporti,2026,80,0.5785,0.6349,0.5688,-0.0097,-0.0661,-0.0661
Asa Newell,2026,169,0.6243,0.6089,0.6243,0.0,0.0154,0.0154
Ausar Thompson,2026,567,0.5381,0.5857,0.5291,-0.009,-0.0566,-0.0566
Austin Reaves,2026,760,0.5693,0.5228,0.5671,-0.0022,0.0443,0.0443
Ayo Dosunmu,2026,738,0.5782,0.5559,0.5976,0.0194,0.0417,0.0417
Bam Adebayo,2026,1099,0.5163,0.5442,0.4986,-0.0177,-0.0456,-0.0456
Baylor Scheierman,2026,334,0.5748,0.5514,0.5973,0.0225,0.0459,0.0459
Ben Saraf,2026,295,0.4322,0.5469,0.4322,0.0,-0.1147,-0.1147
Ben Sheppard,2026,387,0.5252,0.5717,0.5426,0.0174,-0.0291,-0.0291
Bennedict Mathurin,2026,677,0.5008,0.5369,0.4852,-0.0156,-0.0517,-0.0517
Bez Mbeng,2026,97,0.5361,0.5956,0.5361,0.0,-0.0595,-0.0595
Bilal Coulibaly,2026,537,0.4906,0.5596,0.4842,-0.0064,-0.0754,-0.0754
Bismack Biyombo,2026,15,0.5929,0.6767,0.6,0.0071,-0.0767,-0.0767
Blake Hinson,2026,114,0.6667,0.5554,0.6667,0.0,0.1113,0.1113
Blake Wesley,2026,119,0.4764,0.562,0.4874,0.011,-0.0746,-0.0746
Bobby Portis,2026,725,0.5523,0.5257,0.5869,0.0346,0.0612,0.0612
Bobi Klintman,2026,27,0.3759,0.5783,0.4074,0.0315,-0.1709,-0.1709
Bogdan Bogdanovic,2026,150,0.5562,0.5105,0.5033,-0.0529,-0.0072,-0.0072
Bogdan Bogdanovi,2026,150,0.5562,0.5105,0.5033,-0.0529,-0.0072,-0.0072
Bones Hyland,2026,458,0.516,0.5372,0.5819,0.0659,0.0447,0.0447
Bradley Beal,2026,48,0.5692,0.5296,0.4479,-0.1213,-0.0817,-0.0817
Branden Carlson,2026,185,0.6074,0.6253,0.6135,0.0061,-0.0118,-0.0118
Brandin Podziemski,2026,838,0.5348,0.5307,0.543,0.0082,0.0123,0.0123
Brandon Clarke,2026,9,0.4691,0.5801,0.3333,-0.1358,-0.2468,-0.2468
Brandon Ingram,2026,1272,0.5323,0.4844,0.5318,-0.0005,0.0474,0.0474
Brandon Miller,2026,1045,0.5307,0.5198,0.5321,0.0014,0.0123,0.0123
Brandon Williams,2026,612,0.5244,0.5319,0.5033,-0.0211,-0.0286,-0.0286
Brice Sensabaugh,2026,828,0.5636,0.5383,0.555,-0.0086,0.0167,0.0167
Bronny James,2026,115,0.4577,0.536,0.5043,0.0466,-0.0317,-0.0317
Brook Lopez,2026,534,0.5641,0.5522,0.5262,-0.0379,-0.026,-0.026
Brooks Barnhizer,2026,71,0.4296,0.5463,0.4296,0.0,-0.1167,-0.1167
Bruce Brown,2026,521,0.5371,0.5749,0.5307,-0.0064,-0.0442,-0.0442
Bryce McGowens,2026,237,0.5045,0.5594,0.5612,0.0567,0.0018,0.0018
Bub Carrington,2026,740,0.5292,0.5145,0.5385,0.0093,0.024,0.024
Buddy Boeheim,2026,6,0.4295,0.5327,0.5,0.0705,-0.0327,-0.0327
Buddy Hield,2026,328,0.5752,0.5505,0.5488,-0.0264,-0.0017,-0.0017
Cade Cunningham,2026,1142,0.5115,0.5159,0.5149,0.0034,-0.001,-0.001
Caleb Houstan,2026,26,0.495,0.5491,0.75,0.255,0.2009,0.2009
Caleb Love,2026,489,0.4836,0.5325,0.4836,0.0,-0.0489,-0.0489
