entity_id,season_year,drives,pts_per_drive,cov_proxy,adj_ast,pva_proxy,elbow_touches,paint_touches,post_touches,total_touches,miv_proxy,oreb,dreb,oreb_contested,dreb_contested,rpv_proxy,def_rim_fgm,def_rim_fga,dsv_proxy,rim_fga,rim_fgm,mid_fga,fg3a,fg3m,total_fga,overall_efg,rim_rate,three_rate,ptv_proxy,off_poss,minutes,stl,blk,data_source,confidence,open_cs_fg3a,open_cs_fg3m,open_cs_3_rate,open_cs_fg3_pct,off_drbl_fg3a,off_drbl_fg3m,off_drbl_fg2a,off_drbl_fg2m,off_drbl_rate,off_drbl_fg3_pct,contested_fg3a,contested_fg2a,contested_shot_rate,wide_open_fg3a,wide_open_fg3m,three_rate_sz,total_fga_sz
708,2014,,,,,,,,,,,,,,,,,,,97.0,49.0,,3.0,0.0,339.0,0.4454,0.2861,0.0088,-2.838,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
708,2015,,,,,,,,,,,,,,,,,,,29.0,16.0,,1.0,0.0,113.0,0.4778,0.2566,0.0088,-2.924,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
708,2016,,,,,,,,,,,,,,,,,,,29.0,16.0,,1.0,0.0,113.0,0.4778,0.2566,0.0088,-2.924,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
951,2014,,,,,,,,,,,,,,,,,,,118.0,74.0,,309.0,116.0,534.0,0.558,0.221,0.5786,0.462,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
959,2014,,,,,,,,,,,,,,,,,,,16.0,9.0,,24.0,8.0,90.0,0.4444,0.1778,0.2666,-2.863,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
965,2014,,,,,,,,,,,,,,,,,,,38.0,14.0,,226.0,88.0,353.0,0.5241,0.1076,0.6402,-1.65,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
977,2014,,,,,,,,,,,,,,,,,,,19.0,13.0,,16.0,3.0,68.0,0.4779,0.2794,0.2353,-2.45,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
977,2015,,,,,,,,,,,,,,,,,,,174.0,102.0,,462.0,133.0,1077.0,0.4313,0.1616,0.429,-2.811,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
977,2016,,,,,,,,,,,,,,,,,,,174.0,102.0,,462.0,133.0,1077.0,0.4313,0.1616,0.429,-2.811,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
979,2014,,,,,,,,,,,,,,,,,,,174.0,103.0,,0.0,0.0,221.0,0.552,0.7873,0.0,1.688,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1495,2014,,,,,,,,,,,,,,,,,,,474.0,307.0,,5.0,0.0,839.0,0.5292,0.565,0.006,0.562,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1495,2015,,,,,,,,,,,,,,,,,,,275.0,175.0,,2.0,0.0,402.0,0.5348,0.6841,0.005,1.206,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1495,2016,,,,,,,,,,,,,,,,,,,275.0,175.0,,2.0,0.0,402.0,0.5348,0.6841,0.005,1.206,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1497,2014,,,,,,,,,,,,,,,,,,,8.0,2.0,,47.0,14.0,77.0,0.4025,0.1039,0.6103,-2.45,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1536,2014,,,,,,,,,,,,,,,,,,,8.0,4.0,,14.0,1.0,26.0,0.2499,0.3076,0.5383,-1.175,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1712,2014,,,,,,,,,,,,,,,,,,,31.0,16.0,,40.0,8.0,89.0,0.3707,0.3483,0.4494,-1.212,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1713,2014,,,,,,,,,,,,,,,,,,,231.0,115.0,,370.0,146.0,786.0,0.5114,0.2939,0.4707,-0.425,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1713,2015,,,,,,,,,,,,,,,,,,,91.0,49.0,,169.0,59.0,329.0,0.4939,0.2766,0.5137,-0.954,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1713,2016,,,,,,,,,,,,,,,,,,,91.0,49.0,,169.0,59.0,329.0,0.4939,0.2766,0.5137,-0.954,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1713,2017,,,,,,,,,,,,,,,,,,,109.0,57.0,,295.0,112.0,473.0,0.5264,0.2304,0.6237,-0.724,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1713,2019,,,,,,,,,,,,,,,,,,,105.0,56.0,47.0,316.0,123.0,468.0,0.5502,0.2244,0.6752,0.0502,,,,,shot_zones,high,,,,,,,,,,,,,,,,,
1713,2020,,,,,,,,,,,,,,,,,,,51.0,24.0,51.0,202.0,61.0,304.0,0.4523,0.1678,0.6645,-0.0477,,,,,shot_zones,high,,,,,,,,,,,,,,,,,
1717,2014,,,,,,,,,,,,,,,,,,,133.0,94.0,,328.0,131.0,1253.0,0.5575,0.1061,0.2618,-2.525,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1717,2015,,,,,,,,,,,,,,,,,,,121.0,79.0,,341.0,126.0,1098.0,0.5109,0.1102,0.3106,-2.861,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1717,2016,,,,,,,,,,,,,,,,,,,121.0,79.0,,341.0,126.0,1098.0,0.5109,0.1102,0.3106,-2.861,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1717,2017,,,,,,,,,,,,,,,,,,,55.0,32.0,,204.0,76.0,653.0,0.5008,0.0842,0.3124,-2.938,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1717,2019,,,,,,,,,,,,,,,,,,,15.0,6.0,156.0,205.0,64.0,376.0,0.4441,0.0399,0.5452,-0.0559,,,,,shot_zones,high,,,,,,,,,,,,,,,,,
1718,2014,,,,,,,,,,,,,,,,,,,169.0,115.0,,294.0,110.0,660.0,0.5576,0.2561,0.4454,-0.4,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1718,2015,,,,,,,,,,,,,,,,,,,33.0,18.0,,239.0,75.0,380.0,0.4776,0.0868,0.6289,-2.368,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1718,2016,,,,,,,,,,,,,,,,,,,33.0,18.0,,239.0,75.0,380.0,0.4776,0.0868,0.6289,-2.368,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1718,2017,,,,,,,,,,,,,,,,,,,7.0,6.0,,43.0,15.0,68.0,0.522,0.1029,0.6323,-1.843,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1733,2014,,,,,,,,,,,,,,,,,,,73.0,41.0,,95.0,32.0,190.0,0.5,0.3842,0.5,1.2,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1737,2014,,,,,,,,,,,,,,,,,,,69.0,42.0,,0.0,0.0,118.0,0.4576,0.5847,0.0,-1.625,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1737,2015,,,,,,,,,,,,,,,,,,,2.0,2.0,,0.0,0.0,5.0,0.5988,0.3992,0.0,-0.941,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1737,2016,,,,,,,,,,,,,,,,,,,2.0,2.0,,0.0,0.0,5.0,0.5988,0.3992,0.0,-0.941,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1740,2014,,,,,,,,,,,,,,,,,,,63.0,38.0,,132.0,46.0,230.0,0.5261,0.2739,0.5739,0.344,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1882,2014,,,,,,,,,,,,,,,,,,,128.0,86.0,,2.0,0.0,315.0,0.5587,0.4063,0.0063,-0.762,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1882,2015,,,,,,,,,,,,,,,,,,,19.0,13.0,,1.0,0.0,70.0,0.4428,0.2714,0.0143,-2.937,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1882,2016,,,,,,,,,,,,,,,,,,,19.0,13.0,,1.0,0.0,70.0,0.4428,0.2714,0.0143,-2.937,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1889,2014,,,,,,,,,,,,,,,,,,,126.0,69.0,,20.0,11.0,204.0,0.5318,0.6176,0.098,1.488,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
