player,season_year,fga,pct_self_created,sc_fga,sc_efg,ast_fga,ast_efg,sc_vs_ast_efg_diff,open_shot_rate,tight_shot_rate,total_fga,pva_proxy,adj_ast,secondary_ast,ast_efficiency,ptv_proxy,efg_above_league,drive_playmaking,high_value_touch_rate,secs_per_touch,dribbles_per_touch,elbow_per_poss,paint_per_poss,drives,pts_per_drive,drives_per_poss,drive_pass_pct,drive_ast_pct,cov_proxy,dsv_proxy,def_rim_fg_pct,rim_protection_above_avg,stl,blk,oreb,dreb,oreb_contested,dreb_contested,rpv_proxy
A.J. Lawson,2026.0,78.0,0.1923,15.0,0.2667,63.0,0.627,-0.3603,1.0,0.0,4.0,10.5,10.0,1.0,0.0378,-0.0192,-0.0192,2.0,0.1404,2.1761,1.3606,0.0155,0.0424,14.0,0.4286,0.0311,0.1429,0.0,-1.8,21.99,0.6667,-0.0012,12.0,4.0,9.0,34.0,3.0,8.0,12.5
AJ Green,2026.0,607.0,0.1862,113.0,0.5619,494.0,0.6123,-0.0504,0.6923,0.3077,26.0,201.0,187.0,28.0,0.0549,0.0876,0.0876,95.0,0.0458,1.7937,0.9091,0.0065,0.0098,133.0,0.1203,0.0293,0.7143,0.1203,-58.1,45.62,0.7654,-0.0999,37.0,8.0,29.0,179.0,9.0,34.0,47.5
AJ Johnson,2026.0,176.0,0.6534,115.0,0.3348,61.0,0.4016,-0.0668,0.0,1.0,8.0,56.5,54.0,5.0,0.0966,-0.1891,-0.1891,45.0,0.0563,4.1045,3.6659,0.0023,0.0206,135.0,0.4963,0.1436,0.3333,0.0815,-8.2,14.12,0.8108,-0.1453,11.0,3.0,14.0,40.0,6.0,12.0,21.0
Aaron Gordon,2026.0,398.0,0.4447,177.0,0.4153,221.0,0.7014,-0.2861,0.4,0.6,20.0,122.5,117.0,11.0,0.0822,0.0253,0.0253,24.0,0.4364,3.1334,2.2086,0.0431,0.0873,119.0,0.8403,0.0579,0.2017,0.042,33.7,38.38,0.6944,-0.0289,21.0,10.0,51.0,158.0,33.0,47.0,96.5
Aaron Holiday,2026.0,250.0,0.368,92.0,0.4457,158.0,0.6171,-0.1714,1.0,0.0,12.0,87.5,81.0,13.0,0.074,0.0111,0.0111,66.0,0.0297,3.7983,3.6212,0.0044,0.0057,141.0,0.5461,0.0903,0.4681,0.1064,-1.6,38.95,0.7708,-0.1053,26.0,5.0,13.0,45.0,3.0,11.0,15.5
Aaron Nesmith,2026.0,512.0,0.4395,225.0,0.4133,287.0,0.5976,-0.1843,1.0,0.0,38.0,121.5,113.0,17.0,0.0551,-0.0245,-0.0245,89.0,0.0659,1.6101,0.9169,0.0062,0.0219,290.0,0.631,0.1033,0.3069,0.0414,21.4,68.84,0.617,0.0485,26.0,23.0,48.0,139.0,24.0,28.0,64.0
Aaron Wiggins,2026.0,533.0,0.4653,248.0,0.4657,285.0,0.5649,-0.0992,1.0,0.0,18.0,159.0,147.0,24.0,0.0747,-0.0267,-0.0267,148.0,0.131,2.7601,2.2268,0.0095,0.0375,362.0,0.4448,0.1238,0.4088,0.0994,-40.7,117.84,0.6667,-0.0012,60.0,28.0,41.0,158.0,23.0,41.0,75.5
Ace Bailey,2026.0,867.0,0.3599,312.0,0.484,555.0,0.5378,-0.0538,1.0,0.0,28.0,175.5,165.0,21.0,0.099,-0.0276,-0.0276,120.0,,,,,,327.0,0.5902,0.0771,0.367,0.0826,10.8,131.4,0.7005,-0.035,60.0,49.0,104.0,198.0,53.0,64.0,143.5
Adam Flagler,,,,,,,,,,,,,,,,,,,0.0556,2.781,2.2187,0.0121,0.0121,,,,,,,,,,,,,,,,
Adama Bal,2026.0,69.0,0.3478,24.0,0.6042,45.0,0.5,0.1042,,,,20.5,20.0,1.0,0.0936,-0.0177,-0.0177,10.0,,,,,,21.0,0.4762,0.0405,0.4762,0.1905,-1.7,7.78,0.8293,-0.1638,9.0,1.0,6.0,19.0,3.0,2.0,6.5
Adama Sanogo,,,,,,,,,,,,,,,,,,,1.0,1.4286,0.4776,0.1087,0.2609,,,,,,,,,,,,,,,,
Adem Bona,2026.0,218.0,0.2018,44.0,0.5455,174.0,0.6149,-0.0694,0.0,1.0,4.0,44.0,41.0,6.0,0.0367,-0.0234,-0.0234,8.0,0.4983,1.7021,0.5381,0.0325,0.1226,33.0,0.8182,0.0129,0.2424,0.0,8.6,160.05,0.5354,0.1301,30.0,82.0,128.0,179.0,86.0,59.0,188.0
Adou Thiero,2026.0,31.0,0.3871,12.0,0.5,19.0,0.5526,-0.0526,,,,11.5,11.0,1.0,0.0752,-0.0965,-0.0965,6.0,,,,,,18.0,0.7222,0.0602,0.3333,0.1111,3.0,12.47,0.6667,-0.0012,7.0,2.0,9.0,19.0,4.0,6.0,12.0
Ajay Mitchell,2026.0,590.0,0.6729,397.0,0.5416,193.0,0.5259,0.0157,0.2143,0.7857,14.0,273.0,256.0,34.0,0.1169,0.0029,0.0029,255.0,0.0812,4.2422,4.3851,0.0049,0.0262,644.0,0.6304,0.209,0.396,0.0823,47.1,122.4,0.6914,-0.0259,71.0,18.0,40.0,150.0,15.0,32.0,54.5
Al Horford,2026.0,312.0,0.1795,56.0,0.4643,256.0,0.5527,-0.0884,1.0,0.0,26.0,164.5,150.0,29.0,0.0748,-0.037,-0.037,17.0,0.1957,1.3003,0.3694,0.0152,0.0452,44.0,0.5909,0.022,0.3864,0.0682,1.5,108.14,0.5901,0.0754,30.0,51.0,42.0,171.0,22.0,67.0,100.0
Alec Burks,,,,,,,,,,,,,,,,,,,0.0191,2.5029,1.8508,0.0023,0.0052,,,,,,,,,,,,,,,,
Alex Antetokounmpo,2026.0,8.0,0.125,1.0,1.0,7.0,0.4286,0.5714,,,,1.0,1.0,0.0,0.0714,-0.0627,-0.0627,0.0,,,,,,1.0,0.0,0.0217,0.0,0.0,-0.6,2.33,0.0,0.6655,0.0,1.0,2.0,4.0,2.0,0.0,3.0
Alex Caruso,2026.0,298.0,0.2617,78.0,0.5064,220.0,0.5136,-0.0072,1.0,0.0,26.0,135.5,129.0,13.0,0.0893,-0.0655,-0.0655,41.0,0.1369,2.5926,1.743,0.0198,0.0372,100.0,0.52,0.047,0.41,0.11,-3.7,123.94,0.6863,-0.0208,72.0,17.0,28.0,127.0,10.0,31.0,46.0
Alex Ducas,,,,,,,,,,,,,,,,,,,0.1392,1.156,0.4863,0.0151,0.0264,,,,,,,,,,,,,,,,
Alex Len,,,,,,,,,,,,,,,,,,,0.4795,1.3465,0.4542,0.0846,0.1423,,,,,,,,,,,,,,,,
Alex Morales,2026.0,7.0,0.8571,6.0,0.5,1.0,0.0,0.5,,,,4.0,4.0,0.0,0.16,-0.06,-0.06,1.0,,,,,,7.0,0.5714,0.1458,0.1429,0.1429,0.1,-0.33,1.0,-0.3345,0.0,0.0,1.0,2.0,1.0,0.0,1.5
Alex Reese,,,,,,,,,,,,,,,,,,,0.1194,1.2602,0.2967,0.0109,0.0241,,,,,,,,,,,,,,,,
Alex Sarr,2026.0,650.0,0.42,273.0,0.4469,377.0,0.569,-0.1221,0.4167,0.5833,48.0,166.5,158.0,17.0,0.0693,-0.0523,-0.0523,56.0,0.2888,1.8592,0.8574,0.0715,0.0797,246.0,0.626,0.0893,0.2276,0.0569,16.9,200.68,0.555,0.1105,39.0,95.0,105.0,250.0,64.0,97.0,193.0
Alijah Martin,2026.0,50.0,0.5,25.0,0.24,25.0,0.48,-0.24,,,,13.0,13.0,0.0,0.0889,-0.1912,-0.1912,15.0,,,,,,35.0,0.3714,0.1237,0.4286,0.1429,-6.5,15.32,0.7143,-0.0488,8.0,4.0,9.0,12.0,4.0,2.0,8.0
