iapi_rank,player,position,season,sfposs,rapm_raw,rapm_shrunk,se,tau,lam,ci90_lo,ci90_hi,ci95_lo,ci95_hi,cri80_lo,cri80_hi,cri95_lo,cri95_hi,pi80_lo,pi80_hi,pi95_lo,pi95_hi,ii_lo,ii_hi,ci95_width,cri95_width,pi95_width,p_replacement,p_rotation,p_starter,p_all_star,p_all_nba,p_mvp_tier,n_seasons,career_std,sigma_game_est,p_top5,p_top10,p_top25,median_rank,rank_90_lo,rank_90_hi,uncertainty_grade,portability_grade,iapi
1,Nikola Jokic,big,2024,24792.0,7.61,7.034,0.376,0.366,0.925,6.99,8.23,6.87,8.35,6.57,7.5,6.32,7.75,6.36,7.71,6.01,8.06,6.28,7.78,1.48,1.43,2.06,1.0,1.0,1.0,1.0,1.0,0.538,10,1.397,4.192,0.001,0.001,0.07,125,17,173,A,B,7.232
2,Kawhi Leonard,wing,2024,15411.0,7.9,7.004,0.785,0.745,0.885,6.61,9.19,6.36,9.44,6.05,7.96,5.54,8.46,5.62,8.39,4.88,9.12,6.25,7.75,3.08,2.92,4.24,1.0,1.0,1.0,1.0,0.996,0.502,13,2.296,6.888,0.068,0.17,0.261,91,4,174,B,D,6.743
3,Jayson Tatum,wing,2024,25315.0,6.67,6.189,0.3,0.291,0.927,6.18,7.16,6.08,7.26,5.82,6.56,5.62,6.76,5.67,6.71,5.39,6.99,5.44,6.94,1.18,1.14,1.59,1.0,1.0,1.0,1.0,1.0,0.003,8,1.064,3.191,0.001,0.001,0.082,124,17,168,A,B,6.524
4,Joel Embiid,big,2024,18012.0,6.89,6.191,0.467,0.449,0.9,6.12,7.66,5.97,7.81,5.62,6.77,5.31,7.07,5.36,7.02,4.92,7.46,5.44,6.94,1.83,1.76,2.54,1.0,1.0,1.0,1.0,0.996,0.036,10,1.479,4.436,0.014,0.051,0.161,97,10,177,A,B,6.323
5,LeBron James,wing,2024,21205.0,6.75,6.177,0.735,0.708,0.914,5.54,7.96,5.31,8.19,5.27,7.08,4.79,7.56,4.87,7.49,4.18,8.18,5.43,6.93,2.88,2.77,4.0,1.0,1.0,1.0,1.0,0.952,0.122,23,2.524,7.572,0.006,0.006,0.061,125,17,173,B,D,5.866
6,Giannis Antetokounmpo,big,2024,22434.0,6.78,6.217,0.782,0.754,0.918,5.49,8.07,5.25,8.31,5.25,7.18,4.74,7.69,4.82,7.61,4.09,8.34,5.47,6.97,3.06,2.95,4.26,1.0,1.0,1.0,1.0,0.947,0.149,13,2.76,8.279,0.0,0.002,0.061,96,23,170,B,D,5.812
7,Paul George,wing,2024,17535.0,5.93,5.333,0.549,0.525,0.898,5.03,6.83,4.85,7.01,4.66,6.01,4.3,6.36,4.36,6.31,3.84,6.82,4.58,6.08,2.15,2.06,2.98,1.0,1.0,1.0,1.0,0.737,0.001,15,1.713,5.138,0.041,0.084,0.153,105,6,178,B,C,5.357
8,Rudy Gobert,big,2024,22620.0,5.47,5.018,0.5,0.483,0.919,4.65,6.29,4.49,6.45,4.4,5.64,4.07,5.96,4.13,5.91,3.66,6.38,4.27,5.77,1.96,1.89,2.72,1.0,1.0,1.0,0.999,0.514,0.0,12,1.771,5.313,0.02,0.069,0.163,93,9,177,A,C,5.044
9,Franz Wagner,big,2024,14838.0,5.41,4.756,0.403,0.385,0.881,4.75,6.07,4.62,6.2,4.26,5.25,4.0,5.51,4.04,5.47,3.66,5.85,4.01,5.51,1.58,1.51,2.19,1.0,1.0,1.0,0.999,0.263,0.0,5,1.157,3.471,0.024,0.092,0.161,93,6,177,A,B,5.016
10,Damian Lillard,guard,2024,21785.0,4.36,4.01,0.337,0.327,0.916,3.81,4.91,3.7,5.02,3.59,4.43,3.37,4.65,3.41,4.61,3.09,4.93,3.26,4.76,1.32,1.28,1.84,1.0,1.0,1.0,0.941,0.001,0.0,13,1.173,3.518,0.009,0.009,0.064,124,17,173,A,B,4.247
11,Jimmy Butler,wing,2024,19375.0,4.46,4.052,0.412,0.397,0.906,3.78,5.14,3.65,5.27,3.54,4.56,3.27,4.83,3.32,4.79,2.93,5.17,3.3,4.8,1.62,1.56,2.24,1.0,1.0,1.0,0.918,0.008,0.0,12,1.352,4.056,0.0,0.0,0.062,98,18,158,A,B,4.182
12,Kevin Durant,wing,2024,15647.0,5.38,4.782,1.062,1.008,0.887,3.63,7.13,3.3,7.46,3.49,6.07,2.81,6.76,2.9,6.66,1.91,7.65,4.03,5.53,4.16,3.95,5.74,1.0,1.0,0.999,0.898,0.414,0.014,18,3.132,9.395,0.0,0.0,0.086,115,17,167,C,D,4.096
13,Derrick White,guard,2024,19540.0,4.11,3.747,0.3,0.284,0.907,3.62,4.6,3.52,4.7,3.38,4.11,3.19,4.3,3.26,4.23,3.0,4.49,3.0,4.5,1.18,1.12,1.49,1.0,1.0,1.0,0.807,0.0,0.0,8,0.74,2.5,0.072,0.113,0.181,86,2,174,A,A,4.029
14,Jrue Holiday,guard,2024,22034.0,4.45,4.096,0.596,0.574,0.917,3.47,5.43,3.28,5.62,3.36,4.83,2.97,5.22,3.04,5.16,2.47,5.72,3.35,4.85,2.33,2.25,3.24,1.0,1.0,1.0,0.85,0.058,0.0,17,2.084,6.251,0.0,0.003,0.067,92,23,170,B,D,3.864
15,Draymond Green,big,2024,17402.0,4.3,3.846,0.448,0.43,0.897,3.56,5.04,3.42,5.18,3.3,4.4,3.0,4.69,3.05,4.64,2.63,5.06,3.1,4.6,1.76,1.69,2.43,1.0,1.0,1.0,0.79,0.004,0.0,13,1.393,4.18,0.0,0.0,0.0,60,27,154,A,B,3.845
16,Alex Caruso,guard,2024,14343.0,4.2,3.71,0.375,0.359,0.878,3.58,4.82,3.47,4.93,3.25,4.17,3.01,4.41,3.05,4.38,2.69,4.73,2.96,4.46,1.47,1.41,2.03,1.0,1.0,1.0,0.721,0.0,0.0,8,1.058,3.174,0.025,0.09,0.157,94,6,177,A,B,3.79
17,Devin Booker,guard,2024,23271.0,4.5,4.16,0.689,0.665,0.921,3.37,5.63,3.15,5.85,3.31,5.01,2.86,5.46,2.93,5.39,2.28,6.04,3.41,4.91,2.7,2.61,3.75,1.0,1.0,1.0,0.839,0.103,0.0,11,2.476,7.429,0.047,0.091,0.161,105,6,178,B,D,3.756
18,Stephen Curry,guard,2024,18557.0,4.51,4.091,0.872,0.835,0.903,3.07,5.95,2.8,6.22,3.02,5.16,2.45,5.73,2.54,5.64,1.72,6.46,3.34,4.84,3.42,3.27,4.73,1.0,1.0,0.999,0.76,0.138,0.0,16,2.801,8.404,0.0,0.006,0.119,90,14,170,B,D,3.441
19,Og Anunoby,wing,2024,18663.0,3.76,3.406,0.404,0.389,0.903,3.1,4.42,2.97,4.55,2.91,3.9,2.64,4.17,2.69,4.12,2.31,4.5,2.66,4.16,1.58,1.52,2.2,1.0,1.0,1.0,0.404,0.0,0.0,8,1.301,3.902,0.023,0.084,0.147,97,6,177,A,B,3.144
20,Chris Paul,guard,2024,19971.0,3.93,3.59,0.617,0.593,0.909,2.91,4.95,2.72,5.14,2.83,4.35,2.43,4.75,2.49,4.69,1.91,5.27,2.84,4.34,2.42,2.33,3.36,1.0,1.0,1.0,0.561,0.009,0.0,20,2.056,6.169,0.0,0.001,0.049,96,30,170,B,D,3.125
21,Kyrie Irving,guard,2024,16065.0,3.76,3.366,0.629,0.599,0.889,2.73,4.79,2.53,4.99,2.6,4.13,2.19,4.54,2.25,4.48,1.66,5.07,2.62,4.12,2.47,2.35,3.41,1.0,1.0,0.999,0.411,0.003,0.0,14,1.879,5.637,0.0,0.0,0.085,116,17,168,B,C,2.832
22,Shai Gilgeous-Alexander,guard,2024,21681.0,3.99,3.67,1.014,0.975,0.916,2.32,5.66,2.0,5.98,2.42,4.92,1.76,5.58,1.87,5.47,0.91,6.43,2.92,4.42,3.97,3.82,5.51,1.0,1.0,0.987,0.569,0.086,0.0,8,3.518,10.554,0.0,0.0,0.065,102,18,158,C,D,2.738
23,Isaiah Hartenstein,big,2024,11100.0,3.44,2.9,0.355,0.338,0.847,2.86,4.02,2.74,4.14,2.47,3.33,2.24,3.56,2.27,3.53,1.94,3.86,2.15,3.65,1.39,1.33,1.92,1.0,1.0,1.0,0.038,0.0,0.0,6,0.882,2.646,0.092,0.187,0.284,78,4,172,A,A,2.497
