player,season,orapm,drapm,rapm,oiib,diib,iib,possessions,lambda,source,confidence_tier
A. Aminu,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,368,500,computed,low
A. Baynes,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,359,500,computed,low
A. Bradley,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,209,500,computed,low
A. Brooks,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,402,500,computed,low
A. Burks,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,211,500,computed,low
A. Caruso,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,368,500,computed,low
A. Davis,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,758,500,computed,medium
A. Drummond,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,1098,500,computed,medium
A. Edwards,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,1100,500,computed,medium
A. Gordon,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,984,500,computed,medium
A. Holiday,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,255,500,computed,low
A. Horford,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,690,500,computed,medium
A. Len,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,1011,500,computed,medium
A. Nesmith,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,202,500,computed,low
A. Pokusevski,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,503,500,computed,medium
A. Rivers,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,295,500,computed,low
A. Simons,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,221,500,computed,low
A. Wiggins,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,1025,500,computed,medium
B. Adebayo,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,1024,500,computed,medium
B. Beal,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,1652,500,computed,high
B. Biyombo,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,204,500,computed,low
B. BogdanoviÄ,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,2273,500,computed,high
B. Brown,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,866,500,computed,medium
B. Clarke,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,287,500,computed,low
B. Forbes,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,433,500,computed,low
B. Griffin,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,749,500,computed,medium
B. Hield,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,994,500,computed,medium
B. Ingram,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,1021,500,computed,medium
B. Lopez,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,1079,500,computed,medium
B. MarjanoviÄ,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,208,500,computed,low
B. Portis,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,408,500,computed,low
B. Simmons,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,865,500,computed,medium
C. Anthony,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,821,500,computed,medium
C. Boucher,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,478,500,computed,low
C. Capela,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,1644,500,computed,high
C. Cunningham,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,224,500,computed,low
C. Johnson,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,315,500,computed,low
C. Joseph,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,341,500,computed,low
C. LeVert,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,452,500,computed,low
C. Martin,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,308,500,computed,low
C. McCollum,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,593,500,computed,medium
C. Metu,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,541,500,computed,medium
C. Okeke,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,410,500,computed,low
C. Osman,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,666,500,computed,medium
C. Paul,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,1134,500,computed,medium
C. Payne,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,369,500,computed,low
C. Reddish,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,225,500,computed,low
C. Sexton,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,1070,500,computed,medium
C. White,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,680,500,computed,medium
C. Wood,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,673,500,computed,medium
C. Zeller,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,587,500,computed,medium
D. Augustin,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,367,500,computed,low
D. Avdija,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,264,500,computed,low
D. Ayton,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,1287,500,computed,medium
D. Bacon,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,376,500,computed,low
D. Bane,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,1254,500,computed,medium
D. Bazley,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,908,500,computed,medium
D. BertÄns,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,248,500,computed,low
D. Booker,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,1894,500,computed,high
D. Brooks,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,1434,500,computed,medium
D. Cousins,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,469,500,computed,low
D. DeRozan,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,1107,500,computed,medium
D. Dedmon,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,576,500,computed,medium
D. DiVincenzo,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,990,500,computed,medium
D. Eubanks,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,555,500,computed,medium
D. Favors,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,710,500,computed,medium
D. Finney-Smith,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,1249,500,computed,medium
D. Fox,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,1260,500,computed,medium
D. Gafford,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,477,500,computed,low
D. Gallinari,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,592,500,computed,medium
D. Garland,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,703,500,computed,medium
D. Graham,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,833,500,computed,medium
D. Green,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,1614,500,computed,high
D. House,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,247,500,computed,low
D. Hunter,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,357,500,computed,low
D. Jones,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,823,500,computed,medium
D. Jordan,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,546,500,computed,medium
D. Lillard,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,1076,500,computed,medium
D. McDermott,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,853,500,computed,medium
D. Melton,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,407,500,computed,low
D. Mitchell,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,976,500,computed,medium
D. Murray,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,1266,500,computed,medium
D. Powell,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,543,500,computed,medium
D. Robinson,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,1172,500,computed,medium
D. Rose,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,210,500,computed,low
D. Russell,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,1165,500,computed,medium
D. Sabonis,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,1219,500,computed,medium
D. SchrÃ¶der,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,818,500,computed,medium
D. Theis,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,1068,500,computed,medium
D. Vassell,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,308,500,computed,low
D. Wade,2022,0.0,-0.0,0.0,0.0,-0.0,0.0,475,500,computed,low
