true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202012260CHI_TP0000,202012260CHI,1,,,11:48.0,11:48.0,0,3,0,made_fg
202012260CHI_TP0001,202012260CHI,1,,,11:27.0,11:27.0,0,2,0,made_fg
202012260CHI_TP0002,202012260CHI,1,,,10:15.0,10:15.0,1,2,0,made_fg
202012260CHI_TP0003,202012260CHI,1,,,10:00.0,10:00.0,0,0,0,foul
202012260CHI_TP0004,202012260CHI,1,,,10:00.0,10:00.0,0,1,0,made_ft
202012260CHI_TP0005,202012260CHI,1,,,10:00.0,10:00.0,0,1,0,made_ft
202012260CHI_TP0006,202012260CHI,1,,,9:45.0,9:45.0,0,2,0,made_fg
202012260CHI_TP0007,202012260CHI,1,,,9:34.0,9:34.0,0,2,0,made_fg
202012260CHI_TP0008,202012260CHI,1,,,9:23.0,9:23.0,0,2,0,made_fg
202012260CHI_TP0009,202012260CHI,1,,,9:14.0,9:14.0,0,3,0,made_fg
202012260CHI_TP0010,202012260CHI,1,,,8:47.0,8:47.0,0,3,0,made_fg
202012260CHI_TP0011,202012260CHI,1,,,8:27.0,8:27.0,0,2,0,made_fg
202012260CHI_TP0012,202012260CHI,1,,,8:03.0,8:03.0,0,0,0,foul
202012260CHI_TP0013,202012260CHI,1,,,7:19.0,7:19.0,2,0,0,foul
202012260CHI_TP0014,202012260CHI,1,,,7:04.0,7:04.0,1,3,0,made_fg
202012260CHI_TP0015,202012260CHI,1,,,6:48.0,6:48.0,0,0,0,timeout
202012260CHI_TP0016,202012260CHI,1,,,6:34.0,6:34.0,0,2,0,made_fg
202012260CHI_TP0017,202012260CHI,1,,,6:17.0,6:17.0,0,2,0,made_fg
202012260CHI_TP0018,202012260CHI,1,,,5:54.0,5:54.0,1,2,0,made_fg
202012260CHI_TP0019,202012260CHI,1,,,5:40.0,5:40.0,0,0,0,foul
202012260CHI_TP0020,202012260CHI,1,,,5:27.0,5:27.0,0,0,0,dead_ball_tov
202012260CHI_TP0021,202012260CHI,1,,,5:06.0,5:06.0,0,2,0,made_fg
202012260CHI_TP0022,202012260CHI,1,,,4:12.0,4:12.0,1,0,0,foul
202012260CHI_TP0023,202012260CHI,1,,,4:12.0,4:12.0,1,1,0,made_ft
202012260CHI_TP0024,202012260CHI,1,,,3:47.0,3:47.0,1,2,0,made_fg
202012260CHI_TP0025,202012260CHI,1,,,3:37.0,3:37.0,0,0,0,foul
202012260CHI_TP0026,202012260CHI,1,,,3:37.0,3:37.0,0,1,0,made_ft
202012260CHI_TP0027,202012260CHI,1,,,3:37.0,3:37.0,0,1,0,made_ft
202012260CHI_TP0028,202012260CHI,1,,,3:22.0,3:22.0,0,2,0,made_fg
202012260CHI_TP0029,202012260CHI,1,,,3:07.0,3:07.0,0,2,0,made_fg
202012260CHI_TP0030,202012260CHI,1,,,2:47.0,2:47.0,0,3,0,made_fg
202012260CHI_TP0031,202012260CHI,1,,,2:33.0,2:33.0,0,0,0,timeout
202012260CHI_TP0032,202012260CHI,1,,,2:01.0,2:01.0,0,2,0,made_fg
202012260CHI_TP0033,202012260CHI,1,,,1:10.0,1:10.0,1,0,0,foul
202012260CHI_TP0034,202012260CHI,1,,,0:50.0,0:50.0,0,0,0,dead_ball_tov
202012260CHI_TP0035,202012260CHI,1,,,0:38.0,0:38.0,0,2,0,made_fg
202012260CHI_TP0036,202012260CHI,1,,,0:32.0,0:32.0,0,2,0,made_fg
202012260CHI_TP0037,202012260CHI,1,,,0:32.0,0:32.0,0,0,0,foul
202012260CHI_TP0038,202012260CHI,1,,,0:32.0,0:32.0,0,1,0,made_ft
202012260CHI_TP0039,202012260CHI,1,,,0:22.0,0:22.0,0,2,0,made_fg
202012260CHI_TP0040,202012260CHI,1,,,11:45.0,11:45.0,2,2,0,made_fg
202012260CHI_TP0041,202012260CHI,1,,,11:31.0,11:31.0,0,3,0,made_fg
202012260CHI_TP0042,202012260CHI,1,,,11:05.0,11:05.0,0,2,0,made_fg
202012260CHI_TP0043,202012260CHI,1,,,11:05.0,11:05.0,0,0,0,foul
202012260CHI_TP0044,202012260CHI,1,,,10:25.0,10:25.0,1,2,0,made_fg
202012260CHI_TP0045,202012260CHI,1,,,10:18.0,10:18.0,0,2,0,made_fg
202012260CHI_TP0046,202012260CHI,1,,,10:12.0,10:12.0,0,0,0,foul
202012260CHI_TP0047,202012260CHI,1,,,10:06.0,10:06.0,0,2,0,made_fg
202012260CHI_TP0048,202012260CHI,1,,,10:06.0,10:06.0,0,0,0,foul
202012260CHI_TP0049,202012260CHI,1,,,10:06.0,10:06.0,0,1,0,made_ft
202012260CHI_TP0050,202012260CHI,1,,,9:29.0,9:29.0,0,3,0,made_fg
202012260CHI_TP0051,202012260CHI,1,,,9:10.0,9:10.0,0,0,0,foul
202012260CHI_TP0052,202012260CHI,1,,,8:53.0,8:53.0,0,2,0,made_fg
202012260CHI_TP0053,202012260CHI,1,,,8:49.0,8:49.0,0,0,0,timeout
202012260CHI_TP0054,202012260CHI,1,,,8:44.0,8:44.0,0,0,0,foul
202012260CHI_TP0055,202012260CHI,1,,,8:44.0,8:44.0,1,1,0,made_ft
202012260CHI_TP0056,202012260CHI,1,,,8:33.0,8:33.0,0,2,0,made_fg
202012260CHI_TP0057,202012260CHI,1,,,8:01.0,8:01.0,0,0,0,foul
202012260CHI_TP0058,202012260CHI,1,,,8:01.0,8:01.0,0,1,0,made_ft
202012260CHI_TP0059,202012260CHI,1,,,8:01.0,8:01.0,0,1,0,made_ft
202012260CHI_TP0060,202012260CHI,1,,,7:55.0,7:55.0,0,2,0,made_fg
202012260CHI_TP0061,202012260CHI,1,,,7:55.0,7:55.0,0,0,0,timeout
202012260CHI_TP0062,202012260CHI,1,,,7:43.0,7:43.0,0,0,0,dead_ball_tov
202012260CHI_TP0063,202012260CHI,1,,,7:32.0,7:32.0,0,0,0,dead_ball_tov
202012260CHI_TP0064,202012260CHI,1,,,7:11.0,7:11.0,0,0,0,dead_ball_tov
202012260CHI_TP0065,202012260CHI,1,,,6:47.0,6:47.0,0,2,0,made_fg
202012260CHI_TP0066,202012260CHI,1,,,6:26.0,6:26.0,0,2,0,made_fg
202012260CHI_TP0067,202012260CHI,1,,,6:14.0,6:14.0,0,0,0,foul
202012260CHI_TP0068,202012260CHI,1,,,6:14.0,6:14.0,0,0,0,dead_ball_tov
202012260CHI_TP0069,202012260CHI,1,,,6:04.0,6:04.0,0,3,0,made_fg
202012260CHI_TP0070,202012260CHI,1,,,5:29.0,5:29.0,0,0,0,foul
202012260CHI_TP0071,202012260CHI,1,,,5:29.0,5:29.0,0,0,0,timeout
202012260CHI_TP0072,202012260CHI,1,,,5:29.0,5:29.0,0,1,0,made_ft
202012260CHI_TP0073,202012260CHI,1,,,4:57.0,4:57.0,0,2,0,made_fg
202012260CHI_TP0074,202012260CHI,1,,,4:47.0,4:47.0,0,2,0,made_fg
202012260CHI_TP0075,202012260CHI,1,,,4:34.0,4:34.0,0,0,0,foul
202012260CHI_TP0076,202012260CHI,1,,,4:14.0,4:14.0,0,2,0,made_fg
202012260CHI_TP0077,202012260CHI,1,,,4:09.0,4:09.0,0,0,0,timeout
202012260CHI_TP0078,202012260CHI,1,,,3:45.0,3:45.0,2,2,0,made_fg
202012260CHI_TP0079,202012260CHI,1,,,3:21.0,3:21.0,0,3,0,made_fg
202012260CHI_TP0080,202012260CHI,1,,,3:12.0,3:12.0,0,0,0,foul
202012260CHI_TP0081,202012260CHI,1,,,3:12.0,3:12.0,1,1,0,made_ft
202012260CHI_TP0082,202012260CHI,1,,,3:04.0,3:04.0,0,0,0,foul
202012260CHI_TP0083,202012260CHI,1,,,2:42.0,2:42.0,1,2,0,made_fg
202012260CHI_TP0084,202012260CHI,1,,,2:19.0,2:19.0,1,2,0,made_fg
202012260CHI_TP0085,202012260CHI,1,,,2:10.0,2:10.0,0,0,0,foul
202012260CHI_TP0086,202012260CHI,1,,,2:10.0,2:10.0,0,0,0,foul
202012260CHI_TP0087,202012260CHI,1,,,2:10.0,2:10.0,0,1,0,made_ft
202012260CHI_TP0088,202012260CHI,1,,,2:10.0,2:10.0,1,1,0,made_ft
202012260CHI_TP0089,202012260CHI,1,,,1:35.0,1:35.0,0,0,0,foul
202012260CHI_TP0090,202012260CHI,1,,,1:35.0,1:35.0,0,1,0,made_ft
202012260CHI_TP0091,202012260CHI,1,,,1:35.0,1:35.0,0,1,0,made_ft
