true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202012260SAS_TP0000,202012260SAS,1,,,11:28.0,11:28.0,0,0,0,foul
202012260SAS_TP0001,202012260SAS,1,,,11:16.0,11:16.0,0,2,0,made_fg
202012260SAS_TP0002,202012260SAS,1,,,10:58.0,10:58.0,0,2,0,made_fg
202012260SAS_TP0003,202012260SAS,1,,,10:11.0,10:11.0,3,3,0,made_fg
202012260SAS_TP0004,202012260SAS,1,,,9:42.0,9:42.0,0,2,0,made_fg
202012260SAS_TP0005,202012260SAS,1,,,9:27.0,9:27.0,0,3,0,made_fg
202012260SAS_TP0006,202012260SAS,1,,,9:16.0,9:16.0,0,2,0,made_fg
202012260SAS_TP0007,202012260SAS,1,,,8:46.0,8:46.0,2,2,0,made_fg
202012260SAS_TP0008,202012260SAS,1,,,8:35.0,8:35.0,0,2,0,made_fg
202012260SAS_TP0009,202012260SAS,1,,,8:12.0,8:12.0,0,3,0,made_fg
202012260SAS_TP0010,202012260SAS,1,,,8:12.0,8:12.0,0,0,0,timeout
202012260SAS_TP0011,202012260SAS,1,,,7:34.0,7:34.0,1,3,0,made_fg
202012260SAS_TP0012,202012260SAS,1,,,7:19.0,7:19.0,0,2,0,made_fg
202012260SAS_TP0013,202012260SAS,1,,,7:00.0,7:00.0,0,2,0,made_fg
202012260SAS_TP0014,202012260SAS,1,,,6:42.0,6:42.0,0,3,0,made_fg
202012260SAS_TP0015,202012260SAS,1,,,6:33.0,6:33.0,0,2,0,made_fg
202012260SAS_TP0016,202012260SAS,1,,,6:04.0,6:04.0,0,2,0,made_fg
202012260SAS_TP0017,202012260SAS,1,,,5:56.0,5:56.0,0,0,0,foul
202012260SAS_TP0018,202012260SAS,1,,,5:55.0,5:55.0,0,0,0,foul
202012260SAS_TP0019,202012260SAS,1,,,5:49.0,5:49.0,0,2,0,made_fg
202012260SAS_TP0020,202012260SAS,1,,,5:25.0,5:25.0,1,0,0,foul
202012260SAS_TP0021,202012260SAS,1,,,5:11.0,5:11.0,0,2,0,made_fg
202012260SAS_TP0022,202012260SAS,1,,,5:00.0,5:00.0,0,3,0,made_fg
202012260SAS_TP0023,202012260SAS,1,,,4:38.0,4:38.0,0,3,0,made_fg
202012260SAS_TP0024,202012260SAS,1,,,4:05.0,4:05.0,0,0,0,foul
202012260SAS_TP0025,202012260SAS,1,,,4:05.0,4:05.0,0,0,0,dead_ball_tov
202012260SAS_TP0026,202012260SAS,1,,,3:54.0,3:54.0,0,0,0,foul
202012260SAS_TP0027,202012260SAS,1,,,3:54.0,3:54.0,0,1,0,made_ft
202012260SAS_TP0028,202012260SAS,1,,,3:54.0,3:54.0,0,1,0,made_ft
202012260SAS_TP0029,202012260SAS,1,,,3:37.0,3:37.0,1,2,0,made_fg
202012260SAS_TP0030,202012260SAS,1,,,3:27.0,3:27.0,0,0,0,foul
202012260SAS_TP0031,202012260SAS,1,,,3:22.0,3:22.0,0,2,0,made_fg
202012260SAS_TP0032,202012260SAS,1,,,3:10.0,3:10.0,0,2,0,made_fg
202012260SAS_TP0033,202012260SAS,1,,,2:40.0,2:40.0,2,2,0,made_fg
202012260SAS_TP0034,202012260SAS,1,,,2:26.0,2:26.0,0,3,0,made_fg
202012260SAS_TP0035,202012260SAS,1,,,2:23.0,2:23.0,0,0,0,timeout
202012260SAS_TP0036,202012260SAS,1,,,1:46.0,1:46.0,0,0,0,foul
202012260SAS_TP0037,202012260SAS,1,,,1:35.0,1:35.0,0,2,0,made_fg
202012260SAS_TP0038,202012260SAS,1,,,1:21.0,1:21.0,0,0,0,foul
202012260SAS_TP0039,202012260SAS,1,,,1:21.0,1:21.0,1,1,0,made_ft
202012260SAS_TP0040,202012260SAS,1,,,0:53.0,0:53.0,1,2,0,made_fg
202012260SAS_TP0041,202012260SAS,1,,,0:40.0,0:40.0,0,0,0,foul
202012260SAS_TP0042,202012260SAS,1,,,0:40.0,0:40.0,0,1,0,made_ft
202012260SAS_TP0043,202012260SAS,1,,,0:40.0,0:40.0,0,1,0,made_ft
202012260SAS_TP0044,202012260SAS,1,,,0:32.0,0:32.0,0,2,0,made_fg
202012260SAS_TP0045,202012260SAS,1,,,0:32.0,0:32.0,0,0,0,foul
202012260SAS_TP0046,202012260SAS,1,,,0:32.0,0:32.0,0,1,0,made_ft
202012260SAS_TP0047,202012260SAS,1,,,0:19.0,0:19.0,0,2,0,made_fg
202012260SAS_TP0048,202012260SAS,1,,,0:00.0,0:00.0,0,2,0,made_fg
