true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202012310IND_TP0000,202012310IND,1,,,11:40.0,11:40.0,0,2,0,made_fg
202012310IND_TP0001,202012310IND,1,,,11:06.0,11:06.0,0,0,0,foul
202012310IND_TP0002,202012310IND,1,,,11:00.0,11:00.0,0,0,0,foul
202012310IND_TP0003,202012310IND,1,,,11:00.0,11:00.0,0,0,0,dead_ball_tov
202012310IND_TP0004,202012310IND,1,,,10:44.0,10:44.0,0,2,0,made_fg
202012310IND_TP0005,202012310IND,1,,,10:35.0,10:35.0,0,2,0,made_fg
202012310IND_TP0006,202012310IND,1,,,10:18.0,10:18.0,0,2,0,made_fg
202012310IND_TP0007,202012310IND,1,,,9:59.0,9:59.0,0,2,0,made_fg
202012310IND_TP0008,202012310IND,1,,,9:20.0,9:20.0,2,3,0,made_fg
202012310IND_TP0009,202012310IND,1,,,8:54.0,8:54.0,0,2,0,made_fg
202012310IND_TP0010,202012310IND,1,,,8:32.0,8:32.0,0,0,0,foul
202012310IND_TP0011,202012310IND,1,,,8:06.0,8:06.0,0,0,0,dead_ball_tov
202012310IND_TP0012,202012310IND,1,,,7:47.0,7:47.0,0,3,0,made_fg
202012310IND_TP0013,202012310IND,1,,,7:32.0,7:32.0,0,0,0,foul
202012310IND_TP0014,202012310IND,1,,,7:32.0,7:32.0,0,0,0,dead_ball_tov
202012310IND_TP0015,202012310IND,1,,,7:12.0,7:12.0,0,2,0,made_fg
202012310IND_TP0016,202012310IND,1,,,6:54.0,6:54.0,0,2,0,made_fg
202012310IND_TP0017,202012310IND,1,,,6:46.0,6:46.0,0,3,0,made_fg
202012310IND_TP0018,202012310IND,1,,,6:15.0,6:15.0,0,0,0,timeout
202012310IND_TP0019,202012310IND,1,,,5:51.0,5:51.0,0,0,0,foul
202012310IND_TP0020,202012310IND,1,,,5:51.0,5:51.0,0,1,0,made_ft
202012310IND_TP0021,202012310IND,1,,,5:36.0,5:36.0,1,0,0,foul
202012310IND_TP0022,202012310IND,1,,,5:36.0,5:36.0,0,1,0,made_ft
202012310IND_TP0023,202012310IND,1,,,5:36.0,5:36.0,0,1,0,made_ft
202012310IND_TP0024,202012310IND,1,,,5:10.0,5:10.0,4,3,0,made_fg
202012310IND_TP0025,202012310IND,1,,,4:53.0,4:53.0,0,3,0,made_fg
202012310IND_TP0026,202012310IND,1,,,3:53.0,3:53.0,3,0,0,foul
202012310IND_TP0027,202012310IND,1,,,3:45.0,3:45.0,1,2,0,made_fg
202012310IND_TP0028,202012310IND,1,,,3:32.0,3:32.0,0,3,0,made_fg
202012310IND_TP0029,202012310IND,1,,,2:36.0,2:36.0,0,0,0,foul
202012310IND_TP0030,202012310IND,1,,,2:36.0,2:36.0,0,0,0,timeout
202012310IND_TP0031,202012310IND,1,,,2:21.0,2:21.0,0,3,0,made_fg
202012310IND_TP0032,202012310IND,1,,,2:00.0,2:00.0,0,0,0,foul
202012310IND_TP0033,202012310IND,1,,,2:00.0,2:00.0,1,1,0,made_ft
202012310IND_TP0034,202012310IND,1,,,1:44.0,1:44.0,0,3,0,made_fg
202012310IND_TP0035,202012310IND,1,,,1:35.0,1:35.0,0,0,0,foul
202012310IND_TP0036,202012310IND,1,,,0:53.0,0:53.0,2,3,0,made_fg
202012310IND_TP0037,202012310IND,1,,,0:43.0,0:43.0,0,2,0,made_fg
202012310IND_TP0038,202012310IND,1,,,0:32.0,0:32.0,0,2,0,made_fg
202012310IND_TP0039,202012310IND,1,,,0:10.0,0:10.0,0,0,0,foul
202012310IND_TP0040,202012310IND,1,,,11:09.0,11:09.0,1,0,0,dead_ball_tov
202012310IND_TP0041,202012310IND,1,,,10:56.0,10:56.0,0,2,0,made_fg
202012310IND_TP0042,202012310IND,1,,,10:47.0,10:47.0,0,0,0,foul
202012310IND_TP0043,202012310IND,1,,,10:46.0,10:46.0,0,0,0,dead_ball_tov
202012310IND_TP0044,202012310IND,1,,,10:21.0,10:21.0,0,2,0,made_fg
202012310IND_TP0045,202012310IND,1,,,10:01.0,10:01.0,0,0,0,dead_ball_tov
202012310IND_TP0046,202012310IND,1,,,9:36.0,9:36.0,0,2,0,made_fg
202012310IND_TP0047,202012310IND,1,,,9:36.0,9:36.0,0,0,0,timeout
202012310IND_TP0048,202012310IND,1,,,9:23.0,9:23.0,0,3,0,made_fg
202012310IND_TP0049,202012310IND,1,,,8:53.0,8:53.0,0,0,0,foul
202012310IND_TP0050,202012310IND,1,,,8:53.0,8:53.0,0,1,0,made_ft
202012310IND_TP0051,202012310IND,1,,,8:53.0,8:53.0,0,1,0,made_ft
202012310IND_TP0052,202012310IND,1,,,8:44.0,8:44.0,0,3,0,made_fg
202012310IND_TP0053,202012310IND,1,,,8:24.0,8:24.0,0,2,0,made_fg
202012310IND_TP0054,202012310IND,1,,,7:41.0,7:41.0,2,0,0,foul
202012310IND_TP0055,202012310IND,1,,,7:41.0,7:41.0,0,1,0,made_ft
202012310IND_TP0056,202012310IND,1,,,7:41.0,7:41.0,0,1,0,made_ft
202012310IND_TP0057,202012310IND,1,,,7:35.0,7:35.0,0,3,0,made_fg
202012310IND_TP0058,202012310IND,1,,,6:45.0,6:45.0,0,3,0,made_fg
202012310IND_TP0059,202012310IND,1,,,6:20.0,6:20.0,0,2,0,made_fg
202012310IND_TP0060,202012310IND,1,,,6:08.0,6:08.0,0,3,0,made_fg
202012310IND_TP0061,202012310IND,1,,,6:08.0,6:08.0,0,0,0,foul
202012310IND_TP0062,202012310IND,1,,,5:45.0,5:45.0,0,3,0,made_fg
202012310IND_TP0063,202012310IND,1,,,5:20.0,5:20.0,0,0,0,foul
202012310IND_TP0064,202012310IND,1,,,4:56.0,4:56.0,0,2,0,made_fg
202012310IND_TP0065,202012310IND,1,,,4:56.0,4:56.0,0,0,0,foul
202012310IND_TP0066,202012310IND,1,,,4:56.0,4:56.0,0,1,0,made_ft
202012310IND_TP0067,202012310IND,1,,,4:36.0,4:36.0,0,0,0,foul
202012310IND_TP0068,202012310IND,1,,,4:36.0,4:36.0,0,0,0,dead_ball_tov
202012310IND_TP0069,202012310IND,1,,,4:06.0,4:06.0,1,3,0,made_fg
202012310IND_TP0070,202012310IND,1,,,2:57.0,2:57.0,1,0,0,foul
202012310IND_TP0071,202012310IND,1,,,2:57.0,2:57.0,0,0,0,timeout
202012310IND_TP0072,202012310IND,1,,,2:32.0,2:32.0,0,2,0,made_fg
202012310IND_TP0073,202012310IND,1,,,2:16.0,2:16.0,0,0,0,foul
202012310IND_TP0074,202012310IND,1,,,2:16.0,2:16.0,0,1,0,made_ft
202012310IND_TP0075,202012310IND,1,,,2:16.0,2:16.0,0,1,0,made_ft
202012310IND_TP0076,202012310IND,1,,,1:51.0,1:51.0,0,2,0,made_fg
