true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202101040TOR_TP0000,202101040TOR,1,,,11:45.0,11:45.0,0,2,0,made_fg
202101040TOR_TP0001,202101040TOR,1,,,11:24.0,11:24.0,0,3,0,made_fg
202101040TOR_TP0002,202101040TOR,1,,,10:31.0,10:31.0,0,2,0,made_fg
202101040TOR_TP0003,202101040TOR,1,,,10:31.0,10:31.0,0,0,0,foul
202101040TOR_TP0004,202101040TOR,1,,,9:57.0,9:57.0,0,3,0,made_fg
202101040TOR_TP0005,202101040TOR,1,,,9:06.0,9:06.0,1,3,0,made_fg
202101040TOR_TP0006,202101040TOR,1,,,8:49.0,8:49.0,0,3,0,made_fg
202101040TOR_TP0007,202101040TOR,1,,,8:32.0,8:32.0,0,3,0,made_fg
202101040TOR_TP0008,202101040TOR,1,,,8:03.0,8:03.0,0,3,0,made_fg
202101040TOR_TP0009,202101040TOR,1,,,8:02.0,8:02.0,0,0,0,timeout
202101040TOR_TP0010,202101040TOR,1,,,7:51.0,7:51.0,0,2,0,made_fg
202101040TOR_TP0011,202101040TOR,1,,,7:44.0,7:44.0,0,2,0,made_fg
202101040TOR_TP0012,202101040TOR,1,,,7:35.0,7:35.0,0,3,0,made_fg
202101040TOR_TP0013,202101040TOR,1,,,7:13.0,7:13.0,0,3,0,made_fg
202101040TOR_TP0014,202101040TOR,1,,,6:29.0,6:29.0,0,0,0,foul
202101040TOR_TP0015,202101040TOR,1,,,6:29.0,6:29.0,1,1,0,made_ft
202101040TOR_TP0016,202101040TOR,1,,,6:16.0,6:16.0,0,2,0,made_fg
202101040TOR_TP0017,202101040TOR,1,,,6:16.0,6:16.0,0,0,0,foul
202101040TOR_TP0018,202101040TOR,1,,,6:16.0,6:16.0,0,1,0,made_ft
202101040TOR_TP0019,202101040TOR,1,,,5:55.0,5:55.0,1,0,0,foul
202101040TOR_TP0020,202101040TOR,1,,,5:37.0,5:37.0,1,2,0,made_fg
202101040TOR_TP0021,202101040TOR,1,,,5:08.0,5:08.0,0,0,0,foul
202101040TOR_TP0022,202101040TOR,1,,,5:08.0,5:08.0,0,1,0,made_ft
202101040TOR_TP0023,202101040TOR,1,,,5:08.0,5:08.0,0,1,0,made_ft
202101040TOR_TP0024,202101040TOR,1,,,4:56.0,4:56.0,0,0,0,foul
202101040TOR_TP0025,202101040TOR,1,,,4:19.0,4:19.0,1,3,0,made_fg
202101040TOR_TP0026,202101040TOR,1,,,3:37.0,3:37.0,0,3,0,made_fg
202101040TOR_TP0027,202101040TOR,1,,,3:06.0,3:06.0,0,2,0,made_fg
202101040TOR_TP0028,202101040TOR,1,,,3:06.0,3:06.0,0,0,0,timeout
202101040TOR_TP0029,202101040TOR,1,,,2:21.0,2:21.0,0,0,0,foul
202101040TOR_TP0030,202101040TOR,1,,,2:06.0,2:06.0,1,0,0,foul
202101040TOR_TP0031,202101040TOR,1,,,2:06.0,2:06.0,0,1,0,made_ft
202101040TOR_TP0032,202101040TOR,1,,,2:06.0,2:06.0,0,1,0,made_ft
202101040TOR_TP0033,202101040TOR,1,,,1:46.0,1:46.0,0,3,0,made_fg
202101040TOR_TP0034,202101040TOR,1,,,1:39.0,1:39.0,0,0,0,foul
202101040TOR_TP0035,202101040TOR,1,,,1:39.0,1:39.0,0,1,0,made_ft
202101040TOR_TP0036,202101040TOR,1,,,1:39.0,1:39.0,0,1,0,made_ft
202101040TOR_TP0037,202101040TOR,1,,,1:27.0,1:27.0,0,0,0,foul
202101040TOR_TP0038,202101040TOR,1,,,0:19.0,0:19.0,0,0,0,dead_ball_tov
202101040TOR_TP0039,202101040TOR,1,,,11:48.0,11:48.0,0,0,0,foul
202101040TOR_TP0040,202101040TOR,1,,,11:48.0,11:48.0,0,0,0,dead_ball_tov
202101040TOR_TP0041,202101040TOR,1,,,11:20.0,11:20.0,1,2,0,made_fg
202101040TOR_TP0042,202101040TOR,1,,,11:02.0,11:02.0,0,0,0,dead_ball_tov
202101040TOR_TP0043,202101040TOR,1,,,10:47.0,10:47.0,1,3,0,made_fg
202101040TOR_TP0044,202101040TOR,1,,,10:34.0,10:34.0,0,0,0,foul
202101040TOR_TP0045,202101040TOR,1,,,10:34.0,10:34.0,0,1,0,made_ft
202101040TOR_TP0046,202101040TOR,1,,,10:34.0,10:34.0,0,1,0,made_ft
202101040TOR_TP0047,202101040TOR,1,,,10:10.0,10:10.0,2,0,0,foul
202101040TOR_TP0048,202101040TOR,1,,,10:05.0,10:05.0,0,0,0,foul
