true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202101170BOS_TP0000,202101170BOS,1,,,11:47.0,11:47.0,0,0,0,foul
202101170BOS_TP0001,202101170BOS,1,,,11:21.0,11:21.0,1,0,0,dead_ball_tov
202101170BOS_TP0002,202101170BOS,1,,,11:06.0,11:06.0,1,2,0,made_fg
202101170BOS_TP0003,202101170BOS,1,,,10:53.0,10:53.0,0,2,0,made_fg
202101170BOS_TP0004,202101170BOS,1,,,10:17.0,10:17.0,1,3,0,made_fg
202101170BOS_TP0005,202101170BOS,1,,,9:50.0,9:50.0,0,2,0,made_fg
202101170BOS_TP0006,202101170BOS,1,,,9:50.0,9:50.0,0,0,0,timeout
202101170BOS_TP0007,202101170BOS,1,,,9:09.0,9:09.0,0,2,0,made_fg
202101170BOS_TP0008,202101170BOS,1,,,8:57.0,8:57.0,0,0,0,foul
202101170BOS_TP0009,202101170BOS,1,,,8:31.0,8:31.0,0,0,0,dead_ball_tov
202101170BOS_TP0010,202101170BOS,1,,,8:09.0,8:09.0,0,0,0,foul
202101170BOS_TP0011,202101170BOS,1,,,7:53.0,7:53.0,0,0,0,foul
202101170BOS_TP0012,202101170BOS,1,,,7:53.0,7:53.0,1,1,0,made_ft
202101170BOS_TP0013,202101170BOS,1,,,7:24.0,7:24.0,0,0,0,foul
202101170BOS_TP0014,202101170BOS,1,,,7:24.0,7:24.0,0,0,0,dead_ball_tov
202101170BOS_TP0015,202101170BOS,1,,,6:52.0,6:52.0,0,3,0,made_fg
202101170BOS_TP0016,202101170BOS,1,,,5:52.0,5:52.0,3,3,0,made_fg
202101170BOS_TP0017,202101170BOS,1,,,5:41.0,5:41.0,0,0,0,foul
202101170BOS_TP0018,202101170BOS,1,,,5:41.0,5:41.0,0,1,0,made_ft
202101170BOS_TP0019,202101170BOS,1,,,5:41.0,5:41.0,0,1,0,made_ft
202101170BOS_TP0020,202101170BOS,1,,,5:02.0,5:02.0,0,2,0,made_fg
202101170BOS_TP0021,202101170BOS,1,,,4:43.0,4:43.0,0,0,0,foul
