true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202101250DET_TP0000,202101250DET,1,,,11:46.0,11:46.0,0,3,0,made_fg
202101250DET_TP0001,202101250DET,1,,,11:23.0,11:23.0,0,2,0,made_fg
202101250DET_TP0002,202101250DET,1,,,10:44.0,10:44.0,1,3,0,made_fg
202101250DET_TP0003,202101250DET,1,,,10:18.0,10:18.0,1,0,0,foul
202101250DET_TP0004,202101250DET,1,,,10:18.0,10:18.0,0,1,0,made_ft
202101250DET_TP0005,202101250DET,1,,,10:18.0,10:18.0,0,1,0,made_ft
202101250DET_TP0006,202101250DET,1,,,9:54.0,9:54.0,0,3,0,made_fg
202101250DET_TP0007,202101250DET,1,,,9:43.0,9:43.0,0,2,0,made_fg
202101250DET_TP0008,202101250DET,1,,,9:27.0,9:27.0,1,2,0,made_fg
202101250DET_TP0009,202101250DET,1,,,8:54.0,8:54.0,1,2,0,made_fg
202101250DET_TP0010,202101250DET,1,,,8:54.0,8:54.0,0,0,0,timeout
202101250DET_TP0011,202101250DET,1,,,8:44.0,8:44.0,0,0,0,foul
202101250DET_TP0012,202101250DET,1,,,8:44.0,8:44.0,0,0,0,dead_ball_tov
202101250DET_TP0013,202101250DET,1,,,8:20.0,8:20.0,0,2,0,made_fg
202101250DET_TP0014,202101250DET,1,,,8:07.0,8:07.0,0,3,0,made_fg
202101250DET_TP0015,202101250DET,1,,,7:32.0,7:32.0,1,3,0,made_fg
202101250DET_TP0016,202101250DET,1,,,7:17.0,7:17.0,0,0,0,foul
202101250DET_TP0017,202101250DET,1,,,7:17.0,7:17.0,0,0,0,dead_ball_tov
202101250DET_TP0018,202101250DET,1,,,6:33.0,6:33.0,2,2,0,made_fg
202101250DET_TP0019,202101250DET,1,,,6:14.0,6:14.0,0,2,0,made_fg
202101250DET_TP0020,202101250DET,1,,,5:28.0,5:28.0,0,3,0,made_fg
202101250DET_TP0021,202101250DET,1,,,5:15.0,5:15.0,0,0,0,foul
202101250DET_TP0022,202101250DET,1,,,5:15.0,5:15.0,1,1,0,made_ft
202101250DET_TP0023,202101250DET,1,,,4:43.0,4:43.0,0,2,0,made_fg
202101250DET_TP0024,202101250DET,1,,,3:55.0,3:55.0,1,2,0,made_fg
202101250DET_TP0025,202101250DET,1,,,3:37.0,3:37.0,0,2,0,made_fg
202101250DET_TP0026,202101250DET,1,,,3:27.0,3:27.0,0,0,0,timeout
202101250DET_TP0027,202101250DET,1,,,2:49.0,2:49.0,0,2,0,made_fg
202101250DET_TP0028,202101250DET,1,,,2:31.0,2:31.0,0,2,0,made_fg
202101250DET_TP0029,202101250DET,1,,,2:04.0,2:04.0,0,2,0,made_fg
202101250DET_TP0030,202101250DET,1,,,1:39.0,1:39.0,1,2,0,made_fg
202101250DET_TP0031,202101250DET,1,,,1:23.0,1:23.0,0,0,0,foul
202101250DET_TP0032,202101250DET,1,,,1:23.0,1:23.0,0,1,0,made_ft
202101250DET_TP0033,202101250DET,1,,,1:23.0,1:23.0,0,1,0,made_ft
202101250DET_TP0034,202101250DET,1,,,1:08.0,1:08.0,0,0,0,foul
202101250DET_TP0035,202101250DET,1,,,0:59.0,0:59.0,0,2,0,made_fg
202101250DET_TP0036,202101250DET,1,,,0:51.0,0:51.0,0,0,0,foul
202101250DET_TP0037,202101250DET,1,,,0:51.0,0:51.0,0,1,0,made_ft
202101250DET_TP0038,202101250DET,1,,,0:51.0,0:51.0,0,1,0,made_ft
202101250DET_TP0039,202101250DET,1,,,0:15.0,0:15.0,1,2,0,made_fg
202101250DET_TP0040,202101250DET,1,,,11:42.0,11:42.0,1,0,0,foul
202101250DET_TP0041,202101250DET,1,,,11:29.0,11:29.0,0,0,0,foul
202101250DET_TP0042,202101250DET,1,,,11:29.0,11:29.0,0,1,0,made_ft
202101250DET_TP0043,202101250DET,1,,,11:29.0,11:29.0,0,1,0,made_ft
202101250DET_TP0044,202101250DET,1,,,10:38.0,10:38.0,0,0,0,foul
202101250DET_TP0045,202101250DET,1,,,10:34.0,10:34.0,0,2,0,made_fg
202101250DET_TP0046,202101250DET,1,,,10:15.0,10:15.0,0,0,0,foul
202101250DET_TP0047,202101250DET,1,,,10:00.0,10:00.0,0,2,0,made_fg
202101250DET_TP0048,202101250DET,1,,,9:45.0,9:45.0,0,2,0,made_fg
202101250DET_TP0049,202101250DET,1,,,9:32.0,9:32.0,0,2,0,made_fg
202101250DET_TP0050,202101250DET,1,,,9:10.0,9:10.0,0,2,0,made_fg
202101250DET_TP0051,202101250DET,1,,,8:35.0,8:35.0,0,0,0,foul
202101250DET_TP0052,202101250DET,1,,,8:15.0,8:15.0,0,2,0,made_fg
202101250DET_TP0053,202101250DET,1,,,7:32.0,7:32.0,0,0,0,foul
202101250DET_TP0054,202101250DET,1,,,7:32.0,7:32.0,0,0,0,timeout
202101250DET_TP0055,202101250DET,1,,,7:32.0,7:32.0,0,0,0,foul
202101250DET_TP0056,202101250DET,1,,,7:32.0,7:32.0,0,0,0,foul
202101250DET_TP0057,202101250DET,1,,,7:32.0,7:32.0,0,1,0,made_ft
202101250DET_TP0058,202101250DET,1,,,7:14.0,7:14.0,1,2,0,made_fg
202101250DET_TP0059,202101250DET,1,,,6:46.0,6:46.0,1,2,0,made_fg
202101250DET_TP0060,202101250DET,1,,,6:31.0,6:31.0,0,2,0,made_fg
202101250DET_TP0061,202101250DET,1,,,6:16.0,6:16.0,0,3,0,made_fg
202101250DET_TP0062,202101250DET,1,,,6:07.0,6:07.0,0,0,0,foul
202101250DET_TP0063,202101250DET,1,,,6:07.0,6:07.0,0,1,0,made_ft
202101250DET_TP0064,202101250DET,1,,,6:07.0,6:07.0,0,1,0,made_ft
202101250DET_TP0065,202101250DET,1,,,5:52.0,5:52.0,0,0,0,foul
202101250DET_TP0066,202101250DET,1,,,5:41.0,5:41.0,0,0,0,dead_ball_tov
202101250DET_TP0067,202101250DET,1,,,5:04.0,5:04.0,3,0,0,foul
202101250DET_TP0068,202101250DET,1,,,5:04.0,5:04.0,0,1,0,made_ft
202101250DET_TP0069,202101250DET,1,,,5:04.0,5:04.0,0,1,0,made_ft
202101250DET_TP0070,202101250DET,1,,,4:13.0,4:13.0,0,0,0,foul
202101250DET_TP0071,202101250DET,1,,,4:13.0,4:13.0,0,1,0,made_ft
202101250DET_TP0072,202101250DET,1,,,4:13.0,4:13.0,0,1,0,made_ft
202101250DET_TP0073,202101250DET,1,,,3:58.0,3:58.0,0,0,0,foul
202101250DET_TP0074,202101250DET,1,,,3:58.0,3:58.0,0,1,0,made_ft
202101250DET_TP0075,202101250DET,1,,,3:58.0,3:58.0,0,1,0,made_ft
202101250DET_TP0076,202101250DET,1,,,3:46.0,3:46.0,0,2,0,made_fg
202101250DET_TP0077,202101250DET,1,,,3:28.0,3:28.0,0,3,0,made_fg
202101250DET_TP0078,202101250DET,1,,,3:08.0,3:08.0,0,3,0,made_fg
202101250DET_TP0079,202101250DET,1,,,2:54.0,2:54.0,0,0,0,foul
202101250DET_TP0080,202101250DET,1,,,2:54.0,2:54.0,0,0,0,timeout
