true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202101310MIN_TP0000,202101310MIN,1,,,11:47.0,11:47.0,0,0,0,foul
202101310MIN_TP0001,202101310MIN,1,,,11:47.0,11:47.0,0,0,0,dead_ball_tov
202101310MIN_TP0002,202101310MIN,1,,,11:30.0,11:30.0,0,2,0,made_fg
202101310MIN_TP0003,202101310MIN,1,,,10:48.0,10:48.0,0,2,0,made_fg
202101310MIN_TP0004,202101310MIN,1,,,10:48.0,10:48.0,0,0,0,foul
202101310MIN_TP0005,202101310MIN,1,,,10:48.0,10:48.0,0,1,0,made_ft
202101310MIN_TP0006,202101310MIN,1,,,10:14.0,10:14.0,0,2,0,made_fg
202101310MIN_TP0007,202101310MIN,1,,,9:54.0,9:54.0,0,0,0,foul
202101310MIN_TP0008,202101310MIN,1,,,9:54.0,9:54.0,0,1,0,made_ft
202101310MIN_TP0009,202101310MIN,1,,,9:54.0,9:54.0,0,1,0,made_ft
202101310MIN_TP0010,202101310MIN,1,,,9:33.0,9:33.0,2,2,0,made_fg
202101310MIN_TP0011,202101310MIN,1,,,9:25.0,9:25.0,0,3,0,made_fg
202101310MIN_TP0012,202101310MIN,1,,,9:14.0,9:14.0,0,3,0,made_fg
202101310MIN_TP0013,202101310MIN,1,,,8:47.0,8:47.0,0,0,0,dead_ball_tov
202101310MIN_TP0014,202101310MIN,1,,,8:38.0,8:38.0,0,0,0,foul
202101310MIN_TP0015,202101310MIN,1,,,8:38.0,8:38.0,0,1,0,made_ft
202101310MIN_TP0016,202101310MIN,1,,,8:38.0,8:38.0,0,1,0,made_ft
202101310MIN_TP0017,202101310MIN,1,,,8:30.0,8:30.0,0,3,0,made_fg
202101310MIN_TP0018,202101310MIN,1,,,8:04.0,8:04.0,1,2,0,made_fg
202101310MIN_TP0019,202101310MIN,1,,,8:04.0,8:04.0,0,0,0,foul
