true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202103140GSW_TP0000,202103140GSW,1,,,11:22.0,11:22.0,0,0,0,dead_ball_tov
202103140GSW_TP0001,202103140GSW,1,,,11:12.0,11:12.0,0,0,0,foul
202103140GSW_TP0002,202103140GSW,1,,,10:53.0,10:53.0,0,2,0,made_fg
202103140GSW_TP0003,202103140GSW,1,,,10:44.0,10:44.0,0,2,0,made_fg
202103140GSW_TP0004,202103140GSW,1,,,9:50.0,9:50.0,0,0,0,foul
202103140GSW_TP0005,202103140GSW,1,,,9:37.0,9:37.0,0,2,0,made_fg
202103140GSW_TP0006,202103140GSW,1,,,9:16.0,9:16.0,1,2,0,made_fg
202103140GSW_TP0007,202103140GSW,1,,,9:16.0,9:16.0,0,0,0,timeout
202103140GSW_TP0008,202103140GSW,1,,,9:01.0,9:01.0,0,3,0,made_fg
202103140GSW_TP0009,202103140GSW,1,,,8:33.0,8:33.0,1,3,0,made_fg
202103140GSW_TP0010,202103140GSW,1,,,7:26.0,7:26.0,0,0,0,foul
202103140GSW_TP0011,202103140GSW,1,,,7:18.0,7:18.0,0,3,0,made_fg
202103140GSW_TP0012,202103140GSW,1,,,7:09.0,7:09.0,0,0,0,dead_ball_tov
202103140GSW_TP0013,202103140GSW,1,,,6:59.0,6:59.0,0,3,0,made_fg
202103140GSW_TP0014,202103140GSW,1,,,6:57.0,6:57.0,0,0,0,timeout
202103140GSW_TP0015,202103140GSW,1,,,6:42.0,6:42.0,0,3,0,made_fg
202103140GSW_TP0016,202103140GSW,1,,,6:42.0,6:42.0,0,0,0,foul
202103140GSW_TP0017,202103140GSW,1,,,6:42.0,6:42.0,0,1,0,made_ft
202103140GSW_TP0018,202103140GSW,1,,,6:10.0,6:10.0,0,2,0,made_fg
202103140GSW_TP0019,202103140GSW,1,,,5:25.0,5:25.0,0,2,0,made_fg
202103140GSW_TP0020,202103140GSW,1,,,5:07.0,5:07.0,0,2,0,made_fg
202103140GSW_TP0021,202103140GSW,1,,,4:25.0,4:25.0,1,3,0,made_fg
202103140GSW_TP0022,202103140GSW,1,,,4:01.0,4:01.0,0,2,0,made_fg
202103140GSW_TP0023,202103140GSW,1,,,4:01.0,4:01.0,0,0,0,timeout
202103140GSW_TP0024,202103140GSW,1,,,3:21.0,3:21.0,0,3,0,made_fg
202103140GSW_TP0025,202103140GSW,1,,,3:05.0,3:05.0,0,0,0,dead_ball_tov
202103140GSW_TP0026,202103140GSW,1,,,2:48.0,2:48.0,0,2,0,made_fg
202103140GSW_TP0027,202103140GSW,1,,,2:23.0,2:23.0,0,2,0,made_fg
202103140GSW_TP0028,202103140GSW,1,,,2:08.0,2:08.0,0,0,0,foul
202103140GSW_TP0029,202103140GSW,1,,,2:02.0,2:02.0,0,3,0,made_fg
202103140GSW_TP0030,202103140GSW,1,,,1:51.0,1:51.0,0,0,0,foul
202103140GSW_TP0031,202103140GSW,1,,,1:51.0,1:51.0,0,1,0,made_ft
202103140GSW_TP0032,202103140GSW,1,,,1:51.0,1:51.0,0,1,0,made_ft
202103140GSW_TP0033,202103140GSW,1,,,1:40.0,1:40.0,0,2,0,made_fg
202103140GSW_TP0034,202103140GSW,1,,,1:26.0,1:26.0,0,2,0,made_fg
202103140GSW_TP0035,202103140GSW,1,,,1:14.0,1:14.0,0,2,0,made_fg
202103140GSW_TP0036,202103140GSW,1,,,0:44.0,0:44.0,0,0,0,foul
202103140GSW_TP0037,202103140GSW,1,,,0:33.0,0:33.0,1,0,0,dead_ball_tov
202103140GSW_TP0038,202103140GSW,1,,,0:25.0,0:25.0,0,2,0,made_fg
202103140GSW_TP0039,202103140GSW,1,,,11:50.0,11:50.0,0,0,0,foul
202103140GSW_TP0040,202103140GSW,1,,,11:50.0,11:50.0,0,0,0,dead_ball_tov
202103140GSW_TP0041,202103140GSW,1,,,11:39.0,11:39.0,0,2,0,made_fg
202103140GSW_TP0042,202103140GSW,1,,,11:14.0,11:14.0,0,3,0,made_fg
202103140GSW_TP0043,202103140GSW,1,,,10:17.0,10:17.0,1,0,0,foul
202103140GSW_TP0044,202103140GSW,1,,,10:17.0,10:17.0,0,1,0,made_ft
202103140GSW_TP0045,202103140GSW,1,,,10:17.0,10:17.0,0,1,0,made_ft
