true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202103200PHI_TP0000,202103200PHI,1,,,11:31.0,11:31.0,0,3,0,made_fg
202103200PHI_TP0001,202103200PHI,1,,,10:42.0,10:42.0,0,3,0,made_fg
202103200PHI_TP0002,202103200PHI,1,,,10:27.0,10:27.0,0,2,0,made_fg
202103200PHI_TP0003,202103200PHI,1,,,9:48.0,9:48.0,0,3,0,made_fg
202103200PHI_TP0004,202103200PHI,1,,,9:32.0,9:32.0,0,2,0,made_fg
202103200PHI_TP0005,202103200PHI,1,,,9:31.0,9:31.0,0,0,0,timeout
202103200PHI_TP0006,202103200PHI,1,,,9:16.0,9:16.0,0,3,0,made_fg
202103200PHI_TP0007,202103200PHI,1,,,8:51.0,8:51.0,0,3,0,made_fg
202103200PHI_TP0008,202103200PHI,1,,,8:29.0,8:29.0,0,0,0,foul
202103200PHI_TP0009,202103200PHI,1,,,8:18.0,8:18.0,1,2,0,made_fg
202103200PHI_TP0010,202103200PHI,1,,,8:09.0,8:09.0,0,2,0,made_fg
202103200PHI_TP0011,202103200PHI,1,,,7:47.0,7:47.0,0,2,0,made_fg
202103200PHI_TP0012,202103200PHI,1,,,7:40.0,7:40.0,0,0,0,foul
202103200PHI_TP0013,202103200PHI,1,,,7:40.0,7:40.0,0,0,0,dead_ball_tov
202103200PHI_TP0014,202103200PHI,1,,,7:14.0,7:14.0,0,3,0,made_fg
202103200PHI_TP0015,202103200PHI,1,,,7:01.0,7:01.0,0,2,0,made_fg
202103200PHI_TP0016,202103200PHI,1,,,6:23.0,6:23.0,0,2,0,made_fg
202103200PHI_TP0017,202103200PHI,1,,,6:05.0,6:05.0,0,3,0,made_fg
202103200PHI_TP0018,202103200PHI,1,,,5:37.0,5:37.0,0,2,0,made_fg
202103200PHI_TP0019,202103200PHI,1,,,5:29.0,5:29.0,1,2,0,made_fg
202103200PHI_TP0020,202103200PHI,1,,,5:29.0,5:29.0,0,0,0,timeout
202103200PHI_TP0021,202103200PHI,1,,,4:56.0,4:56.0,0,2,0,made_fg
202103200PHI_TP0022,202103200PHI,1,,,4:44.0,4:44.0,0,2,0,made_fg
202103200PHI_TP0023,202103200PHI,1,,,4:33.0,4:33.0,0,0,0,foul
202103200PHI_TP0024,202103200PHI,1,,,4:33.0,4:33.0,0,1,0,made_ft
202103200PHI_TP0025,202103200PHI,1,,,4:33.0,4:33.0,0,1,0,made_ft
202103200PHI_TP0026,202103200PHI,1,,,4:16.0,4:16.0,0,0,0,foul
202103200PHI_TP0027,202103200PHI,1,,,4:16.0,4:16.0,1,1,0,made_ft
202103200PHI_TP0028,202103200PHI,1,,,3:49.0,3:49.0,0,2,0,made_fg
202103200PHI_TP0029,202103200PHI,1,,,3:37.0,3:37.0,0,2,0,made_fg
202103200PHI_TP0030,202103200PHI,1,,,2:44.0,2:44.0,0,0,0,timeout
202103200PHI_TP0031,202103200PHI,1,,,2:07.0,2:07.0,0,2,0,made_fg
202103200PHI_TP0032,202103200PHI,1,,,1:36.0,1:36.0,0,2,0,made_fg
202103200PHI_TP0033,202103200PHI,1,,,1:12.0,1:12.0,0,2,0,made_fg
202103200PHI_TP0034,202103200PHI,1,,,0:46.0,0:46.0,0,3,0,made_fg
202103200PHI_TP0035,202103200PHI,1,,,0:35.0,0:35.0,0,0,0,foul
202103200PHI_TP0036,202103200PHI,1,,,0:25.0,0:25.0,0,2,0,made_fg
202103200PHI_TP0037,202103200PHI,1,,,0:02.0,0:02.0,0,0,0,foul
202103200PHI_TP0038,202103200PHI,1,,,0:02.0,0:02.0,0,1,0,made_ft
202103200PHI_TP0039,202103200PHI,1,,,0:02.0,0:02.0,0,1,0,made_ft
202103200PHI_TP0040,202103200PHI,1,,,11:28.0,11:28.0,1,0,0,foul
202103200PHI_TP0041,202103200PHI,1,,,11:06.0,11:06.0,0,2,0,made_fg
202103200PHI_TP0042,202103200PHI,1,,,10:36.0,10:36.0,0,2,0,made_fg
202103200PHI_TP0043,202103200PHI,1,,,10:11.0,10:11.0,0,0,0,foul
202103200PHI_TP0044,202103200PHI,1,,,10:11.0,10:11.0,0,1,0,made_ft
202103200PHI_TP0045,202103200PHI,1,,,10:11.0,10:11.0,0,1,0,made_ft
202103200PHI_TP0046,202103200PHI,1,,,9:51.0,9:51.0,0,2,0,made_fg
202103200PHI_TP0047,202103200PHI,1,,,9:32.0,9:32.0,0,3,0,made_fg
202103200PHI_TP0048,202103200PHI,1,,,9:16.0,9:16.0,0,0,0,dead_ball_tov
202103200PHI_TP0049,202103200PHI,1,,,8:49.0,8:49.0,2,0,0,foul
202103200PHI_TP0050,202103200PHI,1,,,8:49.0,8:49.0,0,0,0,foul
202103200PHI_TP0051,202103200PHI,1,,,8:49.0,8:49.0,0,1,0,made_ft
202103200PHI_TP0052,202103200PHI,1,,,8:27.0,8:27.0,0,0,0,foul
