true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202105070CHO_TP0000,202105070CHO,1,,,11:43.0,11:43.0,0,3,0,made_fg
202105070CHO_TP0001,202105070CHO,1,,,11:06.0,11:06.0,1,3,0,made_fg
202105070CHO_TP0002,202105070CHO,1,,,10:43.0,10:43.0,0,2,0,made_fg
202105070CHO_TP0003,202105070CHO,1,,,10:10.0,10:10.0,0,3,0,made_fg
202105070CHO_TP0004,202105070CHO,1,,,9:56.0,9:56.0,0,3,0,made_fg
202105070CHO_TP0005,202105070CHO,1,,,9:36.0,9:36.0,0,2,0,made_fg
202105070CHO_TP0006,202105070CHO,1,,,8:36.0,8:36.0,0,0,0,dead_ball_tov
202105070CHO_TP0007,202105070CHO,1,,,8:15.0,8:15.0,0,0,0,dead_ball_tov
202105070CHO_TP0008,202105070CHO,1,,,8:07.0,8:07.0,0,2,0,made_fg
202105070CHO_TP0009,202105070CHO,1,,,8:07.0,8:07.0,0,0,0,foul
202105070CHO_TP0010,202105070CHO,1,,,8:07.0,8:07.0,0,1,0,made_ft
202105070CHO_TP0011,202105070CHO,1,,,7:56.0,7:56.0,0,2,0,made_fg
202105070CHO_TP0012,202105070CHO,1,,,7:44.0,7:44.0,0,2,0,made_fg
202105070CHO_TP0013,202105070CHO,1,,,7:22.0,7:22.0,1,3,0,made_fg
202105070CHO_TP0014,202105070CHO,1,,,6:00.0,6:00.0,0,0,0,timeout
202105070CHO_TP0015,202105070CHO,1,,,5:46.0,5:46.0,0,0,0,foul
202105070CHO_TP0016,202105070CHO,1,,,5:46.0,5:46.0,0,1,0,made_ft
202105070CHO_TP0017,202105070CHO,1,,,5:19.0,5:19.0,0,2,0,made_fg
202105070CHO_TP0018,202105070CHO,1,,,4:47.0,4:47.0,1,0,0,foul
202105070CHO_TP0019,202105070CHO,1,,,4:03.0,4:03.0,0,2,0,made_fg
202105070CHO_TP0020,202105070CHO,1,,,3:49.0,3:49.0,0,3,0,made_fg
202105070CHO_TP0021,202105070CHO,1,,,3:36.0,3:36.0,0,3,0,made_fg
202105070CHO_TP0022,202105070CHO,1,,,3:12.0,3:12.0,0,2,0,made_fg
202105070CHO_TP0023,202105070CHO,1,,,2:26.0,2:26.0,0,2,0,made_fg
202105070CHO_TP0024,202105070CHO,1,,,2:26.0,2:26.0,0,0,0,timeout
202105070CHO_TP0025,202105070CHO,1,,,2:08.0,2:08.0,0,2,0,made_fg
202105070CHO_TP0026,202105070CHO,1,,,1:54.0,1:54.0,0,0,0,dead_ball_tov
202105070CHO_TP0027,202105070CHO,1,,,1:41.0,1:41.0,0,2,0,made_fg
202105070CHO_TP0028,202105070CHO,1,,,1:41.0,1:41.0,0,0,0,timeout
202105070CHO_TP0029,202105070CHO,1,,,1:19.0,1:19.0,0,2,0,made_fg
202105070CHO_TP0030,202105070CHO,1,,,1:04.0,1:04.0,1,2,0,made_fg
202105070CHO_TP0031,202105070CHO,1,,,0:54.0,0:54.0,0,0,0,foul
202105070CHO_TP0032,202105070CHO,1,,,0:43.0,0:43.0,0,2,0,made_fg
202105070CHO_TP0033,202105070CHO,1,,,0:27.0,0:27.0,0,2,0,made_fg
202105070CHO_TP0034,202105070CHO,1,,,0:05.0,0:05.0,0,2,0,made_fg
202105070CHO_TP0035,202105070CHO,1,,,0:00.0,0:00.0,0,2,0,made_fg
202105070CHO_TP0036,202105070CHO,1,,,11:40.0,11:40.0,0,2,0,made_fg
202105070CHO_TP0037,202105070CHO,1,,,11:28.0,11:28.0,0,0,0,dead_ball_tov
202105070CHO_TP0038,202105070CHO,1,,,10:54.0,10:54.0,0,2,0,made_fg
202105070CHO_TP0039,202105070CHO,1,,,10:28.0,10:28.0,0,2,0,made_fg
202105070CHO_TP0040,202105070CHO,1,,,10:15.0,10:15.0,0,0,0,foul
202105070CHO_TP0041,202105070CHO,1,,,10:15.0,10:15.0,0,1,0,made_ft
202105070CHO_TP0042,202105070CHO,1,,,10:15.0,10:15.0,0,1,0,made_ft
202105070CHO_TP0043,202105070CHO,1,,,9:59.0,9:59.0,0,0,0,foul
202105070CHO_TP0044,202105070CHO,1,,,9:59.0,9:59.0,0,1,0,made_ft
202105070CHO_TP0045,202105070CHO,1,,,9:59.0,9:59.0,0,1,0,made_ft
202105070CHO_TP0046,202105070CHO,1,,,9:38.0,9:38.0,1,0,0,foul
202105070CHO_TP0047,202105070CHO,1,,,9:38.0,9:38.0,0,0,0,foul
202105070CHO_TP0048,202105070CHO,1,,,9:38.0,9:38.0,0,0,0,dead_ball_tov
202105070CHO_TP0049,202105070CHO,1,,,9:26.0,9:26.0,0,2,0,made_fg
202105070CHO_TP0050,202105070CHO,1,,,8:55.0,8:55.0,0,0,0,foul
202105070CHO_TP0051,202105070CHO,1,,,8:47.0,8:47.0,0,2,0,made_fg
202105070CHO_TP0052,202105070CHO,1,,,8:20.0,8:20.0,0,3,0,made_fg
202105070CHO_TP0053,202105070CHO,1,,,8:08.0,8:08.0,0,0,0,foul
202105070CHO_TP0054,202105070CHO,1,,,8:08.0,8:08.0,0,1,0,made_ft
202105070CHO_TP0055,202105070CHO,1,,,7:31.0,7:31.0,1,2,0,made_fg
202105070CHO_TP0056,202105070CHO,1,,,7:01.0,7:01.0,2,3,0,made_fg
202105070CHO_TP0057,202105070CHO,1,,,6:21.0,6:21.0,1,0,0,foul
202105070CHO_TP0058,202105070CHO,1,,,6:21.0,6:21.0,0,0,0,timeout
202105070CHO_TP0059,202105070CHO,1,,,6:21.0,6:21.0,0,1,0,made_ft
202105070CHO_TP0060,202105070CHO,1,,,6:21.0,6:21.0,0,1,0,made_ft
202105070CHO_TP0061,202105070CHO,1,,,6:03.0,6:03.0,0,2,0,made_fg
202105070CHO_TP0062,202105070CHO,1,,,5:44.0,5:44.0,1,2,0,made_fg
202105070CHO_TP0063,202105070CHO,1,,,5:33.0,5:33.0,0,0,0,dead_ball_tov
202105070CHO_TP0064,202105070CHO,1,,,5:11.0,5:11.0,2,0,0,foul
202105070CHO_TP0065,202105070CHO,1,,,5:11.0,5:11.0,1,1,0,made_ft
202105070CHO_TP0066,202105070CHO,1,,,4:49.0,4:49.0,1,0,0,foul
202105070CHO_TP0067,202105070CHO,1,,,4:49.0,4:49.0,0,1,0,made_ft
202105070CHO_TP0068,202105070CHO,1,,,4:49.0,4:49.0,0,1,0,made_ft
202105070CHO_TP0069,202105070CHO,1,,,4:00.0,4:00.0,1,2,0,made_fg
202105070CHO_TP0070,202105070CHO,1,,,3:45.0,3:45.0,0,2,0,made_fg
202105070CHO_TP0071,202105070CHO,1,,,3:35.0,3:35.0,0,2,0,made_fg
202105070CHO_TP0072,202105070CHO,1,,,3:15.0,3:15.0,0,0,0,foul
202105070CHO_TP0073,202105070CHO,1,,,3:15.0,3:15.0,0,1,0,made_ft
202105070CHO_TP0074,202105070CHO,1,,,2:59.0,2:59.0,1,2,0,made_fg
202105070CHO_TP0075,202105070CHO,1,,,2:40.0,2:40.0,0,0,0,foul
202105070CHO_TP0076,202105070CHO,1,,,2:40.0,2:40.0,0,0,0,timeout
202105070CHO_TP0077,202105070CHO,1,,,2:40.0,2:40.0,0,1,0,made_ft
202105070CHO_TP0078,202105070CHO,1,,,2:40.0,2:40.0,0,1,0,made_ft
202105070CHO_TP0079,202105070CHO,1,,,2:29.0,2:29.0,0,0,0,foul
202105070CHO_TP0080,202105070CHO,1,,,2:29.0,2:29.0,0,1,0,made_ft
202105070CHO_TP0081,202105070CHO,1,,,2:29.0,2:29.0,0,1,0,made_ft
202105070CHO_TP0082,202105070CHO,1,,,2:29.0,2:29.0,0,1,0,made_ft
202105070CHO_TP0083,202105070CHO,1,,,2:16.0,2:16.0,0,0,0,foul
202105070CHO_TP0084,202105070CHO,1,,,2:16.0,2:16.0,0,1,0,made_ft
202105070CHO_TP0085,202105070CHO,1,,,2:16.0,2:16.0,0,1,0,made_ft
202105070CHO_TP0086,202105070CHO,1,,,2:05.0,2:05.0,0,0,0,foul
202105070CHO_TP0087,202105070CHO,1,,,2:05.0,2:05.0,0,1,0,made_ft
