true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202105160POR_TP0000,202105160POR,1,,,11:45.0,11:45.0,0,0,0,foul
202105160POR_TP0001,202105160POR,1,,,11:45.0,11:45.0,0,1,0,made_ft
202105160POR_TP0002,202105160POR,1,,,11:45.0,11:45.0,0,1,0,made_ft
202105160POR_TP0003,202105160POR,1,,,10:27.0,10:27.0,1,3,0,made_fg
202105160POR_TP0004,202105160POR,1,,,10:07.0,10:07.0,0,3,0,made_fg
202105160POR_TP0005,202105160POR,1,,,9:32.0,9:32.0,0,3,0,made_fg
202105160POR_TP0006,202105160POR,1,,,9:05.0,9:05.0,0,3,0,made_fg
202105160POR_TP0007,202105160POR,1,,,8:54.0,8:54.0,0,3,0,made_fg
202105160POR_TP0008,202105160POR,1,,,8:41.0,8:41.0,0,2,0,made_fg
202105160POR_TP0009,202105160POR,1,,,8:41.0,8:41.0,0,0,0,foul
202105160POR_TP0010,202105160POR,1,,,8:41.0,8:41.0,0,1,0,made_ft
202105160POR_TP0011,202105160POR,1,,,8:30.0,8:30.0,0,3,0,made_fg
202105160POR_TP0012,202105160POR,1,,,8:09.0,8:09.0,0,0,0,foul
202105160POR_TP0013,202105160POR,1,,,8:09.0,8:09.0,0,1,0,made_ft
202105160POR_TP0014,202105160POR,1,,,8:09.0,8:09.0,0,1,0,made_ft
202105160POR_TP0015,202105160POR,1,,,7:51.0,7:51.0,0,2,0,made_fg
202105160POR_TP0016,202105160POR,1,,,7:06.0,7:06.0,1,2,0,made_fg
202105160POR_TP0017,202105160POR,1,,,6:45.0,6:45.0,2,2,0,made_fg
202105160POR_TP0018,202105160POR,1,,,6:44.0,6:44.0,0,0,0,timeout
202105160POR_TP0019,202105160POR,1,,,6:32.0,6:32.0,0,2,0,made_fg
202105160POR_TP0020,202105160POR,1,,,6:15.0,6:15.0,0,0,0,dead_ball_tov
202105160POR_TP0021,202105160POR,1,,,5:43.0,5:43.0,0,2,0,made_fg
202105160POR_TP0022,202105160POR,1,,,5:23.0,5:23.0,0,2,0,made_fg
202105160POR_TP0023,202105160POR,1,,,5:00.0,5:00.0,0,2,0,made_fg
202105160POR_TP0024,202105160POR,1,,,5:00.0,5:00.0,0,0,0,timeout
202105160POR_TP0025,202105160POR,1,,,4:47.0,4:47.0,0,2,0,made_fg
202105160POR_TP0026,202105160POR,1,,,4:27.0,4:27.0,0,3,0,made_fg
202105160POR_TP0027,202105160POR,1,,,4:09.0,4:09.0,0,3,0,made_fg
202105160POR_TP0028,202105160POR,1,,,3:53.0,3:53.0,0,2,0,made_fg
202105160POR_TP0029,202105160POR,1,,,3:27.0,3:27.0,0,3,0,made_fg
202105160POR_TP0030,202105160POR,1,,,2:40.0,2:40.0,0,2,0,made_fg
202105160POR_TP0031,202105160POR,1,,,2:04.0,2:04.0,0,2,0,made_fg
202105160POR_TP0032,202105160POR,1,,,2:04.0,2:04.0,0,0,0,foul
202105160POR_TP0033,202105160POR,1,,,2:04.0,2:04.0,0,1,0,made_ft
202105160POR_TP0034,202105160POR,1,,,2:02.0,2:02.0,0,0,0,foul
202105160POR_TP0035,202105160POR,1,,,1:52.0,1:52.0,0,3,0,made_fg
202105160POR_TP0036,202105160POR,1,,,1:37.0,1:37.0,0,2,0,made_fg
202105160POR_TP0037,202105160POR,1,,,0:33.0,0:33.0,1,3,0,made_fg
202105160POR_TP0038,202105160POR,1,,,11:47.0,11:47.0,1,0,0,foul
202105160POR_TP0039,202105160POR,1,,,11:47.0,11:47.0,0,1,0,made_ft
202105160POR_TP0040,202105160POR,1,,,11:47.0,11:47.0,0,1,0,made_ft
202105160POR_TP0041,202105160POR,1,,,11:32.0,11:32.0,0,2,0,made_fg
202105160POR_TP0042,202105160POR,1,,,11:13.0,11:13.0,1,2,0,made_fg
202105160POR_TP0043,202105160POR,1,,,10:53.0,10:53.0,0,0,0,foul
202105160POR_TP0044,202105160POR,1,,,10:53.0,10:53.0,0,1,0,made_ft
202105160POR_TP0045,202105160POR,1,,,10:53.0,10:53.0,0,1,0,made_ft
202105160POR_TP0046,202105160POR,1,,,10:25.0,10:25.0,0,3,0,made_fg
202105160POR_TP0047,202105160POR,1,,,9:38.0,9:38.0,0,3,0,made_fg
202105160POR_TP0048,202105160POR,1,,,9:20.0,9:20.0,0,2,0,made_fg
202105160POR_TP0049,202105160POR,1,,,9:01.0,9:01.0,0,2,0,made_fg
202105160POR_TP0050,202105160POR,1,,,8:27.0,8:27.0,1,0,0,dead_ball_tov
202105160POR_TP0051,202105160POR,1,,,8:07.0,8:07.0,1,0,0,foul
202105160POR_TP0052,202105160POR,1,,,7:50.0,7:50.0,1,0,0,foul
202105160POR_TP0053,202105160POR,1,,,7:50.0,7:50.0,0,1,0,made_ft
