true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202111010LAC_TP0000,202111010LAC,1,,,11:05.0,11:05.0,0,2,0,made_fg
202111010LAC_TP0001,202111010LAC,1,,,10:51.0,10:51.0,0,2,0,made_fg
202111010LAC_TP0002,202111010LAC,1,,,10:34.0,10:34.0,0,2,0,made_fg
202111010LAC_TP0003,202111010LAC,1,,,9:59.0,9:59.0,0,3,0,made_fg
202111010LAC_TP0004,202111010LAC,1,,,9:45.0,9:45.0,0,2,0,made_fg
202111010LAC_TP0005,202111010LAC,1,,,9:34.0,9:34.0,0,0,0,dead_ball_tov
202111010LAC_TP0006,202111010LAC,1,,,9:07.0,9:07.0,1,3,0,made_fg
202111010LAC_TP0007,202111010LAC,1,,,8:53.0,8:53.0,0,0,0,foul
202111010LAC_TP0008,202111010LAC,1,,,8:53.0,8:53.0,1,1,0,made_ft
202111010LAC_TP0009,202111010LAC,1,,,7:22.0,7:22.0,3,0,0,foul
202111010LAC_TP0010,202111010LAC,1,,,6:54.0,6:54.0,0,2,0,made_fg
202111010LAC_TP0011,202111010LAC,1,,,6:46.0,6:46.0,0,0,0,timeout
202111010LAC_TP0012,202111010LAC,1,,,6:02.0,6:02.0,1,2,0,made_fg
202111010LAC_TP0013,202111010LAC,1,,,5:48.0,5:48.0,0,3,0,made_fg
202111010LAC_TP0014,202111010LAC,1,,,5:19.0,5:19.0,0,0,0,foul
202111010LAC_TP0015,202111010LAC,1,,,5:11.0,5:11.0,0,2,0,made_fg
202111010LAC_TP0016,202111010LAC,1,,,4:46.0,4:46.0,0,0,0,foul
202111010LAC_TP0017,202111010LAC,1,,,4:46.0,4:46.0,0,1,0,made_ft
202111010LAC_TP0018,202111010LAC,1,,,4:07.0,4:07.0,0,2,0,made_fg
202111010LAC_TP0019,202111010LAC,1,,,3:49.0,3:49.0,1,2,0,made_fg
202111010LAC_TP0020,202111010LAC,1,,,3:14.0,3:14.0,1,2,0,made_fg
202111010LAC_TP0021,202111010LAC,1,,,3:04.0,3:04.0,0,2,0,made_fg
202111010LAC_TP0022,202111010LAC,1,,,2:13.0,2:13.0,0,0,0,timeout
202111010LAC_TP0023,202111010LAC,1,,,1:20.0,1:20.0,2,2,0,made_fg
202111010LAC_TP0024,202111010LAC,1,,,1:11.0,1:11.0,0,0,0,foul
202111010LAC_TP0025,202111010LAC,1,,,1:11.0,1:11.0,0,1,0,made_ft
202111010LAC_TP0026,202111010LAC,1,,,1:11.0,1:11.0,0,1,0,made_ft
202111010LAC_TP0027,202111010LAC,1,,,11:48.0,11:48.0,1,2,0,made_fg
202111010LAC_TP0028,202111010LAC,1,,,11:08.0,11:08.0,0,3,0,made_fg
202111010LAC_TP0029,202111010LAC,1,,,10:30.0,10:30.0,0,0,0,dead_ball_tov
202111010LAC_TP0030,202111010LAC,1,,,9:51.0,9:51.0,0,0,0,foul
202111010LAC_TP0031,202111010LAC,1,,,9:40.0,9:40.0,1,2,0,made_fg
202111010LAC_TP0032,202111010LAC,1,,,9:17.0,9:17.0,0,2,0,made_fg
202111010LAC_TP0033,202111010LAC,1,,,9:17.0,9:17.0,0,0,0,foul
202111010LAC_TP0034,202111010LAC,1,,,9:17.0,9:17.0,0,1,0,made_ft
202111010LAC_TP0035,202111010LAC,1,,,8:43.0,8:43.0,0,2,0,made_fg
