true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202111020DAL_TP0000,202111020DAL,1,,,11:18.0,11:18.0,0,0,0,dead_ball_tov
202111020DAL_TP0001,202111020DAL,1,,,10:56.0,10:56.0,0,2,0,made_fg
202111020DAL_TP0002,202111020DAL,1,,,10:42.0,10:42.0,0,0,0,foul
202111020DAL_TP0003,202111020DAL,1,,,10:42.0,10:42.0,1,1,0,made_ft
202111020DAL_TP0004,202111020DAL,1,,,9:57.0,9:57.0,0,3,0,made_fg
202111020DAL_TP0005,202111020DAL,1,,,9:08.0,9:08.0,0,2,0,made_fg
202111020DAL_TP0006,202111020DAL,1,,,8:46.0,8:46.0,0,2,0,made_fg
202111020DAL_TP0007,202111020DAL,1,,,8:38.0,8:38.0,0,0,0,foul
202111020DAL_TP0008,202111020DAL,1,,,8:38.0,8:38.0,0,1,0,made_ft
202111020DAL_TP0009,202111020DAL,1,,,8:15.0,8:15.0,0,3,0,made_fg
202111020DAL_TP0010,202111020DAL,1,,,7:46.0,7:46.0,0,3,0,made_fg
202111020DAL_TP0011,202111020DAL,1,,,7:34.0,7:34.0,0,0,0,foul
202111020DAL_TP0012,202111020DAL,1,,,7:34.0,7:34.0,0,1,0,made_ft
202111020DAL_TP0013,202111020DAL,1,,,7:34.0,7:34.0,0,1,0,made_ft
202111020DAL_TP0014,202111020DAL,1,,,7:19.0,7:19.0,0,2,0,made_fg
202111020DAL_TP0015,202111020DAL,1,,,6:54.0,6:54.0,0,3,0,made_fg
202111020DAL_TP0016,202111020DAL,1,,,6:53.0,6:53.0,0,0,0,timeout
202111020DAL_TP0017,202111020DAL,1,,,6:35.0,6:35.0,0,2,0,made_fg
202111020DAL_TP0018,202111020DAL,1,,,5:42.0,5:42.0,1,0,0,foul
202111020DAL_TP0019,202111020DAL,1,,,5:03.0,5:03.0,0,0,0,foul
202111020DAL_TP0020,202111020DAL,1,,,4:56.0,4:56.0,0,3,0,made_fg
202111020DAL_TP0021,202111020DAL,1,,,4:39.0,4:39.0,0,0,0,foul
202111020DAL_TP0022,202111020DAL,1,,,4:39.0,4:39.0,0,1,0,made_ft
202111020DAL_TP0023,202111020DAL,1,,,4:39.0,4:39.0,0,1,0,made_ft
202111020DAL_TP0024,202111020DAL,1,,,4:27.0,4:27.0,0,0,0,foul
202111020DAL_TP0025,202111020DAL,1,,,4:27.0,4:27.0,0,0,0,dead_ball_tov
202111020DAL_TP0026,202111020DAL,1,,,4:06.0,4:06.0,0,2,0,made_fg
202111020DAL_TP0027,202111020DAL,1,,,3:46.0,3:46.0,1,0,0,foul
202111020DAL_TP0028,202111020DAL,1,,,3:46.0,3:46.0,0,0,0,timeout
202111020DAL_TP0029,202111020DAL,1,,,3:46.0,3:46.0,0,1,0,made_ft
