true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202111100CLE_TP0000,202111100CLE,1,,,11:46.0,11:46.0,0,0,0,foul
202111100CLE_TP0001,202111100CLE,1,,,11:33.0,11:33.0,0,2,0,made_fg
202111100CLE_TP0002,202111100CLE,1,,,11:07.0,11:07.0,0,2,0,made_fg
202111100CLE_TP0003,202111100CLE,1,,,10:39.0,10:39.0,0,0,0,foul
202111100CLE_TP0004,202111100CLE,1,,,10:39.0,10:39.0,0,1,0,made_ft
202111100CLE_TP0005,202111100CLE,1,,,10:39.0,10:39.0,0,1,0,made_ft
202111100CLE_TP0006,202111100CLE,1,,,9:54.0,9:54.0,0,0,0,foul
202111100CLE_TP0007,202111100CLE,1,,,8:24.0,8:24.0,0,0,0,foul
202111100CLE_TP0008,202111100CLE,1,,,8:24.0,8:24.0,0,1,0,made_ft
202111100CLE_TP0009,202111100CLE,1,,,8:24.0,8:24.0,0,1,0,made_ft
202111100CLE_TP0010,202111100CLE,1,,,8:02.0,8:02.0,0,2,0,made_fg
202111100CLE_TP0011,202111100CLE,1,,,7:13.0,7:13.0,1,2,0,made_fg
202111100CLE_TP0012,202111100CLE,1,,,6:47.0,6:47.0,0,0,0,foul
202111100CLE_TP0013,202111100CLE,1,,,6:47.0,6:47.0,0,0,0,timeout
202111100CLE_TP0014,202111100CLE,1,,,6:47.0,6:47.0,0,1,0,made_ft
202111100CLE_TP0015,202111100CLE,1,,,6:47.0,6:47.0,0,1,0,made_ft
202111100CLE_TP0016,202111100CLE,1,,,6:18.0,6:18.0,0,2,0,made_fg
202111100CLE_TP0017,202111100CLE,1,,,6:18.0,6:18.0,0,0,0,foul
202111100CLE_TP0018,202111100CLE,1,,,5:32.0,5:32.0,1,0,0,foul
202111100CLE_TP0019,202111100CLE,1,,,5:05.0,5:05.0,0,3,0,made_fg
202111100CLE_TP0020,202111100CLE,1,,,4:32.0,4:32.0,1,0,0,foul
202111100CLE_TP0021,202111100CLE,1,,,4:32.0,4:32.0,0,1,0,made_ft
202111100CLE_TP0022,202111100CLE,1,,,4:32.0,4:32.0,0,1,0,made_ft
202111100CLE_TP0023,202111100CLE,1,,,4:10.0,4:10.0,0,2,0,made_fg
202111100CLE_TP0024,202111100CLE,1,,,3:48.0,3:48.0,1,2,0,made_fg
202111100CLE_TP0025,202111100CLE,1,,,3:48.0,3:48.0,0,0,0,timeout
202111100CLE_TP0026,202111100CLE,1,,,3:22.0,3:22.0,1,2,0,made_fg
202111100CLE_TP0027,202111100CLE,1,,,2:36.0,2:36.0,3,3,0,made_fg
202111100CLE_TP0028,202111100CLE,1,,,2:07.0,2:07.0,1,2,0,made_fg
202111100CLE_TP0029,202111100CLE,1,,,1:47.0,1:47.0,0,3,0,made_fg
202111100CLE_TP0030,202111100CLE,1,,,1:33.0,1:33.0,0,2,0,made_fg
202111100CLE_TP0031,202111100CLE,1,,,0:52.0,0:52.0,0,0,0,foul
202111100CLE_TP0032,202111100CLE,1,,,0:52.0,0:52.0,0,1,0,made_ft
202111100CLE_TP0033,202111100CLE,1,,,0:52.0,0:52.0,0,1,0,made_ft
202111100CLE_TP0034,202111100CLE,1,,,0:38.0,0:38.0,0,2,0,made_fg
202111100CLE_TP0035,202111100CLE,1,,,0:07.0,0:07.0,0,0,0,foul
202111100CLE_TP0036,202111100CLE,1,,,0:07.0,0:07.0,0,1,0,made_ft
202111100CLE_TP0037,202111100CLE,1,,,0:07.0,0:07.0,0,1,0,made_ft
202111100CLE_TP0038,202111100CLE,1,,,0:00.0,0:00.0,0,3,0,made_fg
202111100CLE_TP0039,202111100CLE,1,,,11:20.0,11:20.0,1,0,0,foul
202111100CLE_TP0040,202111100CLE,1,,,11:20.0,11:20.0,0,1,0,made_ft
202111100CLE_TP0041,202111100CLE,1,,,11:20.0,11:20.0,0,1,0,made_ft
202111100CLE_TP0042,202111100CLE,1,,,11:01.0,11:01.0,0,2,0,made_fg
202111100CLE_TP0043,202111100CLE,1,,,10:39.0,10:39.0,0,2,0,made_fg
202111100CLE_TP0044,202111100CLE,1,,,10:19.0,10:19.0,0,0,0,foul
202111100CLE_TP0045,202111100CLE,1,,,10:19.0,10:19.0,0,1,0,made_ft
202111100CLE_TP0046,202111100CLE,1,,,10:19.0,10:19.0,0,1,0,made_ft
202111100CLE_TP0047,202111100CLE,1,,,9:19.0,9:19.0,0,3,0,made_fg
202111100CLE_TP0048,202111100CLE,1,,,8:58.0,8:58.0,0,0,0,foul
202111100CLE_TP0049,202111100CLE,1,,,8:50.0,8:50.0,0,2,0,made_fg
202111100CLE_TP0050,202111100CLE,1,,,8:25.0,8:25.0,0,2,0,made_fg
202111100CLE_TP0051,202111100CLE,1,,,8:18.0,8:18.0,0,0,0,foul
