true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202201090HOU_TP0000,202201090HOU,1,,,11:11.0,11:11.0,1,0,0,foul
202201090HOU_TP0001,202201090HOU,1,,,11:11.0,11:11.0,1,1,0,made_ft
202201090HOU_TP0002,202201090HOU,1,,,11:00.0,11:00.0,0,2,0,made_fg
202201090HOU_TP0003,202201090HOU,1,,,10:45.0,10:45.0,0,2,0,made_fg
202201090HOU_TP0004,202201090HOU,1,,,10:30.0,10:30.0,0,2,0,made_fg
202201090HOU_TP0005,202201090HOU,1,,,10:15.0,10:15.0,0,2,0,made_fg
202201090HOU_TP0006,202201090HOU,1,,,9:44.0,9:44.0,0,3,0,made_fg
202201090HOU_TP0007,202201090HOU,1,,,9:32.0,9:32.0,0,0,0,foul
202201090HOU_TP0008,202201090HOU,1,,,9:22.0,9:22.0,0,3,0,made_fg
202201090HOU_TP0009,202201090HOU,1,,,8:59.0,8:59.0,0,3,0,made_fg
202201090HOU_TP0010,202201090HOU,1,,,8:30.0,8:30.0,0,3,0,made_fg
202201090HOU_TP0011,202201090HOU,1,,,7:57.0,7:57.0,0,0,0,dead_ball_tov
202201090HOU_TP0012,202201090HOU,1,,,7:44.0,7:44.0,0,2,0,made_fg
202201090HOU_TP0013,202201090HOU,1,,,7:30.0,7:30.0,0,2,0,made_fg
202201090HOU_TP0014,202201090HOU,1,,,6:54.0,6:54.0,0,0,0,timeout
202201090HOU_TP0015,202201090HOU,1,,,6:42.0,6:42.0,0,0,0,foul
202201090HOU_TP0016,202201090HOU,1,,,6:20.0,6:20.0,0,2,0,made_fg
202201090HOU_TP0017,202201090HOU,1,,,6:20.0,6:20.0,0,0,0,foul
202201090HOU_TP0018,202201090HOU,1,,,6:20.0,6:20.0,0,1,0,made_ft
202201090HOU_TP0019,202201090HOU,1,,,5:46.0,5:46.0,1,2,0,made_fg
202201090HOU_TP0020,202201090HOU,1,,,4:59.0,4:59.0,1,2,0,made_fg
202201090HOU_TP0021,202201090HOU,1,,,4:38.0,4:38.0,0,2,0,made_fg
202201090HOU_TP0022,202201090HOU,1,,,4:13.0,4:13.0,0,2,0,made_fg
202201090HOU_TP0023,202201090HOU,1,,,3:55.0,3:55.0,0,2,0,made_fg
202201090HOU_TP0024,202201090HOU,1,,,3:34.0,3:34.0,2,2,0,made_fg
202201090HOU_TP0025,202201090HOU,1,,,3:26.0,3:26.0,0,0,0,foul
202201090HOU_TP0026,202201090HOU,1,,,3:26.0,3:26.0,0,1,0,made_ft
202201090HOU_TP0027,202201090HOU,1,,,3:26.0,3:26.0,0,1,0,made_ft
