true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202201120ATL_TP0000,202201120ATL,1,,,11:53.0,11:53.0,0,0,0,dead_ball_tov
202201120ATL_TP0001,202201120ATL,1,,,11:29.0,11:29.0,0,2,0,made_fg
202201120ATL_TP0002,202201120ATL,1,,,9:44.0,9:44.0,0,2,0,made_fg
202201120ATL_TP0003,202201120ATL,1,,,9:19.0,9:19.0,0,2,0,made_fg
202201120ATL_TP0004,202201120ATL,1,,,8:46.0,8:46.0,0,0,0,foul
202201120ATL_TP0005,202201120ATL,1,,,8:46.0,8:46.0,0,1,0,made_ft
202201120ATL_TP0006,202201120ATL,1,,,8:46.0,8:46.0,0,1,0,made_ft
202201120ATL_TP0007,202201120ATL,1,,,8:30.0,8:30.0,0,2,0,made_fg
202201120ATL_TP0008,202201120ATL,1,,,8:08.0,8:08.0,1,2,0,made_fg
202201120ATL_TP0009,202201120ATL,1,,,7:49.0,7:49.0,0,0,0,foul
202201120ATL_TP0010,202201120ATL,1,,,7:49.0,7:49.0,0,0,0,dead_ball_tov
202201120ATL_TP0011,202201120ATL,1,,,7:21.0,7:21.0,0,3,0,made_fg
202201120ATL_TP0012,202201120ATL,1,,,7:19.0,7:19.0,0,0,0,timeout
202201120ATL_TP0013,202201120ATL,1,,,7:07.0,7:07.0,0,0,0,foul
202201120ATL_TP0014,202201120ATL,1,,,7:07.0,7:07.0,0,1,0,made_ft
202201120ATL_TP0015,202201120ATL,1,,,7:07.0,7:07.0,0,1,0,made_ft
202201120ATL_TP0016,202201120ATL,1,,,6:18.0,6:18.0,0,0,0,foul
202201120ATL_TP0017,202201120ATL,1,,,6:05.0,6:05.0,0,2,0,made_fg
202201120ATL_TP0018,202201120ATL,1,,,5:50.0,5:50.0,0,3,0,made_fg
202201120ATL_TP0019,202201120ATL,1,,,5:14.0,5:14.0,0,3,0,made_fg
202201120ATL_TP0020,202201120ATL,1,,,5:11.0,5:11.0,0,0,0,timeout
202201120ATL_TP0021,202201120ATL,1,,,5:00.0,5:00.0,0,0,0,dead_ball_tov
202201120ATL_TP0022,202201120ATL,1,,,4:41.0,4:41.0,0,2,0,made_fg
202201120ATL_TP0023,202201120ATL,1,,,4:24.0,4:24.0,0,0,0,foul
202201120ATL_TP0024,202201120ATL,1,,,4:14.0,4:14.0,0,2,0,made_fg
202201120ATL_TP0025,202201120ATL,1,,,3:59.0,3:59.0,0,0,0,foul
202201120ATL_TP0026,202201120ATL,1,,,3:42.0,3:42.0,1,2,0,made_fg
202201120ATL_TP0027,202201120ATL,1,,,3:21.0,3:21.0,0,2,0,made_fg
202201120ATL_TP0028,202201120ATL,1,,,3:06.0,3:06.0,0,0,0,dead_ball_tov
202201120ATL_TP0029,202201120ATL,1,,,2:51.0,2:51.0,0,0,0,dead_ball_tov
202201120ATL_TP0030,202201120ATL,1,,,2:38.0,2:38.0,0,0,0,foul
202201120ATL_TP0031,202201120ATL,1,,,2:23.0,2:23.0,1,2,0,made_fg
202201120ATL_TP0032,202201120ATL,1,,,1:54.0,1:54.0,0,2,0,made_fg
202201120ATL_TP0033,202201120ATL,1,,,1:28.0,1:28.0,0,2,0,made_fg
202201120ATL_TP0034,202201120ATL,1,,,1:15.0,1:15.0,0,2,0,made_fg
202201120ATL_TP0035,202201120ATL,1,,,0:52.0,0:52.0,0,2,0,made_fg
202201120ATL_TP0036,202201120ATL,1,,,0:30.0,0:30.0,0,2,0,made_fg
202201120ATL_TP0037,202201120ATL,1,,,0:15.0,0:15.0,0,3,0,made_fg
202201120ATL_TP0038,202201120ATL,1,,,11:41.0,11:41.0,1,3,0,made_fg
202201120ATL_TP0039,202201120ATL,1,,,11:24.0,11:24.0,0,0,0,foul
202201120ATL_TP0040,202201120ATL,1,,,11:24.0,11:24.0,0,1,0,made_ft
202201120ATL_TP0041,202201120ATL,1,,,11:24.0,11:24.0,0,1,0,made_ft
202201120ATL_TP0042,202201120ATL,1,,,11:24.0,11:24.0,0,1,0,made_ft
202201120ATL_TP0043,202201120ATL,1,,,10:53.0,10:53.0,0,3,0,made_fg
