true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202201120UTA_TP0000,202201120UTA,1,,,11:28.0,11:28.0,0,0,0,foul
202201120UTA_TP0001,202201120UTA,1,,,10:53.0,10:53.0,1,0,0,foul
202201120UTA_TP0002,202201120UTA,1,,,10:10.0,10:10.0,0,2,0,made_fg
202201120UTA_TP0003,202201120UTA,1,,,9:45.0,9:45.0,0,2,0,made_fg
202201120UTA_TP0004,202201120UTA,1,,,9:24.0,9:24.0,0,2,0,made_fg
202201120UTA_TP0005,202201120UTA,1,,,9:08.0,9:08.0,0,2,0,made_fg
202201120UTA_TP0006,202201120UTA,1,,,8:51.0,8:51.0,0,0,0,foul
202201120UTA_TP0007,202201120UTA,1,,,8:36.0,8:36.0,0,2,0,made_fg
202201120UTA_TP0008,202201120UTA,1,,,8:32.0,8:32.0,0,0,0,foul
202201120UTA_TP0009,202201120UTA,1,,,8:32.0,8:32.0,0,1,0,made_ft
202201120UTA_TP0010,202201120UTA,1,,,8:03.0,8:03.0,0,0,0,dead_ball_tov
202201120UTA_TP0011,202201120UTA,1,,,7:54.0,7:54.0,0,3,0,made_fg
202201120UTA_TP0012,202201120UTA,1,,,7:35.0,7:35.0,0,2,0,made_fg
202201120UTA_TP0013,202201120UTA,1,,,6:56.0,6:56.0,0,0,0,foul
202201120UTA_TP0014,202201120UTA,1,,,6:56.0,6:56.0,0,0,0,timeout
202201120UTA_TP0015,202201120UTA,1,,,6:56.0,6:56.0,0,1,0,made_ft
202201120UTA_TP0016,202201120UTA,1,,,6:56.0,6:56.0,0,1,0,made_ft
202201120UTA_TP0017,202201120UTA,1,,,6:47.0,6:47.0,0,2,0,made_fg
202201120UTA_TP0018,202201120UTA,1,,,5:26.0,5:26.0,1,3,0,made_fg
202201120UTA_TP0019,202201120UTA,1,,,5:11.0,5:11.0,0,2,0,made_fg
202201120UTA_TP0020,202201120UTA,1,,,4:52.0,4:52.0,0,2,0,made_fg
202201120UTA_TP0021,202201120UTA,1,,,4:31.0,4:31.0,0,0,0,foul
202201120UTA_TP0022,202201120UTA,1,,,4:31.0,4:31.0,0,1,0,made_ft
202201120UTA_TP0023,202201120UTA,1,,,4:31.0,4:31.0,0,1,0,made_ft
202201120UTA_TP0024,202201120UTA,1,,,3:50.0,3:50.0,0,2,0,made_fg
202201120UTA_TP0025,202201120UTA,1,,,3:31.0,3:31.0,0,2,0,made_fg
202201120UTA_TP0026,202201120UTA,1,,,3:11.0,3:11.0,0,2,0,made_fg
202201120UTA_TP0027,202201120UTA,1,,,2:45.0,2:45.0,0,2,0,made_fg
202201120UTA_TP0028,202201120UTA,1,,,2:44.0,2:44.0,0,0,0,timeout
202201120UTA_TP0029,202201120UTA,1,,,2:28.0,2:28.0,0,0,0,dead_ball_tov
202201120UTA_TP0030,202201120UTA,1,,,2:21.0,2:21.0,0,0,0,foul
202201120UTA_TP0031,202201120UTA,1,,,2:12.0,2:12.0,0,2,0,made_fg
202201120UTA_TP0032,202201120UTA,1,,,2:00.0,2:00.0,0,0,0,foul
202201120UTA_TP0033,202201120UTA,1,,,1:43.0,1:43.0,1,2,0,made_fg
202201120UTA_TP0034,202201120UTA,1,,,1:23.0,1:23.0,0,3,0,made_fg
202201120UTA_TP0035,202201120UTA,1,,,1:04.0,1:04.0,0,2,0,made_fg
202201120UTA_TP0036,202201120UTA,1,,,0:53.0,0:53.0,0,2,0,made_fg
202201120UTA_TP0037,202201120UTA,1,,,0:36.0,0:36.0,0,0,0,foul
202201120UTA_TP0038,202201120UTA,1,,,0:36.0,0:36.0,0,1,0,made_ft
202201120UTA_TP0039,202201120UTA,1,,,0:31.0,0:31.0,1,0,0,dead_ball_tov
202201120UTA_TP0040,202201120UTA,1,,,0:01.0,0:01.0,0,0,0,foul
202201120UTA_TP0041,202201120UTA,1,,,0:01.0,0:01.0,0,1,0,made_ft
202201120UTA_TP0042,202201120UTA,1,,,0:01.0,0:01.0,0,1,0,made_ft
202201120UTA_TP0043,202201120UTA,1,,,11:30.0,11:30.0,1,2,0,made_fg
202201120UTA_TP0044,202201120UTA,1,,,11:22.0,11:22.0,0,2,0,made_fg
202201120UTA_TP0045,202201120UTA,1,,,11:09.0,11:09.0,0,0,0,foul
202201120UTA_TP0046,202201120UTA,1,,,11:03.0,11:03.0,0,3,0,made_fg
202201120UTA_TP0047,202201120UTA,1,,,10:45.0,10:45.0,0,2,0,made_fg
202201120UTA_TP0048,202201120UTA,1,,,10:45.0,10:45.0,0,0,0,foul
202201120UTA_TP0049,202201120UTA,1,,,10:45.0,10:45.0,0,1,0,made_ft
202201120UTA_TP0050,202201120UTA,1,,,10:36.0,10:36.0,0,0,0,foul
202201120UTA_TP0051,202201120UTA,1,,,10:36.0,10:36.0,0,1,0,made_ft
202201120UTA_TP0052,202201120UTA,1,,,10:36.0,10:36.0,0,1,0,made_ft
202201120UTA_TP0053,202201120UTA,1,,,10:17.0,10:17.0,0,2,0,made_fg
202201120UTA_TP0054,202201120UTA,1,,,10:06.0,10:06.0,0,3,0,made_fg
202201120UTA_TP0055,202201120UTA,1,,,9:48.0,9:48.0,0,0,0,foul
202201120UTA_TP0056,202201120UTA,1,,,9:40.0,9:40.0,0,0,0,foul
202201120UTA_TP0057,202201120UTA,1,,,9:17.0,9:17.0,0,2,0,made_fg
202201120UTA_TP0058,202201120UTA,1,,,8:49.0,8:49.0,0,3,0,made_fg
202201120UTA_TP0059,202201120UTA,1,,,8:32.0,8:32.0,0,2,0,made_fg
202201120UTA_TP0060,202201120UTA,1,,,8:04.0,8:04.0,0,0,0,foul
202201120UTA_TP0061,202201120UTA,1,,,8:04.0,8:04.0,1,1,0,made_ft
202201120UTA_TP0062,202201120UTA,1,,,7:36.0,7:36.0,1,2,0,made_fg
202201120UTA_TP0063,202201120UTA,1,,,7:19.0,7:19.0,0,2,0,made_fg
202201120UTA_TP0064,202201120UTA,1,,,6:25.0,6:25.0,0,3,0,made_fg
202201120UTA_TP0065,202201120UTA,1,,,6:24.0,6:24.0,0,0,0,timeout
