true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202201150OKC_TP0000,202201150OKC,1,,,11:36.0,11:36.0,0,0,0,foul
202201150OKC_TP0001,202201150OKC,1,,,11:36.0,11:36.0,1,1,0,made_ft
202201150OKC_TP0002,202201150OKC,1,,,11:02.0,11:02.0,2,2,0,made_fg
202201150OKC_TP0003,202201150OKC,1,,,10:33.0,10:33.0,0,0,0,dead_ball_tov
202201150OKC_TP0004,202201150OKC,1,,,10:08.0,10:08.0,1,2,0,made_fg
202201150OKC_TP0005,202201150OKC,1,,,9:21.0,9:21.0,0,2,0,made_fg
202201150OKC_TP0006,202201150OKC,1,,,9:15.0,9:15.0,0,2,0,made_fg
202201150OKC_TP0007,202201150OKC,1,,,9:15.0,9:15.0,0,0,0,foul
202201150OKC_TP0008,202201150OKC,1,,,9:15.0,9:15.0,0,1,0,made_ft
202201150OKC_TP0009,202201150OKC,1,,,9:06.0,9:06.0,0,0,0,foul
202201150OKC_TP0010,202201150OKC,1,,,8:39.0,8:39.0,0,2,0,made_fg
202201150OKC_TP0011,202201150OKC,1,,,8:00.0,8:00.0,0,3,0,made_fg
202201150OKC_TP0012,202201150OKC,1,,,7:47.0,7:47.0,0,0,0,timeout
202201150OKC_TP0013,202201150OKC,1,,,7:30.0,7:30.0,1,2,0,made_fg
202201150OKC_TP0014,202201150OKC,1,,,7:03.0,7:03.0,1,0,0,dead_ball_tov
202201150OKC_TP0015,202201150OKC,1,,,6:09.0,6:09.0,2,0,0,foul
202201150OKC_TP0016,202201150OKC,1,,,6:09.0,6:09.0,1,1,0,made_ft
202201150OKC_TP0017,202201150OKC,1,,,5:51.0,5:51.0,0,2,0,made_fg
202201150OKC_TP0018,202201150OKC,1,,,5:39.0,5:39.0,0,2,0,made_fg
202201150OKC_TP0019,202201150OKC,1,,,5:22.0,5:22.0,0,2,0,made_fg
202201150OKC_TP0020,202201150OKC,1,,,5:06.0,5:06.0,0,2,0,made_fg
202201150OKC_TP0021,202201150OKC,1,,,4:53.0,4:53.0,0,2,0,made_fg
202201150OKC_TP0022,202201150OKC,1,,,4:41.0,4:41.0,0,2,0,made_fg
202201150OKC_TP0023,202201150OKC,1,,,4:11.0,4:11.0,1,2,0,made_fg
202201150OKC_TP0024,202201150OKC,1,,,4:01.0,4:01.0,0,2,0,made_fg
202201150OKC_TP0025,202201150OKC,1,,,3:53.0,3:53.0,0,0,0,timeout
202201150OKC_TP0026,202201150OKC,1,,,3:44.0,3:44.0,0,2,0,made_fg
202201150OKC_TP0027,202201150OKC,1,,,3:29.0,3:29.0,0,0,0,foul
202201150OKC_TP0028,202201150OKC,1,,,3:29.0,3:29.0,0,1,0,made_ft
202201150OKC_TP0029,202201150OKC,1,,,3:29.0,3:29.0,0,1,0,made_ft
202201150OKC_TP0030,202201150OKC,1,,,3:15.0,3:15.0,0,0,0,foul
202201150OKC_TP0031,202201150OKC,1,,,3:15.0,3:15.0,0,1,0,made_ft
202201150OKC_TP0032,202201150OKC,1,,,3:15.0,3:15.0,0,1,0,made_ft
202201150OKC_TP0033,202201150OKC,1,,,3:01.0,3:01.0,0,0,0,foul
