true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202201150WAS_TP0000,202201150WAS,1,,,11:47.0,11:47.0,0,0,0,foul
202201150WAS_TP0001,202201150WAS,1,,,11:31.0,11:31.0,1,0,0,foul
202201150WAS_TP0002,202201150WAS,1,,,11:31.0,11:31.0,0,1,0,made_ft
202201150WAS_TP0003,202201150WAS,1,,,11:31.0,11:31.0,0,1,0,made_ft
202201150WAS_TP0004,202201150WAS,1,,,11:04.0,11:04.0,2,2,0,made_fg
202201150WAS_TP0005,202201150WAS,1,,,10:38.0,10:38.0,0,2,0,made_fg
202201150WAS_TP0006,202201150WAS,1,,,10:14.0,10:14.0,0,2,0,made_fg
202201150WAS_TP0007,202201150WAS,1,,,9:58.0,9:58.0,0,2,0,made_fg
202201150WAS_TP0008,202201150WAS,1,,,9:43.0,9:43.0,0,0,0,dead_ball_tov
202201150WAS_TP0009,202201150WAS,1,,,9:06.0,9:06.0,1,3,0,made_fg
202201150WAS_TP0010,202201150WAS,1,,,8:40.0,8:40.0,0,0,0,foul
202201150WAS_TP0011,202201150WAS,1,,,8:40.0,8:40.0,0,1,0,made_ft
202201150WAS_TP0012,202201150WAS,1,,,8:17.0,8:17.0,0,3,0,made_fg
202201150WAS_TP0013,202201150WAS,1,,,8:02.0,8:02.0,0,0,0,foul
202201150WAS_TP0014,202201150WAS,1,,,8:02.0,8:02.0,0,1,0,made_ft
202201150WAS_TP0015,202201150WAS,1,,,8:02.0,8:02.0,0,1,0,made_ft
202201150WAS_TP0016,202201150WAS,1,,,7:33.0,7:33.0,0,0,0,foul
202201150WAS_TP0017,202201150WAS,1,,,7:33.0,7:33.0,0,1,0,made_ft
202201150WAS_TP0018,202201150WAS,1,,,7:33.0,7:33.0,0,1,0,made_ft
202201150WAS_TP0019,202201150WAS,1,,,6:37.0,6:37.0,1,0,0,timeout
202201150WAS_TP0020,202201150WAS,1,,,6:20.0,6:20.0,0,3,0,made_fg
202201150WAS_TP0021,202201150WAS,1,,,6:02.0,6:02.0,0,3,0,made_fg
202201150WAS_TP0022,202201150WAS,1,,,5:30.0,5:30.0,1,3,0,made_fg
202201150WAS_TP0023,202201150WAS,1,,,4:57.0,4:57.0,0,0,0,foul
202201150WAS_TP0024,202201150WAS,1,,,4:39.0,4:39.0,1,2,0,made_fg
202201150WAS_TP0025,202201150WAS,1,,,4:21.0,4:21.0,0,0,0,foul
202201150WAS_TP0026,202201150WAS,1,,,3:59.0,3:59.0,0,0,0,dead_ball_tov
202201150WAS_TP0027,202201150WAS,1,,,3:52.0,3:52.0,0,0,0,foul
202201150WAS_TP0028,202201150WAS,1,,,3:52.0,3:52.0,0,1,0,made_ft
202201150WAS_TP0029,202201150WAS,1,,,3:52.0,3:52.0,0,1,0,made_ft
202201150WAS_TP0030,202201150WAS,1,,,3:27.0,3:27.0,0,2,0,made_fg
202201150WAS_TP0031,202201150WAS,1,,,3:15.0,3:15.0,0,3,0,made_fg
202201150WAS_TP0032,202201150WAS,1,,,2:55.0,2:55.0,0,3,0,made_fg
202201150WAS_TP0033,202201150WAS,1,,,2:36.0,2:36.0,0,0,0,foul
202201150WAS_TP0034,202201150WAS,1,,,2:36.0,2:36.0,0,0,0,timeout
202201150WAS_TP0035,202201150WAS,1,,,1:43.0,1:43.0,1,2,0,made_fg
202201150WAS_TP0036,202201150WAS,1,,,1:18.0,1:18.0,0,3,0,made_fg
202201150WAS_TP0037,202201150WAS,1,,,0:55.0,0:55.0,0,0,0,foul
202201150WAS_TP0038,202201150WAS,1,,,0:55.0,0:55.0,1,1,0,made_ft
202201150WAS_TP0039,202201150WAS,1,,,0:41.0,0:41.0,0,2,0,made_fg
202201150WAS_TP0040,202201150WAS,1,,,0:41.0,0:41.0,0,0,0,foul
202201150WAS_TP0041,202201150WAS,1,,,0:41.0,0:41.0,0,1,0,made_ft
202201150WAS_TP0042,202201150WAS,1,,,0:10.0,0:10.0,0,0,0,foul
202201150WAS_TP0043,202201150WAS,1,,,0:10.0,0:10.0,0,1,0,made_ft
202201150WAS_TP0044,202201150WAS,1,,,0:10.0,0:10.0,0,1,0,made_ft
202201150WAS_TP0045,202201150WAS,1,,,11:05.0,11:05.0,1,3,0,made_fg
202201150WAS_TP0046,202201150WAS,1,,,10:49.0,10:49.0,0,0,0,foul
202201150WAS_TP0047,202201150WAS,1,,,10:49.0,10:49.0,0,1,0,made_ft
202201150WAS_TP0048,202201150WAS,1,,,10:49.0,10:49.0,0,1,0,made_ft
202201150WAS_TP0049,202201150WAS,1,,,10:17.0,10:17.0,0,2,0,made_fg
202201150WAS_TP0050,202201150WAS,1,,,10:07.0,10:07.0,0,3,0,made_fg
202201150WAS_TP0051,202201150WAS,1,,,9:51.0,9:51.0,0,0,0,foul
202201150WAS_TP0052,202201150WAS,1,,,9:51.0,9:51.0,0,1,0,made_ft
202201150WAS_TP0053,202201150WAS,1,,,9:51.0,9:51.0,0,1,0,made_ft
202201150WAS_TP0054,202201150WAS,1,,,9:41.0,9:41.0,0,2,0,made_fg
202201150WAS_TP0055,202201150WAS,1,,,9:41.0,9:41.0,0,0,0,foul
202201150WAS_TP0056,202201150WAS,1,,,9:41.0,9:41.0,0,1,0,made_ft
202201150WAS_TP0057,202201150WAS,1,,,9:14.0,9:14.0,0,0,0,dead_ball_tov
202201150WAS_TP0058,202201150WAS,1,,,8:58.0,8:58.0,0,3,0,made_fg
202201150WAS_TP0059,202201150WAS,1,,,8:11.0,8:11.0,0,2,0,made_fg
202201150WAS_TP0060,202201150WAS,1,,,8:11.0,8:11.0,0,0,0,foul
202201150WAS_TP0061,202201150WAS,1,,,8:11.0,8:11.0,0,1,0,made_ft
202201150WAS_TP0062,202201150WAS,1,,,7:53.0,7:53.0,0,2,0,made_fg
202201150WAS_TP0063,202201150WAS,1,,,7:38.0,7:38.0,0,2,0,made_fg
202201150WAS_TP0064,202201150WAS,1,,,7:38.0,7:38.0,0,0,0,foul
202201150WAS_TP0065,202201150WAS,1,,,7:38.0,7:38.0,0,1,0,made_ft
202201150WAS_TP0066,202201150WAS,1,,,7:24.0,7:24.0,0,2,0,made_fg
202201150WAS_TP0067,202201150WAS,1,,,7:12.0,7:12.0,0,0,0,foul
202201150WAS_TP0068,202201150WAS,1,,,7:07.0,7:07.0,0,0,0,dead_ball_tov
202201150WAS_TP0069,202201150WAS,1,,,6:38.0,6:38.0,1,0,0,timeout
202201150WAS_TP0070,202201150WAS,1,,,6:30.0,6:30.0,0,2,0,made_fg
202201150WAS_TP0071,202201150WAS,1,,,6:14.0,6:14.0,0,2,0,made_fg
202201150WAS_TP0072,202201150WAS,1,,,5:54.0,5:54.0,0,2,0,made_fg
202201150WAS_TP0073,202201150WAS,1,,,5:40.0,5:40.0,0,3,0,made_fg
202201150WAS_TP0074,202201150WAS,1,,,4:55.0,4:55.0,0,0,0,dead_ball_tov
202201150WAS_TP0075,202201150WAS,1,,,4:43.0,4:43.0,0,3,0,made_fg
202201150WAS_TP0076,202201150WAS,1,,,4:29.0,4:29.0,0,2,0,made_fg
202201150WAS_TP0077,202201150WAS,1,,,4:15.0,4:15.0,0,3,0,made_fg
