true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202201190SAC_TP0000,202201190SAC,1,,,11:25.0,11:25.0,0,0,0,dead_ball_tov
202201190SAC_TP0001,202201190SAC,1,,,11:02.0,11:02.0,1,0,0,foul
202201190SAC_TP0002,202201190SAC,1,,,11:02.0,11:02.0,0,1,0,made_ft
202201190SAC_TP0003,202201190SAC,1,,,10:41.0,10:41.0,0,0,0,foul
202201190SAC_TP0004,202201190SAC,1,,,10:41.0,10:41.0,0,1,0,made_ft
202201190SAC_TP0005,202201190SAC,1,,,10:41.0,10:41.0,0,1,0,made_ft
202201190SAC_TP0006,202201190SAC,1,,,10:22.0,10:22.0,1,0,0,foul
202201190SAC_TP0007,202201190SAC,1,,,9:58.0,9:58.0,2,3,0,made_fg
202201190SAC_TP0008,202201190SAC,1,,,9:45.0,9:45.0,0,0,0,dead_ball_tov
202201190SAC_TP0009,202201190SAC,1,,,9:31.0,9:31.0,0,2,0,made_fg
202201190SAC_TP0010,202201190SAC,1,,,9:20.0,9:20.0,0,0,0,foul
202201190SAC_TP0011,202201190SAC,1,,,9:20.0,9:20.0,0,1,0,made_ft
202201190SAC_TP0012,202201190SAC,1,,,9:20.0,9:20.0,0,1,0,made_ft
202201190SAC_TP0013,202201190SAC,1,,,8:58.0,8:58.0,0,2,0,made_fg
202201190SAC_TP0014,202201190SAC,1,,,8:47.0,8:47.0,0,0,0,foul
202201190SAC_TP0015,202201190SAC,1,,,8:47.0,8:47.0,0,1,0,made_ft
202201190SAC_TP0016,202201190SAC,1,,,8:47.0,8:47.0,0,1,0,made_ft
202201190SAC_TP0017,202201190SAC,1,,,8:37.0,8:37.0,0,2,0,made_fg
202201190SAC_TP0018,202201190SAC,1,,,8:21.0,8:21.0,0,2,0,made_fg
202201190SAC_TP0019,202201190SAC,1,,,7:35.0,7:35.0,2,0,0,foul
202201190SAC_TP0020,202201190SAC,1,,,7:35.0,7:35.0,0,1,0,made_ft
202201190SAC_TP0021,202201190SAC,1,,,7:35.0,7:35.0,0,1,0,made_ft
202201190SAC_TP0022,202201190SAC,1,,,7:23.0,7:23.0,0,0,0,foul
202201190SAC_TP0023,202201190SAC,1,,,7:23.0,7:23.0,0,1,0,made_ft
202201190SAC_TP0024,202201190SAC,1,,,7:23.0,7:23.0,0,0,0,foul
202201190SAC_TP0025,202201190SAC,1,,,7:23.0,7:23.0,0,1,0,made_ft
202201190SAC_TP0026,202201190SAC,1,,,6:32.0,6:32.0,2,0,0,timeout
202201190SAC_TP0027,202201190SAC,1,,,6:27.0,6:27.0,0,0,0,foul
202201190SAC_TP0028,202201190SAC,1,,,6:27.0,6:27.0,0,1,0,made_ft
202201190SAC_TP0029,202201190SAC,1,,,6:27.0,6:27.0,0,1,0,made_ft
202201190SAC_TP0030,202201190SAC,1,,,6:07.0,6:07.0,0,2,0,made_fg
202201190SAC_TP0031,202201190SAC,1,,,5:59.0,5:59.0,0,2,0,made_fg
202201190SAC_TP0032,202201190SAC,1,,,5:44.0,5:44.0,0,0,0,foul
202201190SAC_TP0033,202201190SAC,1,,,5:44.0,5:44.0,0,1,0,made_ft
202201190SAC_TP0034,202201190SAC,1,,,4:50.0,4:50.0,0,2,0,made_fg
202201190SAC_TP0035,202201190SAC,1,,,4:43.0,4:43.0,0,2,0,made_fg
202201190SAC_TP0036,202201190SAC,1,,,4:43.0,4:43.0,0,0,0,foul
202201190SAC_TP0037,202201190SAC,1,,,4:43.0,4:43.0,0,1,0,made_ft
202201190SAC_TP0038,202201190SAC,1,,,4:30.0,4:30.0,0,3,0,made_fg
202201190SAC_TP0039,202201190SAC,1,,,4:04.0,4:04.0,0,2,0,made_fg
202201190SAC_TP0040,202201190SAC,1,,,3:49.0,3:49.0,0,3,0,made_fg
202201190SAC_TP0041,202201190SAC,1,,,2:39.0,2:39.0,1,3,0,made_fg
202201190SAC_TP0042,202201190SAC,1,,,2:26.0,2:26.0,0,0,0,foul
202201190SAC_TP0043,202201190SAC,1,,,2:26.0,2:26.0,0,0,0,timeout
202201190SAC_TP0044,202201190SAC,1,,,2:26.0,2:26.0,0,1,0,made_ft
202201190SAC_TP0045,202201190SAC,1,,,2:26.0,2:26.0,0,1,0,made_ft
