true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202202280BRK_TP0000,202202280BRK,1,,,11:51.0,11:51.0,0,0,0,foul
202202280BRK_TP0001,202202280BRK,1,,,11:51.0,11:51.0,0,1,0,made_ft
202202280BRK_TP0002,202202280BRK,1,,,11:33.0,11:33.0,0,0,0,foul
202202280BRK_TP0003,202202280BRK,1,,,10:54.0,10:54.0,1,0,0,foul
202202280BRK_TP0004,202202280BRK,1,,,10:42.0,10:42.0,0,3,0,made_fg
202202280BRK_TP0005,202202280BRK,1,,,10:25.0,10:25.0,0,3,0,made_fg
202202280BRK_TP0006,202202280BRK,1,,,9:59.0,9:59.0,1,2,0,made_fg
202202280BRK_TP0007,202202280BRK,1,,,9:49.0,9:49.0,0,0,0,foul
202202280BRK_TP0008,202202280BRK,1,,,9:49.0,9:49.0,0,1,0,made_ft
202202280BRK_TP0009,202202280BRK,1,,,9:31.0,9:31.0,1,2,0,made_fg
202202280BRK_TP0010,202202280BRK,1,,,9:30.0,9:30.0,0,0,0,timeout
202202280BRK_TP0011,202202280BRK,1,,,9:07.0,9:07.0,2,0,0,foul
202202280BRK_TP0012,202202280BRK,1,,,9:07.0,9:07.0,0,1,0,made_ft
202202280BRK_TP0013,202202280BRK,1,,,9:07.0,9:07.0,0,1,0,made_ft
202202280BRK_TP0014,202202280BRK,1,,,8:44.0,8:44.0,1,2,0,made_fg
202202280BRK_TP0015,202202280BRK,1,,,8:20.0,8:20.0,1,0,0,foul
202202280BRK_TP0016,202202280BRK,1,,,8:15.0,8:15.0,0,0,0,timeout
202202280BRK_TP0017,202202280BRK,1,,,8:03.0,8:03.0,0,2,0,made_fg
202202280BRK_TP0018,202202280BRK,1,,,8:03.0,8:03.0,0,0,0,foul
202202280BRK_TP0019,202202280BRK,1,,,8:03.0,8:03.0,0,1,0,made_ft
202202280BRK_TP0020,202202280BRK,1,,,7:52.0,7:52.0,0,3,0,made_fg
202202280BRK_TP0021,202202280BRK,1,,,7:38.0,7:38.0,0,2,0,made_fg
202202280BRK_TP0022,202202280BRK,1,,,7:03.0,7:03.0,0,2,0,made_fg
202202280BRK_TP0023,202202280BRK,1,,,7:03.0,7:03.0,0,0,0,foul
202202280BRK_TP0024,202202280BRK,1,,,7:03.0,7:03.0,0,1,0,made_ft
202202280BRK_TP0025,202202280BRK,1,,,6:52.0,6:52.0,0,0,0,foul
202202280BRK_TP0026,202202280BRK,1,,,6:52.0,6:52.0,1,1,0,made_ft
202202280BRK_TP0027,202202280BRK,1,,,6:26.0,6:26.0,0,2,0,made_fg
202202280BRK_TP0028,202202280BRK,1,,,5:50.0,5:50.0,1,3,0,made_fg
202202280BRK_TP0029,202202280BRK,1,,,5:39.0,5:39.0,0,0,0,dead_ball_tov
202202280BRK_TP0030,202202280BRK,1,,,5:16.0,5:16.0,0,3,0,made_fg
202202280BRK_TP0031,202202280BRK,1,,,5:02.0,5:02.0,0,0,0,foul
202202280BRK_TP0032,202202280BRK,1,,,5:02.0,5:02.0,0,0,0,dead_ball_tov
202202280BRK_TP0033,202202280BRK,1,,,4:22.0,4:22.0,1,2,0,made_fg
202202280BRK_TP0034,202202280BRK,1,,,4:07.0,4:07.0,0,3,0,made_fg
202202280BRK_TP0035,202202280BRK,1,,,3:59.0,3:59.0,0,0,0,foul
202202280BRK_TP0036,202202280BRK,1,,,3:59.0,3:59.0,1,1,0,made_ft
202202280BRK_TP0037,202202280BRK,1,,,3:43.0,3:43.0,0,2,0,made_fg
202202280BRK_TP0038,202202280BRK,1,,,3:05.0,3:05.0,2,2,0,made_fg
202202280BRK_TP0039,202202280BRK,1,,,2:48.0,2:48.0,0,2,0,made_fg
202202280BRK_TP0040,202202280BRK,1,,,2:32.0,2:32.0,0,3,0,made_fg
202202280BRK_TP0041,202202280BRK,1,,,2:22.0,2:22.0,0,3,0,made_fg
202202280BRK_TP0042,202202280BRK,1,,,2:09.0,2:09.0,0,3,0,made_fg
202202280BRK_TP0043,202202280BRK,1,,,1:53.0,1:53.0,0,0,0,foul
202202280BRK_TP0044,202202280BRK,1,,,1:53.0,1:53.0,0,1,0,made_ft
202202280BRK_TP0045,202202280BRK,1,,,1:53.0,1:53.0,0,1,0,made_ft
202202280BRK_TP0046,202202280BRK,1,,,1:21.0,1:21.0,0,3,0,made_fg
