true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202203050MIA_TP0000,202203050MIA,1,,,11:37.0,11:37.0,0,2,0,made_fg
202203050MIA_TP0001,202203050MIA,1,,,11:14.0,11:14.0,0,3,0,made_fg
202203050MIA_TP0002,202203050MIA,1,,,10:20.0,10:20.0,2,3,0,made_fg
202203050MIA_TP0003,202203050MIA,1,,,8:54.0,8:54.0,1,3,0,made_fg
202203050MIA_TP0004,202203050MIA,1,,,8:29.0,8:29.0,0,2,0,made_fg
202203050MIA_TP0005,202203050MIA,1,,,7:41.0,7:41.0,0,3,0,made_fg
202203050MIA_TP0006,202203050MIA,1,,,7:11.0,7:11.0,2,0,0,dead_ball_tov
202203050MIA_TP0007,202203050MIA,1,,,6:57.0,6:57.0,0,0,0,foul
202203050MIA_TP0008,202203050MIA,1,,,6:57.0,6:57.0,0,0,0,timeout
202203050MIA_TP0009,202203050MIA,1,,,6:12.0,6:12.0,1,2,0,made_fg
202203050MIA_TP0010,202203050MIA,1,,,5:48.0,5:48.0,1,0,0,foul
202203050MIA_TP0011,202203050MIA,1,,,5:48.0,5:48.0,0,1,0,made_ft
202203050MIA_TP0012,202203050MIA,1,,,5:48.0,5:48.0,0,1,0,made_ft
202203050MIA_TP0013,202203050MIA,1,,,5:19.0,5:19.0,1,0,0,dead_ball_tov
202203050MIA_TP0014,202203050MIA,1,,,4:57.0,4:57.0,0,2,0,made_fg
202203050MIA_TP0015,202203050MIA,1,,,3:34.0,3:34.0,0,2,0,made_fg
202203050MIA_TP0016,202203050MIA,1,,,3:22.0,3:22.0,0,0,0,foul
202203050MIA_TP0017,202203050MIA,1,,,2:49.0,2:49.0,0,2,0,made_fg
202203050MIA_TP0018,202203050MIA,1,,,2:38.0,2:38.0,0,2,0,made_fg
202203050MIA_TP0019,202203050MIA,1,,,1:52.0,1:52.0,0,0,0,dead_ball_tov
202203050MIA_TP0020,202203050MIA,1,,,1:51.0,1:51.0,1,0,0,timeout
202203050MIA_TP0021,202203050MIA,1,,,1:17.0,1:17.0,1,0,0,dead_ball_tov
202203050MIA_TP0022,202203050MIA,1,,,1:06.0,1:06.0,0,0,0,foul
202203050MIA_TP0023,202203050MIA,1,,,1:06.0,1:06.0,1,1,0,made_ft
202203050MIA_TP0024,202203050MIA,1,,,0:46.0,0:46.0,0,2,0,made_fg
202203050MIA_TP0025,202203050MIA,1,,,0:30.0,0:30.0,0,0,0,foul
202203050MIA_TP0026,202203050MIA,1,,,0:30.0,0:30.0,0,1,0,made_ft
202203050MIA_TP0027,202203050MIA,1,,,0:30.0,0:30.0,0,1,0,made_ft
202203050MIA_TP0028,202203050MIA,1,,,0:16.0,0:16.0,0,3,0,made_fg
202203050MIA_TP0029,202203050MIA,1,,,11:47.0,11:47.0,1,0,0,foul
202203050MIA_TP0030,202203050MIA,1,,,11:47.0,11:47.0,0,1,0,made_ft
202203050MIA_TP0031,202203050MIA,1,,,11:47.0,11:47.0,0,1,0,made_ft
202203050MIA_TP0032,202203050MIA,1,,,11:23.0,11:23.0,1,3,0,made_fg
202203050MIA_TP0033,202203050MIA,1,,,10:45.0,10:45.0,1,3,0,made_fg
202203050MIA_TP0034,202203050MIA,1,,,10:43.0,10:43.0,0,0,0,timeout
202203050MIA_TP0035,202203050MIA,1,,,10:19.0,10:19.0,1,0,0,dead_ball_tov
202203050MIA_TP0036,202203050MIA,1,,,10:05.0,10:05.0,1,0,0,foul
202203050MIA_TP0037,202203050MIA,1,,,10:05.0,10:05.0,0,1,0,made_ft
202203050MIA_TP0038,202203050MIA,1,,,10:05.0,10:05.0,0,1,0,made_ft
202203050MIA_TP0039,202203050MIA,1,,,9:36.0,9:36.0,1,2,0,made_fg
202203050MIA_TP0040,202203050MIA,1,,,9:14.0,9:14.0,0,0,0,foul
202203050MIA_TP0041,202203050MIA,1,,,9:03.0,9:03.0,1,2,0,made_fg
202203050MIA_TP0042,202203050MIA,1,,,8:51.0,8:51.0,0,0,0,foul
202203050MIA_TP0043,202203050MIA,1,,,8:51.0,8:51.0,0,1,0,made_ft
202203050MIA_TP0044,202203050MIA,1,,,8:51.0,8:51.0,0,1,0,made_ft
202203050MIA_TP0045,202203050MIA,1,,,8:42.0,8:42.0,0,3,0,made_fg
202203050MIA_TP0046,202203050MIA,1,,,8:20.0,8:20.0,0,2,0,made_fg
202203050MIA_TP0047,202203050MIA,1,,,8:03.0,8:03.0,0,3,0,made_fg
202203050MIA_TP0048,202203050MIA,1,,,7:48.0,7:48.0,0,3,0,made_fg
202203050MIA_TP0049,202203050MIA,1,,,7:27.0,7:27.0,0,3,0,made_fg
202203050MIA_TP0050,202203050MIA,1,,,7:26.0,7:26.0,0,0,0,timeout
202203050MIA_TP0051,202203050MIA,1,,,6:48.0,6:48.0,0,2,0,made_fg
202203050MIA_TP0052,202203050MIA,1,,,6:03.0,6:03.0,0,2,0,made_fg
202203050MIA_TP0053,202203050MIA,1,,,5:44.0,5:44.0,0,2,0,made_fg
202203050MIA_TP0054,202203050MIA,1,,,5:15.0,5:15.0,0,2,0,made_fg
202203050MIA_TP0055,202203050MIA,1,,,5:15.0,5:15.0,0,0,0,foul
202203050MIA_TP0056,202203050MIA,1,,,4:50.0,4:50.0,1,0,0,dead_ball_tov
202203050MIA_TP0057,202203050MIA,1,,,4:30.0,4:30.0,0,0,0,foul
202203050MIA_TP0058,202203050MIA,1,,,4:30.0,4:30.0,0,1,0,made_ft
202203050MIA_TP0059,202203050MIA,1,,,4:30.0,4:30.0,0,1,0,made_ft
202203050MIA_TP0060,202203050MIA,1,,,4:08.0,4:08.0,0,2,0,made_fg
202203050MIA_TP0061,202203050MIA,1,,,3:12.0,3:12.0,0,2,0,made_fg
202203050MIA_TP0062,202203050MIA,1,,,2:51.0,2:51.0,0,2,0,made_fg
202203050MIA_TP0063,202203050MIA,1,,,2:34.0,2:34.0,0,2,0,made_fg
202203050MIA_TP0064,202203050MIA,1,,,2:20.0,2:20.0,0,2,0,made_fg
202203050MIA_TP0065,202203050MIA,1,,,1:58.0,1:58.0,0,2,0,made_fg
202203050MIA_TP0066,202203050MIA,1,,,1:39.0,1:39.0,1,2,0,made_fg
202203050MIA_TP0067,202203050MIA,1,,,1:20.0,1:20.0,0,0,0,foul
202203050MIA_TP0068,202203050MIA,1,,,0:48.0,0:48.0,0,0,0,foul
202203050MIA_TP0069,202203050MIA,1,,,0:38.0,0:38.0,0,2,0,made_fg
202203050MIA_TP0070,202203050MIA,1,,,0:14.0,0:14.0,0,2,0,made_fg
202203050MIA_TP0071,202203050MIA,1,,,11:13.0,11:13.0,1,2,0,made_fg
202203050MIA_TP0072,202203050MIA,1,,,10:56.0,10:56.0,0,0,0,foul
202203050MIA_TP0073,202203050MIA,1,,,10:41.0,10:41.0,0,0,0,foul
202203050MIA_TP0074,202203050MIA,1,,,10:41.0,10:41.0,0,1,0,made_ft
202203050MIA_TP0075,202203050MIA,1,,,10:41.0,10:41.0,0,1,0,made_ft
202203050MIA_TP0076,202203050MIA,1,,,10:19.0,10:19.0,0,3,0,made_fg
202203050MIA_TP0077,202203050MIA,1,,,10:00.0,10:00.0,0,3,0,made_fg
202203050MIA_TP0078,202203050MIA,1,,,9:38.0,9:38.0,0,0,0,foul
202203050MIA_TP0079,202203050MIA,1,,,9:28.0,9:28.0,0,0,0,foul
202203050MIA_TP0080,202203050MIA,1,,,9:05.0,9:05.0,0,0,0,foul
202203050MIA_TP0081,202203050MIA,1,,,9:05.0,9:05.0,0,0,0,foul
202203050MIA_TP0082,202203050MIA,1,,,9:05.0,9:05.0,0,1,0,made_ft
202203050MIA_TP0083,202203050MIA,1,,,9:05.0,9:05.0,0,1,0,made_ft
202203050MIA_TP0084,202203050MIA,1,,,9:05.0,9:05.0,0,1,0,made_ft
202203050MIA_TP0085,202203050MIA,1,,,8:46.0,8:46.0,0,0,0,foul
202203050MIA_TP0086,202203050MIA,1,,,8:46.0,8:46.0,0,0,0,dead_ball_tov
202203050MIA_TP0087,202203050MIA,1,,,8:22.0,8:22.0,0,0,0,dead_ball_tov
202203050MIA_TP0088,202203050MIA,1,,,8:02.0,8:02.0,0,2,0,made_fg
202203050MIA_TP0089,202203050MIA,1,,,7:49.0,7:49.0,0,2,0,made_fg
202203050MIA_TP0090,202203050MIA,1,,,7:49.0,7:49.0,0,0,0,timeout
202203050MIA_TP0091,202203050MIA,1,,,7:31.0,7:31.0,0,2,0,made_fg
202203050MIA_TP0092,202203050MIA,1,,,7:01.0,7:01.0,0,2,0,made_fg
202203050MIA_TP0093,202203050MIA,1,,,6:49.0,6:49.0,0,0,0,foul
202203050MIA_TP0094,202203050MIA,1,,,6:49.0,6:49.0,0,1,0,made_ft
202203050MIA_TP0095,202203050MIA,1,,,6:49.0,6:49.0,0,1,0,made_ft
202203050MIA_TP0096,202203050MIA,1,,,6:00.0,6:00.0,0,0,0,foul
202203050MIA_TP0097,202203050MIA,1,,,6:00.0,6:00.0,1,1,0,made_ft
202203050MIA_TP0098,202203050MIA,1,,,5:35.0,5:35.0,0,2,0,made_fg
202203050MIA_TP0099,202203050MIA,1,,,5:35.0,5:35.0,0,0,0,timeout
202203050MIA_TP0100,202203050MIA,1,,,4:57.0,4:57.0,0,0,0,foul
202203050MIA_TP0101,202203050MIA,1,,,4:47.0,4:47.0,0,0,0,foul
202203050MIA_TP0102,202203050MIA,1,,,4:47.0,4:47.0,1,1,0,made_ft
202203050MIA_TP0103,202203050MIA,1,,,4:31.0,4:31.0,0,2,0,made_fg
202203050MIA_TP0104,202203050MIA,1,,,3:47.0,3:47.0,0,0,0,dead_ball_tov
202203050MIA_TP0105,202203050MIA,1,,,3:32.0,3:32.0,0,2,0,made_fg
202203050MIA_TP0106,202203050MIA,1,,,3:06.0,3:06.0,0,0,0,foul
202203050MIA_TP0107,202203050MIA,1,,,3:06.0,3:06.0,0,0,0,dead_ball_tov
202203050MIA_TP0108,202203050MIA,1,,,2:46.0,2:46.0,0,2,0,made_fg
202203050MIA_TP0109,202203050MIA,1,,,1:54.0,1:54.0,0,2,0,made_fg
202203050MIA_TP0110,202203050MIA,1,,,1:50.0,1:50.0,0,0,0,foul
202203050MIA_TP0111,202203050MIA,1,,,1:32.0,1:32.0,0,2,0,made_fg
202203050MIA_TP0112,202203050MIA,1,,,0:59.0,0:59.0,0,0,0,foul
202203050MIA_TP0113,202203050MIA,1,,,0:59.0,0:59.0,0,1,0,made_ft
202203050MIA_TP0114,202203050MIA,1,,,0:59.0,0:59.0,0,1,0,made_ft
202203050MIA_TP0115,202203050MIA,1,,,0:38.0,0:38.0,0,3,0,made_fg
202203050MIA_TP0116,202203050MIA,1,,,0:07.0,0:07.0,0,0,0,foul
202203050MIA_TP0117,202203050MIA,1,,,0:07.0,0:07.0,0,1,0,made_ft
202203050MIA_TP0118,202203050MIA,1,,,0:07.0,0:07.0,0,1,0,made_ft
202203050MIA_TP0119,202203050MIA,1,,,0:00.0,0:00.0,0,3,0,made_fg
202203050MIA_TP0120,202203050MIA,1,,,11:26.0,11:26.0,0,0,0,foul
202203050MIA_TP0121,202203050MIA,1,,,10:44.0,10:44.0,1,0,0,foul
202203050MIA_TP0122,202203050MIA,1,,,10:37.0,10:37.0,0,3,0,made_fg
202203050MIA_TP0123,202203050MIA,1,,,10:19.0,10:19.0,1,2,0,made_fg
202203050MIA_TP0124,202203050MIA,1,,,10:19.0,10:19.0,0,0,0,foul
202203050MIA_TP0125,202203050MIA,1,,,10:19.0,10:19.0,0,1,0,made_ft
202203050MIA_TP0126,202203050MIA,1,,,10:07.0,10:07.0,0,2,0,made_fg
202203050MIA_TP0127,202203050MIA,1,,,9:46.0,9:46.0,1,3,0,made_fg
202203050MIA_TP0128,202203050MIA,1,,,9:36.0,9:36.0,0,0,0,foul
202203050MIA_TP0129,202203050MIA,1,,,9:36.0,9:36.0,0,0,0,timeout
202203050MIA_TP0130,202203050MIA,1,,,8:57.0,8:57.0,0,2,0,made_fg
202203050MIA_TP0131,202203050MIA,1,,,8:25.0,8:25.0,0,2,0,made_fg
202203050MIA_TP0132,202203050MIA,1,,,7:37.0,7:37.0,0,0,0,foul
202203050MIA_TP0133,202203050MIA,1,,,7:37.0,7:37.0,0,1,0,made_ft
202203050MIA_TP0134,202203050MIA,1,,,7:37.0,7:37.0,0,1,0,made_ft
202203050MIA_TP0135,202203050MIA,1,,,7:22.0,7:22.0,0,3,0,made_fg
202203050MIA_TP0136,202203050MIA,1,,,7:00.0,7:00.0,0,0,0,foul
202203050MIA_TP0137,202203050MIA,1,,,7:00.0,7:00.0,0,1,0,made_ft
202203050MIA_TP0138,202203050MIA,1,,,7:00.0,7:00.0,0,1,0,made_ft
202203050MIA_TP0139,202203050MIA,1,,,6:42.0,6:42.0,0,2,0,made_fg
202203050MIA_TP0140,202203050MIA,1,,,6:09.0,6:09.0,0,0,0,dead_ball_tov
202203050MIA_TP0141,202203050MIA,1,,,5:10.0,5:10.0,0,2,0,made_fg
202203050MIA_TP0142,202203050MIA,1,,,5:10.0,5:10.0,0,0,0,timeout
202203050MIA_TP0143,202203050MIA,1,,,3:54.0,3:54.0,0,2,0,made_fg
202203050MIA_TP0144,202203050MIA,1,,,3:29.0,3:29.0,0,0,0,timeout
202203050MIA_TP0145,202203050MIA,1,,,3:06.0,3:06.0,0,3,0,made_fg
202203050MIA_TP0146,202203050MIA,1,,,2:30.0,2:30.0,0,0,0,foul
202203050MIA_TP0147,202203050MIA,1,,,1:46.0,1:46.0,1,2,0,made_fg
202203050MIA_TP0148,202203050MIA,1,,,1:10.0,1:10.0,0,3,0,made_fg
202203050MIA_TP0149,202203050MIA,1,,,1:10.0,1:10.0,0,0,0,timeout
202203050MIA_TP0150,202203050MIA,1,,,0:50.0,0:50.0,0,0,0,foul
202203050MIA_TP0151,202203050MIA,1,,,0:50.0,0:50.0,1,1,0,made_ft
202203050MIA_TP0152,202203050MIA,1,,,0:50.0,0:50.0,0,1,0,made_ft
202203050MIA_TP0153,202203050MIA,1,,,0:30.0,0:30.0,1,0,0,foul
202203050MIA_TP0154,202203050MIA,1,,,0:30.0,0:30.0,0,1,0,made_ft
202203050MIA_TP0155,202203050MIA,1,,,0:30.0,0:30.0,0,1,0,made_ft
202203050MIA_TP0156,202203050MIA,1,,,0:16.0,0:16.0,0,0,0,game_end
