true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202203160NYK_TP0000,202203160NYK,1,,,11:40.0,11:40.0,0,2,0,made_fg
202203160NYK_TP0001,202203160NYK,1,,,11:12.0,11:12.0,1,0,0,foul
202203160NYK_TP0002,202203160NYK,1,,,10:05.0,10:05.0,1,0,0,foul
202203160NYK_TP0003,202203160NYK,1,,,10:05.0,10:05.0,0,1,0,made_ft
202203160NYK_TP0004,202203160NYK,1,,,10:05.0,10:05.0,0,1,0,made_ft
202203160NYK_TP0005,202203160NYK,1,,,9:44.0,9:44.0,0,0,0,foul
202203160NYK_TP0006,202203160NYK,1,,,9:39.0,9:39.0,0,0,0,foul
202203160NYK_TP0007,202203160NYK,1,,,9:39.0,9:39.0,0,0,0,dead_ball_tov
202203160NYK_TP0008,202203160NYK,1,,,9:17.0,9:17.0,0,0,0,foul
202203160NYK_TP0009,202203160NYK,1,,,9:12.0,9:12.0,0,3,0,made_fg
202203160NYK_TP0010,202203160NYK,1,,,9:01.0,9:01.0,0,0,0,foul
202203160NYK_TP0011,202203160NYK,1,,,8:32.0,8:32.0,0,2,0,made_fg
202203160NYK_TP0012,202203160NYK,1,,,8:18.0,8:18.0,0,2,0,made_fg
202203160NYK_TP0013,202203160NYK,1,,,8:09.0,8:09.0,0,3,0,made_fg
202203160NYK_TP0014,202203160NYK,1,,,7:48.0,7:48.0,0,3,0,made_fg
202203160NYK_TP0015,202203160NYK,1,,,7:16.0,7:16.0,0,3,0,made_fg
202203160NYK_TP0016,202203160NYK,1,,,6:57.0,6:57.0,0,3,0,made_fg
202203160NYK_TP0017,202203160NYK,1,,,6:36.0,6:36.0,0,3,0,made_fg
202203160NYK_TP0018,202203160NYK,1,,,6:21.0,6:21.0,0,2,0,made_fg
202203160NYK_TP0019,202203160NYK,1,,,6:04.0,6:04.0,0,0,0,dead_ball_tov
202203160NYK_TP0020,202203160NYK,1,,,6:04.0,6:04.0,0,0,0,timeout
202203160NYK_TP0021,202203160NYK,1,,,5:45.0,5:45.0,1,0,0,foul
202203160NYK_TP0022,202203160NYK,1,,,5:45.0,5:45.0,0,1,0,made_ft
202203160NYK_TP0023,202203160NYK,1,,,5:45.0,5:45.0,0,1,0,made_ft
202203160NYK_TP0024,202203160NYK,1,,,5:37.0,5:37.0,0,3,0,made_fg
202203160NYK_TP0025,202203160NYK,1,,,5:08.0,5:08.0,0,2,0,made_fg
202203160NYK_TP0026,202203160NYK,1,,,4:57.0,4:57.0,0,3,0,made_fg
202203160NYK_TP0027,202203160NYK,1,,,4:44.0,4:44.0,0,0,0,foul
202203160NYK_TP0028,202203160NYK,1,,,3:31.0,3:31.0,2,2,0,made_fg
