true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202211050MIL_TP0000,202211050MIL,1,,,11:42.0,11:42.0,0,3,0,made_fg
202211050MIL_TP0001,202211050MIL,1,,,11:25.0,11:25.0,0,2,0,made_fg
202211050MIL_TP0002,202211050MIL,1,,,10:36.0,10:36.0,1,3,0,made_fg
202211050MIL_TP0003,202211050MIL,1,,,10:17.0,10:17.0,0,2,0,made_fg
202211050MIL_TP0004,202211050MIL,1,,,10:17.0,10:17.0,0,0,0,foul
202211050MIL_TP0005,202211050MIL,1,,,10:17.0,10:17.0,0,1,0,made_ft
202211050MIL_TP0006,202211050MIL,1,,,10:06.0,10:06.0,0,3,0,made_fg
202211050MIL_TP0007,202211050MIL,1,,,9:56.0,9:56.0,0,3,0,made_fg
202211050MIL_TP0008,202211050MIL,1,,,9:33.0,9:33.0,1,3,0,made_fg
202211050MIL_TP0009,202211050MIL,1,,,9:28.0,9:28.0,0,0,0,foul
202211050MIL_TP0010,202211050MIL,1,,,9:28.0,9:28.0,1,1,0,made_ft
202211050MIL_TP0011,202211050MIL,1,,,9:21.0,9:21.0,0,0,0,foul
202211050MIL_TP0012,202211050MIL,1,,,9:21.0,9:21.0,0,0,0,dead_ball_tov
202211050MIL_TP0013,202211050MIL,1,,,8:21.0,8:21.0,1,2,0,made_fg
202211050MIL_TP0014,202211050MIL,1,,,8:06.0,8:06.0,0,2,0,made_fg
202211050MIL_TP0015,202211050MIL,1,,,7:36.0,7:36.0,1,3,0,made_fg
202211050MIL_TP0016,202211050MIL,1,,,7:29.0,7:29.0,0,0,0,timeout
202211050MIL_TP0017,202211050MIL,1,,,7:18.0,7:18.0,0,3,0,made_fg
202211050MIL_TP0018,202211050MIL,1,,,7:06.0,7:06.0,0,0,0,foul
202211050MIL_TP0019,202211050MIL,1,,,7:06.0,7:06.0,0,1,0,made_ft
202211050MIL_TP0020,202211050MIL,1,,,7:02.0,7:02.0,0,2,0,made_fg
202211050MIL_TP0021,202211050MIL,1,,,6:37.0,6:37.0,0,3,0,made_fg
202211050MIL_TP0022,202211050MIL,1,,,6:16.0,6:16.0,0,3,0,made_fg
202211050MIL_TP0023,202211050MIL,1,,,6:06.0,6:06.0,0,0,0,dead_ball_tov
202211050MIL_TP0024,202211050MIL,1,,,5:44.0,5:44.0,0,2,0,made_fg
202211050MIL_TP0025,202211050MIL,1,,,5:30.0,5:30.0,0,0,0,dead_ball_tov
202211050MIL_TP0026,202211050MIL,1,,,5:19.0,5:19.0,0,3,0,made_fg
202211050MIL_TP0027,202211050MIL,1,,,4:06.0,4:06.0,2,2,0,made_fg
202211050MIL_TP0028,202211050MIL,1,,,3:42.0,3:42.0,0,2,0,made_fg
202211050MIL_TP0029,202211050MIL,1,,,3:36.0,3:36.0,0,0,0,timeout
202211050MIL_TP0030,202211050MIL,1,,,3:27.0,3:27.0,0,2,0,made_fg
202211050MIL_TP0031,202211050MIL,1,,,3:01.0,3:01.0,1,2,0,made_fg
202211050MIL_TP0032,202211050MIL,1,,,2:46.0,2:46.0,0,3,0,made_fg
202211050MIL_TP0033,202211050MIL,1,,,2:34.0,2:34.0,0,3,0,made_fg
202211050MIL_TP0034,202211050MIL,1,,,2:07.0,2:07.0,1,0,0,foul
202211050MIL_TP0035,202211050MIL,1,,,1:47.0,1:47.0,0,3,0,made_fg
202211050MIL_TP0036,202211050MIL,1,,,0:58.0,0:58.0,1,0,0,foul
202211050MIL_TP0037,202211050MIL,1,,,0:51.0,0:51.0,0,2,0,made_fg
202211050MIL_TP0038,202211050MIL,1,,,0:13.0,0:13.0,2,2,0,made_fg
202211050MIL_TP0039,202211050MIL,1,,,0:00.0,0:00.0,0,2,0,made_fg
202211050MIL_TP0040,202211050MIL,1,,,11:25.0,11:25.0,0,0,0,foul
202211050MIL_TP0041,202211050MIL,1,,,11:03.0,11:03.0,1,0,0,dead_ball_tov
202211050MIL_TP0042,202211050MIL,1,,,10:45.0,10:45.0,0,2,0,made_fg
202211050MIL_TP0043,202211050MIL,1,,,10:23.0,10:23.0,0,2,0,made_fg
202211050MIL_TP0044,202211050MIL,1,,,10:23.0,10:23.0,0,0,0,foul
202211050MIL_TP0045,202211050MIL,1,,,10:23.0,10:23.0,0,1,0,made_ft
202211050MIL_TP0046,202211050MIL,1,,,9:51.0,9:51.0,0,2,0,made_fg
202211050MIL_TP0047,202211050MIL,1,,,9:30.0,9:30.0,0,0,0,foul
202211050MIL_TP0048,202211050MIL,1,,,9:30.0,9:30.0,0,1,0,made_ft
202211050MIL_TP0049,202211050MIL,1,,,9:30.0,9:30.0,0,1,0,made_ft
202211050MIL_TP0050,202211050MIL,1,,,8:27.0,8:27.0,2,3,0,made_fg
202211050MIL_TP0051,202211050MIL,1,,,8:18.0,8:18.0,0,2,0,made_fg
202211050MIL_TP0052,202211050MIL,1,,,8:18.0,8:18.0,0,0,0,foul
202211050MIL_TP0053,202211050MIL,1,,,8:18.0,8:18.0,0,0,0,timeout
202211050MIL_TP0054,202211050MIL,1,,,8:18.0,8:18.0,0,1,0,made_ft
202211050MIL_TP0055,202211050MIL,1,,,7:42.0,7:42.0,0,2,0,made_fg
202211050MIL_TP0056,202211050MIL,1,,,7:04.0,7:04.0,0,2,0,made_fg
202211050MIL_TP0057,202211050MIL,1,,,6:47.0,6:47.0,0,2,0,made_fg
202211050MIL_TP0058,202211050MIL,1,,,6:37.0,6:37.0,0,3,0,made_fg
202211050MIL_TP0059,202211050MIL,1,,,5:31.0,5:31.0,2,2,0,made_fg
202211050MIL_TP0060,202211050MIL,1,,,5:21.0,5:21.0,0,2,0,made_fg
202211050MIL_TP0061,202211050MIL,1,,,4:37.0,4:37.0,2,0,0,foul
202211050MIL_TP0062,202211050MIL,1,,,4:37.0,4:37.0,1,1,0,made_ft
202211050MIL_TP0063,202211050MIL,1,,,4:17.0,4:17.0,0,3,0,made_fg
202211050MIL_TP0064,202211050MIL,1,,,4:07.0,4:07.0,0,0,0,foul
202211050MIL_TP0065,202211050MIL,1,,,4:07.0,4:07.0,2,1,0,made_ft
202211050MIL_TP0066,202211050MIL,1,,,3:57.0,3:57.0,0,0,0,foul
202211050MIL_TP0067,202211050MIL,1,,,3:57.0,3:57.0,0,1,0,made_ft
202211050MIL_TP0068,202211050MIL,1,,,3:57.0,3:57.0,0,1,0,made_ft
202211050MIL_TP0069,202211050MIL,1,,,3:37.0,3:37.0,0,0,0,foul
202211050MIL_TP0070,202211050MIL,1,,,3:37.0,3:37.0,0,1,0,made_ft
202211050MIL_TP0071,202211050MIL,1,,,3:37.0,3:37.0,0,1,0,made_ft
202211050MIL_TP0072,202211050MIL,1,,,3:17.0,3:17.0,0,0,0,dead_ball_tov
