true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202211090ORL_TP0000,202211090ORL,1,,,11:39.0,11:39.0,0,2,0,made_fg
202211090ORL_TP0001,202211090ORL,1,,,11:10.0,11:10.0,0,2,0,made_fg
202211090ORL_TP0002,202211090ORL,1,,,10:49.0,10:49.0,0,3,0,made_fg
202211090ORL_TP0003,202211090ORL,1,,,10:13.0,10:13.0,0,2,0,made_fg
202211090ORL_TP0004,202211090ORL,1,,,10:04.0,10:04.0,0,0,0,dead_ball_tov
202211090ORL_TP0005,202211090ORL,1,,,9:35.0,9:35.0,0,2,0,made_fg
202211090ORL_TP0006,202211090ORL,1,,,9:24.0,9:24.0,0,3,0,made_fg
202211090ORL_TP0007,202211090ORL,1,,,9:08.0,9:08.0,1,2,0,made_fg
202211090ORL_TP0008,202211090ORL,1,,,8:43.0,8:43.0,1,2,0,made_fg
202211090ORL_TP0009,202211090ORL,1,,,8:01.0,8:01.0,1,0,0,foul
202211090ORL_TP0010,202211090ORL,1,,,8:01.0,8:01.0,0,1,0,made_ft
202211090ORL_TP0011,202211090ORL,1,,,8:01.0,8:01.0,0,1,0,made_ft
202211090ORL_TP0012,202211090ORL,1,,,7:19.0,7:19.0,0,2,0,made_fg
202211090ORL_TP0013,202211090ORL,1,,,6:53.0,6:53.0,0,0,0,foul
202211090ORL_TP0014,202211090ORL,1,,,6:53.0,6:53.0,0,0,0,timeout
202211090ORL_TP0015,202211090ORL,1,,,6:45.0,6:45.0,0,2,0,made_fg
202211090ORL_TP0016,202211090ORL,1,,,6:26.0,6:26.0,1,0,0,foul
202211090ORL_TP0017,202211090ORL,1,,,5:56.0,5:56.0,0,0,0,foul
202211090ORL_TP0018,202211090ORL,1,,,5:56.0,5:56.0,0,1,0,made_ft
202211090ORL_TP0019,202211090ORL,1,,,5:56.0,5:56.0,0,1,0,made_ft
202211090ORL_TP0020,202211090ORL,1,,,5:41.0,5:41.0,0,3,0,made_fg
202211090ORL_TP0021,202211090ORL,1,,,5:35.0,5:35.0,0,0,0,foul
202211090ORL_TP0022,202211090ORL,1,,,5:35.0,5:35.0,0,0,0,dead_ball_tov
202211090ORL_TP0023,202211090ORL,1,,,5:22.0,5:22.0,0,0,0,foul
202211090ORL_TP0024,202211090ORL,1,,,5:00.0,5:00.0,0,2,0,made_fg
202211090ORL_TP0025,202211090ORL,1,,,4:52.0,4:52.0,0,0,0,foul
202211090ORL_TP0026,202211090ORL,1,,,4:32.0,4:32.0,0,2,0,made_fg
202211090ORL_TP0027,202211090ORL,1,,,4:04.0,4:04.0,0,2,0,made_fg
202211090ORL_TP0028,202211090ORL,1,,,3:47.0,3:47.0,0,3,0,made_fg
202211090ORL_TP0029,202211090ORL,1,,,3:25.0,3:25.0,0,2,0,made_fg
202211090ORL_TP0030,202211090ORL,1,,,2:37.0,2:37.0,0,2,0,made_fg
202211090ORL_TP0031,202211090ORL,1,,,2:23.0,2:23.0,0,2,0,made_fg
202211090ORL_TP0032,202211090ORL,1,,,2:23.0,2:23.0,0,0,0,foul
202211090ORL_TP0033,202211090ORL,1,,,2:23.0,2:23.0,0,0,0,timeout
202211090ORL_TP0034,202211090ORL,1,,,2:23.0,2:23.0,0,1,0,made_ft
202211090ORL_TP0035,202211090ORL,1,,,2:02.0,2:02.0,0,2,0,made_fg
202211090ORL_TP0036,202211090ORL,1,,,1:03.0,1:03.0,2,2,0,made_fg
202211090ORL_TP0037,202211090ORL,1,,,0:35.0,0:35.0,0,3,0,made_fg
202211090ORL_TP0038,202211090ORL,1,,,0:28.0,0:28.0,0,0,0,foul
202211090ORL_TP0039,202211090ORL,1,,,11:12.0,11:12.0,1,2,0,made_fg
202211090ORL_TP0040,202211090ORL,1,,,10:25.0,10:25.0,0,0,0,foul
202211090ORL_TP0041,202211090ORL,1,,,10:25.0,10:25.0,0,0,0,dead_ball_tov
202211090ORL_TP0042,202211090ORL,1,,,10:07.0,10:07.0,0,2,0,made_fg
202211090ORL_TP0043,202211090ORL,1,,,9:44.0,9:44.0,0,2,0,made_fg
202211090ORL_TP0044,202211090ORL,1,,,9:44.0,9:44.0,0,0,0,timeout
202211090ORL_TP0045,202211090ORL,1,,,9:27.0,9:27.0,0,2,0,made_fg
202211090ORL_TP0046,202211090ORL,1,,,9:14.0,9:14.0,0,2,0,made_fg
202211090ORL_TP0047,202211090ORL,1,,,8:57.0,8:57.0,0,3,0,made_fg
202211090ORL_TP0048,202211090ORL,1,,,8:49.0,8:49.0,0,0,0,foul
202211090ORL_TP0049,202211090ORL,1,,,8:49.0,8:49.0,1,1,0,made_ft
202211090ORL_TP0050,202211090ORL,1,,,8:36.0,8:36.0,0,2,0,made_fg
202211090ORL_TP0051,202211090ORL,1,,,8:03.0,8:03.0,0,2,0,made_fg
202211090ORL_TP0052,202211090ORL,1,,,7:48.0,7:48.0,0,0,0,foul
202211090ORL_TP0053,202211090ORL,1,,,7:48.0,7:48.0,0,0,0,dead_ball_tov
202211090ORL_TP0054,202211090ORL,1,,,7:33.0,7:33.0,0,2,0,made_fg
202211090ORL_TP0055,202211090ORL,1,,,7:14.0,7:14.0,0,3,0,made_fg
202211090ORL_TP0056,202211090ORL,1,,,6:08.0,6:08.0,0,3,0,made_fg
202211090ORL_TP0057,202211090ORL,1,,,5:42.0,5:42.0,0,0,0,dead_ball_tov
202211090ORL_TP0058,202211090ORL,1,,,4:48.0,4:48.0,0,2,0,made_fg
202211090ORL_TP0059,202211090ORL,1,,,4:35.0,4:35.0,0,3,0,made_fg
202211090ORL_TP0060,202211090ORL,1,,,4:20.0,4:20.0,0,0,0,foul
202211090ORL_TP0061,202211090ORL,1,,,4:08.0,4:08.0,0,2,0,made_fg
202211090ORL_TP0062,202211090ORL,1,,,3:40.0,3:40.0,0,2,0,made_fg
202211090ORL_TP0063,202211090ORL,1,,,3:20.0,3:20.0,0,2,0,made_fg
202211090ORL_TP0064,202211090ORL,1,,,2:52.0,2:52.0,0,0,0,foul
202211090ORL_TP0065,202211090ORL,1,,,2:52.0,2:52.0,0,0,0,timeout
202211090ORL_TP0066,202211090ORL,1,,,2:52.0,2:52.0,0,1,0,made_ft
202211090ORL_TP0067,202211090ORL,1,,,2:52.0,2:52.0,0,1,0,made_ft
202211090ORL_TP0068,202211090ORL,1,,,2:35.0,2:35.0,0,2,0,made_fg
202211090ORL_TP0069,202211090ORL,1,,,2:19.0,2:19.0,0,3,0,made_fg
202211090ORL_TP0070,202211090ORL,1,,,1:17.0,1:17.0,1,3,0,made_fg
202211090ORL_TP0071,202211090ORL,1,,,0:56.0,0:56.0,0,3,0,made_fg
202211090ORL_TP0072,202211090ORL,1,,,0:45.0,0:45.0,0,0,0,foul
202211090ORL_TP0073,202211090ORL,1,,,0:16.0,0:16.0,0,2,0,made_fg
202211090ORL_TP0074,202211090ORL,1,,,0:12.0,0:12.0,0,0,0,foul
202211090ORL_TP0075,202211090ORL,1,,,11:03.0,11:03.0,3,0,0,foul
