true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202211250MEM_TP0000,202211250MEM,1,,,11:21.0,11:21.0,0,2,0,made_fg
202211250MEM_TP0001,202211250MEM,1,,,10:46.0,10:46.0,0,2,0,made_fg
202211250MEM_TP0002,202211250MEM,1,,,10:32.0,10:32.0,0,0,0,dead_ball_tov
202211250MEM_TP0003,202211250MEM,1,,,10:22.0,10:22.0,0,3,0,made_fg
202211250MEM_TP0004,202211250MEM,1,,,10:09.0,10:09.0,0,2,0,made_fg
202211250MEM_TP0005,202211250MEM,1,,,9:51.0,9:51.0,0,2,0,made_fg
202211250MEM_TP0006,202211250MEM,1,,,9:40.0,9:40.0,0,0,0,foul
202211250MEM_TP0007,202211250MEM,1,,,9:17.0,9:17.0,0,0,0,foul
202211250MEM_TP0008,202211250MEM,1,,,9:17.0,9:17.0,0,0,0,timeout
202211250MEM_TP0009,202211250MEM,1,,,9:17.0,9:17.0,0,1,0,made_ft
202211250MEM_TP0010,202211250MEM,1,,,9:17.0,9:17.0,0,1,0,made_ft
202211250MEM_TP0011,202211250MEM,1,,,8:54.0,8:54.0,0,3,0,made_fg
202211250MEM_TP0012,202211250MEM,1,,,8:34.0,8:34.0,0,3,0,made_fg
202211250MEM_TP0013,202211250MEM,1,,,8:20.0,8:20.0,0,3,0,made_fg
202211250MEM_TP0014,202211250MEM,1,,,7:27.0,7:27.0,2,0,0,foul
202211250MEM_TP0015,202211250MEM,1,,,7:21.0,7:21.0,0,2,0,made_fg
202211250MEM_TP0016,202211250MEM,1,,,6:49.0,6:49.0,0,3,0,made_fg
202211250MEM_TP0017,202211250MEM,1,,,6:49.0,6:49.0,0,0,0,timeout
202211250MEM_TP0018,202211250MEM,1,,,6:09.0,6:09.0,0,0,0,foul
202211250MEM_TP0019,202211250MEM,1,,,6:09.0,6:09.0,0,1,0,made_ft
202211250MEM_TP0020,202211250MEM,1,,,6:09.0,6:09.0,0,1,0,made_ft
