true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202212180LAL_TP0000,202212180LAL,1,,,11:28.0,11:28.0,0,2,0,made_fg
202212180LAL_TP0001,202212180LAL,1,,,10:35.0,10:35.0,0,2,0,made_fg
202212180LAL_TP0002,202212180LAL,1,,,10:28.0,10:28.0,0,2,0,made_fg
202212180LAL_TP0003,202212180LAL,1,,,9:40.0,9:40.0,0,2,0,made_fg
202212180LAL_TP0004,202212180LAL,1,,,9:30.0,9:30.0,0,0,0,foul
202212180LAL_TP0005,202212180LAL,1,,,9:30.0,9:30.0,0,1,0,made_ft
202212180LAL_TP0006,202212180LAL,1,,,9:14.0,9:14.0,1,3,0,made_fg
202212180LAL_TP0007,202212180LAL,1,,,8:49.0,8:49.0,0,2,0,made_fg
202212180LAL_TP0008,202212180LAL,1,,,8:30.0,8:30.0,0,0,0,foul
202212180LAL_TP0009,202212180LAL,1,,,8:30.0,8:30.0,0,1,0,made_ft
202212180LAL_TP0010,202212180LAL,1,,,8:30.0,8:30.0,0,1,0,made_ft
202212180LAL_TP0011,202212180LAL,1,,,7:57.0,7:57.0,1,2,0,made_fg
202212180LAL_TP0012,202212180LAL,1,,,7:54.0,7:54.0,0,2,0,made_fg
202212180LAL_TP0013,202212180LAL,1,,,7:45.0,7:45.0,0,3,0,made_fg
202212180LAL_TP0014,202212180LAL,1,,,7:26.0,7:26.0,0,3,0,made_fg
202212180LAL_TP0015,202212180LAL,1,,,6:43.0,6:43.0,1,0,0,timeout
202212180LAL_TP0016,202212180LAL,1,,,6:37.0,6:37.0,0,2,0,made_fg
202212180LAL_TP0017,202212180LAL,1,,,6:23.0,6:23.0,0,0,0,foul
202212180LAL_TP0018,202212180LAL,1,,,6:23.0,6:23.0,0,0,0,dead_ball_tov
202212180LAL_TP0019,202212180LAL,1,,,6:10.0,6:10.0,0,2,0,made_fg
202212180LAL_TP0020,202212180LAL,1,,,5:19.0,5:19.0,1,2,0,made_fg
202212180LAL_TP0021,202212180LAL,1,,,4:53.0,4:53.0,0,3,0,made_fg
202212180LAL_TP0022,202212180LAL,1,,,4:47.0,4:47.0,0,2,0,made_fg
202212180LAL_TP0023,202212180LAL,1,,,4:26.0,4:26.0,1,2,0,made_fg
202212180LAL_TP0024,202212180LAL,1,,,4:07.0,4:07.0,0,2,0,made_fg
202212180LAL_TP0025,202212180LAL,1,,,3:55.0,3:55.0,0,0,0,foul
202212180LAL_TP0026,202212180LAL,1,,,3:36.0,3:36.0,1,0,0,foul
202212180LAL_TP0027,202212180LAL,1,,,3:36.0,3:36.0,0,1,0,made_ft
202212180LAL_TP0028,202212180LAL,1,,,3:36.0,3:36.0,0,1,0,made_ft
202212180LAL_TP0029,202212180LAL,1,,,3:23.0,3:23.0,0,3,0,made_fg
202212180LAL_TP0030,202212180LAL,1,,,2:50.0,2:50.0,0,2,0,made_fg
202212180LAL_TP0031,202212180LAL,1,,,2:50.0,2:50.0,0,0,0,timeout
202212180LAL_TP0032,202212180LAL,1,,,2:35.0,2:35.0,0,2,0,made_fg
202212180LAL_TP0033,202212180LAL,1,,,2:06.0,2:06.0,0,2,0,made_fg
202212180LAL_TP0034,202212180LAL,1,,,1:34.0,1:34.0,0,2,0,made_fg
202212180LAL_TP0035,202212180LAL,1,,,1:24.0,1:24.0,0,3,0,made_fg
202212180LAL_TP0036,202212180LAL,1,,,1:01.0,1:01.0,1,0,0,foul
202212180LAL_TP0037,202212180LAL,1,,,0:38.0,0:38.0,1,0,0,dead_ball_tov
202212180LAL_TP0038,202212180LAL,1,,,0:00.0,0:00.0,0,2,0,made_fg
202212180LAL_TP0039,202212180LAL,1,,,11:27.0,11:27.0,2,2,0,made_fg
202212180LAL_TP0040,202212180LAL,1,,,11:07.0,11:07.0,0,2,0,made_fg
202212180LAL_TP0041,202212180LAL,1,,,10:51.0,10:51.0,0,0,0,timeout
202212180LAL_TP0042,202212180LAL,1,,,10:37.0,10:37.0,0,2,0,made_fg
202212180LAL_TP0043,202212180LAL,1,,,10:37.0,10:37.0,0,0,0,foul
202212180LAL_TP0044,202212180LAL,1,,,10:37.0,10:37.0,0,1,0,made_ft
202212180LAL_TP0045,202212180LAL,1,,,10:15.0,10:15.0,0,2,0,made_fg
202212180LAL_TP0046,202212180LAL,1,,,10:06.0,10:06.0,0,3,0,made_fg
202212180LAL_TP0047,202212180LAL,1,,,9:51.0,9:51.0,0,0,0,foul
202212180LAL_TP0048,202212180LAL,1,,,9:51.0,9:51.0,0,1,0,made_ft
202212180LAL_TP0049,202212180LAL,1,,,9:51.0,9:51.0,0,1,0,made_ft
202212180LAL_TP0050,202212180LAL,1,,,9:19.0,9:19.0,0,2,0,made_fg
202212180LAL_TP0051,202212180LAL,1,,,8:53.0,8:53.0,0,2,0,made_fg
202212180LAL_TP0052,202212180LAL,1,,,8:37.0,8:37.0,0,2,0,made_fg
202212180LAL_TP0053,202212180LAL,1,,,8:23.0,8:23.0,0,2,0,made_fg
202212180LAL_TP0054,202212180LAL,1,,,7:41.0,7:41.0,1,3,0,made_fg
202212180LAL_TP0055,202212180LAL,1,,,7:05.0,7:05.0,0,2,0,made_fg
202212180LAL_TP0056,202212180LAL,1,,,7:05.0,7:05.0,0,0,0,timeout
202212180LAL_TP0057,202212180LAL,1,,,6:31.0,6:31.0,1,2,0,made_fg
202212180LAL_TP0058,202212180LAL,1,,,5:17.0,5:17.0,0,2,0,made_fg
202212180LAL_TP0059,202212180LAL,1,,,4:53.0,4:53.0,0,2,0,made_fg
202212180LAL_TP0060,202212180LAL,1,,,4:39.0,4:39.0,0,0,0,foul
202212180LAL_TP0061,202212180LAL,1,,,4:39.0,4:39.0,0,1,0,made_ft
202212180LAL_TP0062,202212180LAL,1,,,4:39.0,4:39.0,0,1,0,made_ft
202212180LAL_TP0063,202212180LAL,1,,,4:39.0,4:39.0,0,1,0,made_ft
202212180LAL_TP0064,202212180LAL,1,,,4:24.0,4:24.0,0,2,0,made_fg
202212180LAL_TP0065,202212180LAL,1,,,3:38.0,3:38.0,1,2,0,made_fg
202212180LAL_TP0066,202212180LAL,1,,,3:27.0,3:27.0,0,0,0,foul
202212180LAL_TP0067,202212180LAL,1,,,3:27.0,3:27.0,0,1,0,made_ft
202212180LAL_TP0068,202212180LAL,1,,,3:27.0,3:27.0,0,1,0,made_ft
202212180LAL_TP0069,202212180LAL,1,,,3:16.0,3:16.0,0,3,0,made_fg
202212180LAL_TP0070,202212180LAL,1,,,2:59.0,2:59.0,0,2,0,made_fg
202212180LAL_TP0071,202212180LAL,1,,,2:10.0,2:10.0,1,0,0,dead_ball_tov
202212180LAL_TP0072,202212180LAL,1,,,1:59.0,1:59.0,0,0,0,foul
202212180LAL_TP0073,202212180LAL,1,,,1:48.0,1:48.0,1,2,0,made_fg
202212180LAL_TP0074,202212180LAL,1,,,1:31.0,1:31.0,0,2,0,made_fg
202212180LAL_TP0075,202212180LAL,1,,,1:11.0,1:11.0,0,3,0,made_fg
202212180LAL_TP0076,202212180LAL,1,,,1:00.0,1:00.0,0,2,0,made_fg
202212180LAL_TP0077,202212180LAL,1,,,0:27.0,0:27.0,0,2,0,made_fg
