true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202212190PHO_TP0000,202212190PHO,1,,,11:42.0,11:42.0,0,3,0,made_fg
202212190PHO_TP0001,202212190PHO,1,,,11:18.0,11:18.0,0,2,0,made_fg
202212190PHO_TP0002,202212190PHO,1,,,11:04.0,11:04.0,0,2,0,made_fg
202212190PHO_TP0003,202212190PHO,1,,,10:38.0,10:38.0,0,3,0,made_fg
202212190PHO_TP0004,202212190PHO,1,,,10:28.0,10:28.0,0,2,0,made_fg
202212190PHO_TP0005,202212190PHO,1,,,10:16.0,10:16.0,0,0,0,foul
202212190PHO_TP0006,202212190PHO,1,,,10:16.0,10:16.0,1,1,0,made_ft
202212190PHO_TP0007,202212190PHO,1,,,10:04.0,10:04.0,0,0,0,foul
202212190PHO_TP0008,202212190PHO,1,,,9:41.0,9:41.0,0,2,0,made_fg
202212190PHO_TP0009,202212190PHO,1,,,9:25.0,9:25.0,0,3,0,made_fg
202212190PHO_TP0010,202212190PHO,1,,,9:01.0,9:01.0,0,2,0,made_fg
202212190PHO_TP0011,202212190PHO,1,,,8:49.0,8:49.0,0,3,0,made_fg
202212190PHO_TP0012,202212190PHO,1,,,8:37.0,8:37.0,0,0,0,foul
202212190PHO_TP0013,202212190PHO,1,,,8:37.0,8:37.0,0,1,0,made_ft
202212190PHO_TP0014,202212190PHO,1,,,8:37.0,8:37.0,0,1,0,made_ft
202212190PHO_TP0015,202212190PHO,1,,,8:25.0,8:25.0,0,3,0,made_fg
202212190PHO_TP0016,202212190PHO,1,,,7:57.0,7:57.0,0,2,0,made_fg
202212190PHO_TP0017,202212190PHO,1,,,7:39.0,7:39.0,0,0,0,foul
202212190PHO_TP0018,202212190PHO,1,,,7:39.0,7:39.0,0,1,0,made_ft
202212190PHO_TP0019,202212190PHO,1,,,7:32.0,7:32.0,1,2,0,made_fg
202212190PHO_TP0020,202212190PHO,1,,,6:32.0,6:32.0,0,0,0,foul
202212190PHO_TP0021,202212190PHO,1,,,6:32.0,6:32.0,0,0,0,timeout
202212190PHO_TP0022,202212190PHO,1,,,6:32.0,6:32.0,0,1,0,made_ft
202212190PHO_TP0023,202212190PHO,1,,,6:16.0,6:16.0,0,0,0,foul
202212190PHO_TP0024,202212190PHO,1,,,6:05.0,6:05.0,0,0,0,dead_ball_tov
202212190PHO_TP0025,202212190PHO,1,,,5:55.0,5:55.0,0,0,0,foul
202212190PHO_TP0026,202212190PHO,1,,,5:55.0,5:55.0,0,1,0,made_ft
202212190PHO_TP0027,202212190PHO,1,,,5:55.0,5:55.0,0,1,0,made_ft
202212190PHO_TP0028,202212190PHO,1,,,5:29.0,5:29.0,1,2,0,made_fg
202212190PHO_TP0029,202212190PHO,1,,,5:03.0,5:03.0,0,2,0,made_fg
202212190PHO_TP0030,202212190PHO,1,,,5:03.0,5:03.0,0,0,0,timeout
202212190PHO_TP0031,202212190PHO,1,,,4:31.0,4:31.0,0,2,0,made_fg
202212190PHO_TP0032,202212190PHO,1,,,4:10.0,4:10.0,0,2,0,made_fg
202212190PHO_TP0033,202212190PHO,1,,,3:49.0,3:49.0,0,2,0,made_fg
202212190PHO_TP0034,202212190PHO,1,,,3:35.0,3:35.0,0,2,0,made_fg
202212190PHO_TP0035,202212190PHO,1,,,3:16.0,3:16.0,0,2,0,made_fg
202212190PHO_TP0036,202212190PHO,1,,,2:56.0,2:56.0,0,2,0,made_fg
202212190PHO_TP0037,202212190PHO,1,,,2:46.0,2:46.0,0,3,0,made_fg
202212190PHO_TP0038,202212190PHO,1,,,2:22.0,2:22.0,0,0,0,dead_ball_tov
202212190PHO_TP0039,202212190PHO,1,,,1:20.0,1:20.0,1,0,0,dead_ball_tov
202212190PHO_TP0040,202212190PHO,1,,,0:49.0,0:49.0,1,2,0,made_fg
202212190PHO_TP0041,202212190PHO,1,,,0:36.0,0:36.0,0,3,0,made_fg
202212190PHO_TP0042,202212190PHO,1,,,0:18.0,0:18.0,0,2,0,made_fg
202212190PHO_TP0043,202212190PHO,1,,,11:19.0,11:19.0,1,0,0,foul
202212190PHO_TP0044,202212190PHO,1,,,11:19.0,11:19.0,1,1,0,made_ft
202212190PHO_TP0045,202212190PHO,1,,,11:02.0,11:02.0,0,0,0,foul
202212190PHO_TP0046,202212190PHO,1,,,11:02.0,11:02.0,0,1,0,made_ft
202212190PHO_TP0047,202212190PHO,1,,,11:02.0,11:02.0,0,1,0,made_ft
202212190PHO_TP0048,202212190PHO,1,,,10:00.0,10:00.0,2,2,0,made_fg
202212190PHO_TP0049,202212190PHO,1,,,9:33.0,9:33.0,0,3,0,made_fg
202212190PHO_TP0050,202212190PHO,1,,,8:09.0,8:09.0,1,3,0,made_fg
202212190PHO_TP0051,202212190PHO,1,,,7:15.0,7:15.0,1,0,0,foul
