true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202212300NOP_TP0000,202212300NOP,1,,,11:47.0,11:47.0,0,0,0,foul
202212300NOP_TP0001,202212300NOP,1,,,11:47.0,11:47.0,0,1,0,made_ft
202212300NOP_TP0002,202212300NOP,1,,,11:47.0,11:47.0,0,1,0,made_ft
202212300NOP_TP0003,202212300NOP,1,,,11:15.0,11:15.0,0,2,0,made_fg
202212300NOP_TP0004,202212300NOP,1,,,10:56.0,10:56.0,0,2,0,made_fg
202212300NOP_TP0005,202212300NOP,1,,,10:36.0,10:36.0,0,0,0,foul
202212300NOP_TP0006,202212300NOP,1,,,10:36.0,10:36.0,0,1,0,made_ft
202212300NOP_TP0007,202212300NOP,1,,,10:36.0,10:36.0,0,1,0,made_ft
202212300NOP_TP0008,202212300NOP,1,,,10:21.0,10:21.0,0,2,0,made_fg
202212300NOP_TP0009,202212300NOP,1,,,9:43.0,9:43.0,2,2,0,made_fg
202212300NOP_TP0010,202212300NOP,1,,,8:26.0,8:26.0,0,2,0,made_fg
202212300NOP_TP0011,202212300NOP,1,,,7:55.0,7:55.0,0,2,0,made_fg
202212300NOP_TP0012,202212300NOP,1,,,7:41.0,7:41.0,0,0,0,foul
202212300NOP_TP0013,202212300NOP,1,,,7:41.0,7:41.0,0,1,0,made_ft
202212300NOP_TP0014,202212300NOP,1,,,7:41.0,7:41.0,0,1,0,made_ft
202212300NOP_TP0015,202212300NOP,1,,,7:12.0,7:12.0,1,2,0,made_fg
202212300NOP_TP0016,202212300NOP,1,,,7:12.0,7:12.0,0,0,0,timeout
202212300NOP_TP0017,202212300NOP,1,,,7:02.0,7:02.0,0,2,0,made_fg
202212300NOP_TP0018,202212300NOP,1,,,6:42.0,6:42.0,1,0,0,foul
202212300NOP_TP0019,202212300NOP,1,,,6:36.0,6:36.0,0,2,0,made_fg
202212300NOP_TP0020,202212300NOP,1,,,6:05.0,6:05.0,0,0,0,foul
202212300NOP_TP0021,202212300NOP,1,,,6:00.0,6:00.0,0,3,0,made_fg
202212300NOP_TP0022,202212300NOP,1,,,5:21.0,5:21.0,0,0,0,dead_ball_tov
202212300NOP_TP0023,202212300NOP,1,,,5:09.0,5:09.0,0,3,0,made_fg
202212300NOP_TP0024,202212300NOP,1,,,4:53.0,4:53.0,0,3,0,made_fg
202212300NOP_TP0025,202212300NOP,1,,,4:42.0,4:42.0,0,3,0,made_fg
202212300NOP_TP0026,202212300NOP,1,,,4:24.0,4:24.0,0,2,0,made_fg
202212300NOP_TP0027,202212300NOP,1,,,4:09.0,4:09.0,0,0,0,dead_ball_tov
202212300NOP_TP0028,202212300NOP,1,,,3:48.0,3:48.0,0,2,0,made_fg
202212300NOP_TP0029,202212300NOP,1,,,3:48.0,3:48.0,0,0,0,foul
