true_possession_id,game_id,period,offense_team,defense_team,tp_start_time,tp_end_time,standard_possessions_inside,true_possession_points,advantage_count,dead_ball_end_type
202301010DEN_TP0000,202301010DEN,1,,,11:29.0,11:29.0,0,0,0,dead_ball_tov
202301010DEN_TP0001,202301010DEN,1,,,11:13.0,11:13.0,0,2,0,made_fg
202301010DEN_TP0002,202301010DEN,1,,,10:59.0,10:59.0,0,3,0,made_fg
202301010DEN_TP0003,202301010DEN,1,,,10:33.0,10:33.0,0,2,0,made_fg
202301010DEN_TP0004,202301010DEN,1,,,10:23.0,10:23.0,0,3,0,made_fg
202301010DEN_TP0005,202301010DEN,1,,,9:54.0,9:54.0,0,3,0,made_fg
202301010DEN_TP0006,202301010DEN,1,,,9:22.0,9:22.0,0,2,0,made_fg
202301010DEN_TP0007,202301010DEN,1,,,8:43.0,8:43.0,0,2,0,made_fg
202301010DEN_TP0008,202301010DEN,1,,,8:37.0,8:37.0,0,3,0,made_fg
202301010DEN_TP0009,202301010DEN,1,,,8:25.0,8:25.0,0,2,0,made_fg
202301010DEN_TP0010,202301010DEN,1,,,8:12.0,8:12.0,0,2,0,made_fg
202301010DEN_TP0011,202301010DEN,1,,,8:05.0,8:05.0,0,0,0,foul
202301010DEN_TP0012,202301010DEN,1,,,8:05.0,8:05.0,0,1,0,made_ft
202301010DEN_TP0013,202301010DEN,1,,,8:05.0,8:05.0,0,1,0,made_ft
202301010DEN_TP0014,202301010DEN,1,,,7:54.0,7:54.0,0,0,0,foul
202301010DEN_TP0015,202301010DEN,1,,,7:54.0,7:54.0,0,1,0,made_ft
202301010DEN_TP0016,202301010DEN,1,,,7:54.0,7:54.0,0,1,0,made_ft
202301010DEN_TP0017,202301010DEN,1,,,7:25.0,7:25.0,0,2,0,made_fg
202301010DEN_TP0018,202301010DEN,1,,,7:25.0,7:25.0,0,0,0,foul
202301010DEN_TP0019,202301010DEN,1,,,7:25.0,7:25.0,0,1,0,made_ft
202301010DEN_TP0020,202301010DEN,1,,,6:58.0,6:58.0,0,2,0,made_fg
202301010DEN_TP0021,202301010DEN,1,,,6:25.0,6:25.0,0,2,0,made_fg
202301010DEN_TP0022,202301010DEN,1,,,6:11.0,6:11.0,0,2,0,made_fg
202301010DEN_TP0023,202301010DEN,1,,,6:01.0,6:01.0,0,0,0,foul
202301010DEN_TP0024,202301010DEN,1,,,6:01.0,6:01.0,0,0,0,timeout
202301010DEN_TP0025,202301010DEN,1,,,6:01.0,6:01.0,0,1,0,made_ft
202301010DEN_TP0026,202301010DEN,1,,,5:26.0,5:26.0,0,2,0,made_fg
202301010DEN_TP0027,202301010DEN,1,,,4:51.0,4:51.0,1,2,0,made_fg
202301010DEN_TP0028,202301010DEN,1,,,4:26.0,4:26.0,1,3,0,made_fg
202301010DEN_TP0029,202301010DEN,1,,,4:08.0,4:08.0,0,3,0,made_fg
202301010DEN_TP0030,202301010DEN,1,,,3:49.0,3:49.0,0,2,0,made_fg
202301010DEN_TP0031,202301010DEN,1,,,3:34.0,3:34.0,0,2,0,made_fg
202301010DEN_TP0032,202301010DEN,1,,,2:46.0,2:46.0,1,0,0,timeout
202301010DEN_TP0033,202301010DEN,1,,,2:35.0,2:35.0,0,0,0,foul
202301010DEN_TP0034,202301010DEN,1,,,2:35.0,2:35.0,0,1,0,made_ft
202301010DEN_TP0035,202301010DEN,1,,,2:35.0,2:35.0,0,1,0,made_ft
202301010DEN_TP0036,202301010DEN,1,,,2:23.0,2:23.0,0,0,0,foul
202301010DEN_TP0037,202301010DEN,1,,,2:23.0,2:23.0,0,1,0,made_ft
202301010DEN_TP0038,202301010DEN,1,,,2:23.0,2:23.0,0,1,0,made_ft
202301010DEN_TP0039,202301010DEN,1,,,1:54.0,1:54.0,0,2,0,made_fg
202301010DEN_TP0040,202301010DEN,1,,,1:28.0,1:28.0,0,2,0,made_fg
202301010DEN_TP0041,202301010DEN,1,,,1:10.0,1:10.0,0,2,0,made_fg
202301010DEN_TP0042,202301010DEN,1,,,0:41.0,0:41.0,0,0,0,foul
202301010DEN_TP0043,202301010DEN,1,,,0:41.0,0:41.0,1,1,0,made_ft
202301010DEN_TP0044,202301010DEN,1,,,0:26.0,0:26.0,0,2,0,made_fg
202301010DEN_TP0045,202301010DEN,1,,,11:44.0,11:44.0,0,2,0,made_fg
202301010DEN_TP0046,202301010DEN,1,,,11:34.0,11:34.0,0,0,0,dead_ball_tov
202301010DEN_TP0047,202301010DEN,1,,,11:23.0,11:23.0,0,0,0,foul
