game_id,period,time_remaining,away_score,home_score,away_team,home_team,team,player,event_text,is_scoring,points,is_shot,shot_made,shot_zone,is_ft,ft_made,is_rebound,is_off_rebound,is_def_rebound,is_turnover,is_steal,is_block,is_foul,is_timeout,is_sub,is_live_ball_tov,is_dead_ball
202111230DET,1,11:48.0,,,,,,C. Cunningham,Personal foul by C. Cunningham (drawn by D. Robinson ),False,0,False,,,False,,False,False,False,False,False,False,True,False,False,False,True
202111230DET,1,11:43.0,,,,,,D. Robinson,D. Robinson makes 2-pt layup from 4 ft (assist by B. Adebayo ),True,2,True,True,rim,False,,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,11:26.0,,,,,,J. Grant,J. Grant makes 3-pt jump shot from 26 ft (assist by C. Cunningham ),True,3,True,True,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,10:59.0,,,,,,B. Adebayo,B. Adebayo misses 2-pt jump shot from 20 ft,False,0,True,False,midrange,False,,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,10:55.0,,,,,,J. Grant,Defensive rebound by J. Grant,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202111230DET,1,10:47.0,,,,,,J. Grant,J. Grant misses 3-pt jump shot from 30 ft,False,0,True,False,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,10:42.0,,,,,,J. Butler,Defensive rebound by J. Butler,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202111230DET,1,10:36.0,,,,,,B. Adebayo,B. Adebayo makes 2-pt layup from 3 ft (assist by J. Butler ),True,2,True,True,rim,False,,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,10:36.0,,,,,,L. Garza,Shooting foul by L. Garza (drawn by B. Adebayo ),False,0,False,,,False,,False,False,False,False,False,False,True,False,False,False,True
202111230DET,1,10:36.0,,,,,,B. Adebayo,B. Adebayo misses free throw 1 of 1,False,0,True,False,,True,False,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,10:32.0,,,,,,L. Garza,Defensive rebound by L. Garza,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202111230DET,1,10:17.0,,,,,,C. Joseph,C. Joseph misses 3-pt jump shot from 25 ft,False,0,True,False,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,10:13.0,,,,,,J. Grant,Offensive rebound by J. Grant,False,0,False,,,False,,True,True,False,False,False,False,False,False,False,False,False
202111230DET,1,10:10.0,,,,,,J. Grant,J. Grant misses 2-pt layup from 5 ft,False,0,True,False,rim,False,,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,10:07.0,,,,,,D. Robinson,Defensive rebound by D. Robinson,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202111230DET,1,9:56.0,,,,,,J. Butler,Turnover by J. Butler (bad pass; steal by J. Grant ),False,0,False,,,False,,False,False,False,True,True,False,False,False,False,True,False
202111230DET,1,9:48.0,,,,,,S. Bey,S. Bey makes 3-pt jump shot from 27 ft,True,3,True,True,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,9:28.0,,,,,,J. Butler,J. Butler makes 2-pt jump shot from 9 ft,True,2,True,True,midrange,False,,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,9:03.0,,,,,,S. Bey,S. Bey misses 3-pt jump shot from 25 ft,False,0,True,False,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,8:59.0,,,,,,K. Lowry,Defensive rebound by K. Lowry,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202111230DET,1,8:55.0,,,,,,B. Adebayo,B. Adebayo makes 2-pt layup from 2 ft (assist by K. Lowry ),True,2,True,True,rim,False,,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,8:45.0,,,,,,C. Cunningham,C. Cunningham misses 3-pt jump shot from 25 ft,False,0,True,False,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,8:45.0,,,,,,P. Tucker,Defensive rebound by P. Tucker,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202111230DET,1,8:33.0,,,,,,J. Butler,J. Butler misses 2-pt layup from 5 ft,False,0,True,False,rim,False,,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,8:31.0,,,,,,C. Cunningham,Defensive rebound by C. Cunningham,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202111230DET,1,8:27.0,,,,,,S. Bey,S. Bey makes 3-pt jump shot from 25 ft (assist by C. Cunningham ),True,3,True,True,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,8:12.0,,,,,,C. Joseph,Shooting foul by C. Joseph (drawn by J. Butler ),False,0,False,,,False,,False,False,False,False,False,False,True,False,False,False,True
202111230DET,1,8:12.0,,,,,,J. Butler,J. Butler makes free throw 1 of 2,True,1,True,True,,True,True,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,8:12.0,,,,,,J. Butler,J. Butler makes free throw 2 of 2,True,1,True,True,,True,True,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,7:53.0,,,,,,S. Bey,S. Bey makes 2-pt layup from 4 ft,True,2,True,True,rim,False,,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,7:41.0,,,,,,B. Adebayo,B. Adebayo misses 2-pt jump shot from 15 ft,False,0,True,False,midrange,False,,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,7:37.0,,,,,,C. Cunningham,Defensive rebound by C. Cunningham,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202111230DET,1,7:31.0,,,,,,C. Joseph,C. Joseph makes 2-pt layup from 1 ft (assist by L. Garza ),True,2,True,True,rim,False,,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,7:31.0,,,,,,P. Tucker,Shooting foul by P. Tucker (drawn by C. Joseph ),False,0,False,,,False,,False,False,False,False,False,False,True,False,False,False,True
202111230DET,1,7:31.0,,,,,,C. Joseph,C. Joseph makes free throw 1 of 1,True,1,True,True,,True,True,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,7:08.0,,,,,,B. Adebayo,Turnover by B. Adebayo (step out of bounds),False,0,False,,,False,,False,False,False,True,False,False,False,False,False,False,False
202111230DET,1,6:56.0,,,,,,J. Grant,J. Grant misses 2-pt jump shot from 17 ft,False,0,True,False,midrange,False,,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,6:53.0,,,,,,P. Tucker,Defensive rebound by P. Tucker,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202111230DET,1,6:36.0,,,,,,D. Robinson,D. Robinson misses 2-pt layup from 6 ft,False,0,True,False,rim,False,,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,6:36.0,,,,,,J. Butler,Offensive rebound by J. Butler,False,0,False,,,False,,True,True,False,False,False,False,False,False,False,False,False
202111230DET,1,6:36.0,,,,,,L. Garza,Shooting foul by L. Garza (drawn by J. Butler ),False,0,False,,,False,,False,False,False,False,False,False,True,False,False,False,True
202111230DET,1,6:36.0,,,,,,,Detroit full timeout,False,0,False,,,False,,False,False,False,False,False,False,False,True,False,False,True
202111230DET,1,6:36.0,,,,,,T. Lyles,T. Lyles enters the game for L. Garza,False,0,False,,,False,,False,False,False,False,False,False,False,False,True,False,True
202111230DET,1,6:36.0,,,,,,J. Butler,J. Butler misses free throw 1 of 2,False,0,True,False,,True,False,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,6:36.0,,,,,,,Offensive rebound by Team,False,0,False,,,False,,True,True,False,False,False,False,False,False,False,False,False
202111230DET,1,6:36.0,,,,,,J. Butler,J. Butler makes free throw 2 of 2,True,1,True,True,,True,True,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,6:16.0,,,,,,C. Cunningham,C. Cunningham misses 2-pt layup from 3 ft,False,0,True,False,rim,False,,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,6:14.0,,,,,,P. Tucker,Defensive rebound by P. Tucker,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202111230DET,1,6:11.0,,,,,,K. Lowry,K. Lowry misses 3-pt jump shot from 26 ft,False,0,True,False,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,6:07.0,,,,,,T. Lyles,Defensive rebound by T. Lyles,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202111230DET,1,6:02.0,,,,,,D. Robinson,Personal foul by D. Robinson (drawn by T. Lyles ),False,0,False,,,False,,False,False,False,False,False,False,True,False,False,False,True
202111230DET,1,5:45.0,,,,,,S. Bey,S. Bey makes 3-pt jump shot from 28 ft (assist by C. Joseph ),True,3,True,True,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,5:25.0,,,,,,D. Robinson,D. Robinson misses 3-pt jump shot from 25 ft,False,0,True,False,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202111230DET,1,5:20.0,,,,,,J. Grant,Defensive rebound by J. Grant,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202111230DET,1,5:06.0,,,,,,T. Lyles,T. Lyles misses 2-pt jump shot from 18 ft,False,0,True,False,midrange,False,,False,False,False,False,False,False,False,False,False,False,False
