game_id,period,time_remaining,away_score,home_score,away_team,home_team,team,player,event_text,is_scoring,points,is_shot,shot_made,shot_zone,is_ft,ft_made,is_rebound,is_off_rebound,is_def_rebound,is_turnover,is_steal,is_block,is_foul,is_timeout,is_sub,is_live_ball_tov,is_dead_ball
202112210MIA,1,11:38.0,,,,,,M. Turner,M. Turner makes 2-pt layup from 2 ft,True,2,True,True,rim,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,11:20.0,,,,,,G. Vincent,G. Vincent misses 3-pt jump shot from 28 ft,False,0,True,False,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,11:16.0,,,,,,M. Turner,Defensive rebound by M. Turner,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202112210MIA,1,11:07.0,,,,,,D. Sabonis,D. Sabonis makes 2-pt jump shot from 5 ft (assist by J. Holiday ),True,2,True,True,midrange,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,10:46.0,,,,,,D. Robinson,D. Robinson misses 3-pt jump shot from 27 ft,False,0,True,False,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,10:41.0,,,,,,G. Vincent,Offensive rebound by G. Vincent,False,0,False,,,False,,True,True,False,False,False,False,False,False,False,False,False
202112210MIA,1,10:40.0,,,,,,K. Lowry,Turnover by K. Lowry (step out of bounds),False,0,False,,,False,,False,False,False,True,False,False,False,False,False,False,False
202112210MIA,1,10:28.0,,,,,,C. LeVert,C. LeVert misses 2-pt jump shot from 9 ft,False,0,True,False,midrange,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,10:28.0,,,,,,,Offensive rebound by Team,False,0,False,,,False,,True,True,False,False,False,False,False,False,False,False,False
202112210MIA,1,10:23.0,,,,,,J. Holiday,J. Holiday misses 3-pt jump shot from 27 ft,False,0,True,False,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,10:21.0,,,,,,M. Brogdon,Offensive rebound by M. Brogdon,False,0,False,,,False,,True,True,False,False,False,False,False,False,False,False,False
202112210MIA,1,10:14.0,,,,,,D. Sabonis,D. Sabonis misses 2-pt hook shot from 7 ft,False,0,True,False,rim,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,10:10.0,,,,,,D. Dedmon,Defensive rebound by D. Dedmon,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202112210MIA,1,9:58.0,,,,,,G. Vincent,G. Vincent makes 3-pt jump shot from 24 ft (assist by K. Lowry ),True,3,True,True,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,9:45.0,,,,,,J. Holiday,J. Holiday misses 3-pt jump shot from 26 ft,False,0,True,False,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,9:42.0,,,,,,D. Dedmon,Defensive rebound by D. Dedmon,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202112210MIA,1,9:35.0,,,,,,M. Strus,M. Strus makes 3-pt jump shot from 29 ft (assist by K. Lowry ),True,3,True,True,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,9:22.0,,,,,,M. Strus,Personal foul by M. Strus (drawn by M. Brogdon ),False,0,False,,,False,,False,False,False,False,False,False,True,False,False,False,True
202112210MIA,1,9:07.0,,,,,,C. LeVert,C. LeVert makes 3-pt jump shot from 23 ft (assist by M. Brogdon ),True,3,True,True,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,8:44.0,,,,,,D. Dedmon,Turnover by D. Dedmon (traveling),False,0,False,,,False,,False,False,False,True,False,False,False,False,False,False,False
202112210MIA,1,8:33.0,,,,,,D. Sabonis,D. Sabonis makes 2-pt layup from 1 ft (assist by J. Holiday ),True,2,True,True,rim,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,8:21.0,,,,,,D. Robinson,D. Robinson misses 3-pt jump shot from 23 ft,False,0,True,False,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,8:15.0,,,,,,C. LeVert,Defensive rebound by C. LeVert,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202112210MIA,1,8:07.0,,,,,,J. Holiday,J. Holiday makes 2-pt jump shot from 16 ft (assist by M. Brogdon ),True,2,True,True,midrange,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,7:56.0,,,,,,D. Robinson,D. Robinson makes 3-pt jump shot from 24 ft (assist by M. Strus ),True,3,True,True,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,7:42.0,,,,,,M. Strus,Shooting foul by M. Strus (drawn by D. Sabonis ),False,0,False,,,False,,False,False,False,False,False,False,True,False,False,False,True
202112210MIA,1,7:42.0,,,,,,D. Sabonis,D. Sabonis makes free throw 1 of 2,True,1,True,True,,True,True,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,7:42.0,,,,,,K. Okpala,K. Okpala enters the game for M. Strus,False,0,False,,,False,,False,False,False,False,False,False,False,False,True,False,True
202112210MIA,1,7:42.0,,,,,,D. Sabonis,D. Sabonis makes free throw 2 of 2,True,1,True,True,,True,True,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,7:31.0,,,,,,,Violation by Team (kicked ball),False,0,False,,,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,7:25.0,,,,,,D. Robinson,D. Robinson makes 3-pt jump shot from 26 ft (assist by D. Dedmon ),True,3,True,True,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,7:11.0,,,,,,D. Sabonis,D. Sabonis misses 3-pt jump shot from 26 ft,False,0,True,False,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,7:08.0,,,,,,K. Lowry,Defensive rebound by K. Lowry,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202112210MIA,1,7:04.0,,,,,,K. Lowry,K. Lowry misses 3-pt jump shot from 27 ft,False,0,True,False,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,7:00.0,,,,,,D. Dedmon,Offensive rebound by D. Dedmon,False,0,False,,,False,,True,True,False,False,False,False,False,False,False,False,False
202112210MIA,1,6:56.0,,,,,,G. Vincent,G. Vincent misses 2-pt layup from 2 ft (block by M. Turner ),False,0,True,False,rim,False,,False,False,False,False,False,True,False,False,False,False,False
202112210MIA,1,6:52.0,,,,,,M. Turner,Defensive rebound by M. Turner,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202112210MIA,1,6:48.0,,,,,,C. LeVert,C. LeVert misses 2-pt jump shot from 9 ft,False,0,True,False,midrange,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,6:45.0,,,,,,K. Lowry,Defensive rebound by K. Lowry,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202112210MIA,1,6:41.0,,,,,,D. Dedmon,D. Dedmon makes 3-pt jump shot from 27 ft (assist by K. Lowry ),True,3,True,True,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,6:25.0,,,,,,M. Turner,M. Turner makes 3-pt jump shot from 23 ft (assist by D. Sabonis ),True,3,True,True,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,6:18.0,,,,,,K. Okpala,K. Okpala makes 2-pt layup from 3 ft (assist by K. Lowry ),True,2,True,True,rim,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,6:11.0,,,,,,M. Brogdon,M. Brogdon misses 2-pt layup from 2 ft,False,0,True,False,rim,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,6:08.0,,,,,,J. Holiday,Offensive rebound by J. Holiday,False,0,False,,,False,,True,True,False,False,False,False,False,False,False,False,False
202112210MIA,1,6:02.0,,,,,,J. Holiday,J. Holiday misses 3-pt jump shot from 24 ft,False,0,True,False,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,6:01.0,,,,,,K. Lowry,Defensive rebound by K. Lowry,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202112210MIA,1,6:00.0,,,,,,K. Lowry,K. Lowry makes 2-pt layup from 2 ft,True,2,True,True,rim,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,6:00.0,,,,,,,Violation by Team (def goaltending),False,0,False,,,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,5:58.0,,,,,,,Miami full timeout,False,0,False,,,False,,False,False,False,False,False,False,False,True,False,False,True
202112210MIA,1,5:58.0,,,,,,J. Holiday,Shooting foul by J. Holiday (drawn by K. Lowry ),False,0,False,,,False,,False,False,False,False,False,False,True,False,False,False,True
202112210MIA,1,5:58.0,,,,,,O. Brissett,O. Brissett enters the game for J. Holiday,False,0,False,,,False,,False,False,False,False,False,False,False,False,True,False,True
202112210MIA,1,5:58.0,,,,,,C. Duarte,C. Duarte enters the game for D. Sabonis,False,0,False,,,False,,False,False,False,False,False,False,False,False,True,False,True
202112210MIA,1,5:58.0,,,,,,T. Herro,T. Herro enters the game for D. Dedmon,False,0,False,,,False,,False,False,False,False,False,False,False,False,True,False,True
202112210MIA,1,5:58.0,,,,,,O. Yurtseven,O. Yurtseven enters the game for G. Vincent,False,0,False,,,False,,False,False,False,False,False,False,False,False,True,False,True
202112210MIA,1,5:58.0,,,,,,K. Lowry,K. Lowry misses free throw 1 of 1,False,0,True,False,,True,False,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,5:58.0,,,,,,M. Turner,Defensive rebound by M. Turner,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202112210MIA,1,5:35.0,,,,,,M. Turner,M. Turner misses 2-pt layup from 2 ft,False,0,True,False,rim,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,5:32.0,,,,,,K. Lowry,Defensive rebound by K. Lowry,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202112210MIA,1,5:14.0,,,,,,D. Robinson,D. Robinson misses 2-pt jump shot from 6 ft,False,0,True,False,midrange,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,5:11.0,,,,,,M. Turner,Defensive rebound by M. Turner,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202112210MIA,1,5:01.0,,,,,,K. Okpala,Shooting foul by K. Okpala (drawn by M. Brogdon ),False,0,False,,,False,,False,False,False,False,False,False,True,False,False,False,True
202112210MIA,1,5:01.0,,,,,,M. Brogdon,M. Brogdon misses free throw 1 of 2,False,0,True,False,,True,False,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,5:01.0,,,,,,,Offensive rebound by Team,False,0,False,,,False,,True,True,False,False,False,False,False,False,False,False,False
202112210MIA,1,5:01.0,,,,,,M. Brogdon,M. Brogdon makes free throw 2 of 2,True,1,True,True,,True,True,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,4:36.0,,,,,,D. Robinson,D. Robinson makes 2-pt jump shot from 16 ft (assist by T. Herro ),True,2,True,True,midrange,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,4:17.0,,,,,,M. Brogdon,M. Brogdon misses 3-pt jump shot from 27 ft,False,0,True,False,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,4:14.0,,,,,,D. Robinson,Defensive rebound by D. Robinson,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202112210MIA,1,4:03.0,,,,,,K. Okpala,K. Okpala makes 3-pt jump shot from 24 ft (assist by T. Herro ),True,3,True,True,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,4:02.0,,,,,,,Indiana full timeout,False,0,False,,,False,,False,False,False,False,False,False,False,True,False,False,True
202112210MIA,1,4:02.0,,,,,,D. Sabonis,D. Sabonis enters the game for M. Brogdon,False,0,False,,,False,,False,False,False,False,False,False,False,False,True,False,True
202112210MIA,1,4:02.0,,,,,,B. Wanamaker,B. Wanamaker enters the game for M. Turner,False,0,False,,,False,,False,False,False,False,False,False,False,False,True,False,True
202112210MIA,1,3:49.0,,,,,,B. Wanamaker,Turnover by B. Wanamaker (bad pass),False,0,False,,,False,,False,False,False,True,False,False,False,False,False,False,False
202112210MIA,1,3:35.0,,,,,,O. Yurtseven,Turnover by O. Yurtseven (traveling),False,0,False,,,False,,False,False,False,True,False,False,False,False,False,False,False
202112210MIA,1,3:11.0,,,,,,C. LeVert,Turnover by C. LeVert (bad pass; steal by K. Lowry ),False,0,False,,,False,,False,False,False,True,True,False,False,False,False,True,False
202112210MIA,1,2:55.0,,,,,,T. Herro,T. Herro misses 2-pt layup from 3 ft,False,0,True,False,rim,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,2:53.0,,,,,,O. Yurtseven,Offensive rebound by O. Yurtseven,False,0,False,,,False,,True,True,False,False,False,False,False,False,False,False,False
202112210MIA,1,2:51.0,,,,,,O. Yurtseven,O. Yurtseven makes 2-pt layup from 2 ft,True,2,True,True,rim,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,2:32.0,,,,,,D. Sabonis,Turnover by D. Sabonis (lost ball; steal by K. Lowry ),False,0,False,,,False,,False,False,False,True,True,False,False,False,False,True,False
202112210MIA,1,2:28.0,,,,,,K. Lowry,Turnover by K. Lowry (bad pass; steal by O. Brissett ),False,0,False,,,False,,False,False,False,True,True,False,False,False,False,True,False
202112210MIA,1,2:24.0,,,,,,O. Yurtseven,Shooting foul by O. Yurtseven (drawn by C. Duarte ),False,0,False,,,False,,False,False,False,False,False,False,True,False,False,False,True
202112210MIA,1,2:24.0,,,,,,C. Duarte,C. Duarte misses free throw 1 of 2,False,0,True,False,,True,False,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,2:24.0,,,,,,,Offensive rebound by Team,False,0,False,,,False,,True,True,False,False,False,False,False,False,False,False,False
202112210MIA,1,2:24.0,,,,,,C. Duarte,C. Duarte makes free throw 2 of 2,True,1,True,True,,True,True,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,1:59.0,,,,,,K. Okpala,K. Okpala makes 2-pt layup from 6 ft (assist by D. Robinson ),True,2,True,True,rim,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,1:48.0,,,,,,O. Brissett,O. Brissett makes 2-pt layup from 1 ft (assist by B. Wanamaker ),True,2,True,True,rim,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,1:41.0,,,,,,O. Brissett,Shooting foul by O. Brissett (drawn by T. Herro ),False,0,False,,,False,,False,False,False,False,False,False,True,False,False,False,True
202112210MIA,1,1:41.0,,,,,,T. Herro,T. Herro makes free throw 1 of 2,True,1,True,True,,True,True,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,1:41.0,,,,,,J. Lamb,J. Lamb enters the game for C. LeVert,False,0,False,,,False,,False,False,False,False,False,False,False,False,True,False,True
202112210MIA,1,1:41.0,,,,,,D. Dedmon,D. Dedmon enters the game for K. Lowry,False,0,False,,,False,,False,False,False,False,False,False,False,False,True,False,True
202112210MIA,1,1:41.0,,,,,,G. Vincent,G. Vincent enters the game for O. Yurtseven,False,0,False,,,False,,False,False,False,False,False,False,False,False,True,False,True
202112210MIA,1,1:41.0,,,,,,T. Herro,T. Herro makes free throw 2 of 2,True,1,True,True,,True,True,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,1:28.0,,,,,,C. Duarte,C. Duarte misses 3-pt jump shot from 23 ft,False,0,True,False,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,1:26.0,,,,,,T. Herro,Defensive rebound by T. Herro,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202112210MIA,1,1:20.0,,,,,,T. Herro,T. Herro misses 2-pt layup from 2 ft (block by O. Brissett ),False,0,True,False,rim,False,,False,False,False,False,False,True,False,False,False,False,False
202112210MIA,1,1:17.0,,,,,,D. Dedmon,Offensive rebound by D. Dedmon,False,0,False,,,False,,True,True,False,False,False,False,False,False,False,False,False
202112210MIA,1,1:16.0,,,,,,D. Dedmon,D. Dedmon misses 2-pt hook shot from 4 ft,False,0,True,False,rim,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,1:13.0,,,,,,D. Sabonis,Defensive rebound by D. Sabonis,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202112210MIA,1,1:00.0,,,,,,D. Sabonis,D. Sabonis misses 3-pt jump shot from 26 ft,False,0,True,False,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,0:56.0,,,,,,K. Okpala,Defensive rebound by K. Okpala,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202112210MIA,1,0:45.0,,,,,,G. Vincent,G. Vincent misses 3-pt jump shot from 24 ft,False,0,True,False,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202112210MIA,1,0:41.0,,,,,,D. Sabonis,Defensive rebound by D. Sabonis,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202112210MIA,1,0:34.0,,,,,,B. Wanamaker,B. Wanamaker misses 2-pt layup from 2 ft (block by D. Dedmon ),False,0,True,False,rim,False,,False,False,False,False,False,True,False,False,False,False,False
202112210MIA,1,0:30.0,,,,,,J. Lamb,Offensive rebound by J. Lamb,False,0,False,,,False,,True,True,False,False,False,False,False,False,False,False,False
