game_id,period,time_remaining,away_score,home_score,away_team,home_team,team,player,event_text,is_scoring,points,is_shot,shot_made,shot_zone,is_ft,ft_made,is_rebound,is_off_rebound,is_def_rebound,is_turnover,is_steal,is_block,is_foul,is_timeout,is_sub,is_live_ball_tov,is_dead_ball
202201150BRK,1,11:46.0,,,,,,D. Graham,Personal foul by D. Graham (drawn by K. Durant ),False,0,False,,,False,,False,False,False,False,False,False,True,False,False,False,True
202201150BRK,1,11:41.0,,,,,,K. Durant,K. Durant makes 2-pt jump shot from 16 ft,True,2,True,True,midrange,False,,False,False,False,False,False,False,False,False,False,False,False
202201150BRK,1,11:16.0,,,,,,D. Graham,D. Graham makes 2-pt jump shot from 14 ft (assist by J. ValanÄiÅ«nas ),True,2,True,True,midrange,False,,False,False,False,False,False,False,False,False,False,False,False
202201150BRK,1,10:58.0,,,,,,D. Sharpe,D. Sharpe misses 2-pt layup from 2 ft,False,0,True,False,rim,False,,False,False,False,False,False,False,False,False,False,False,False
202201150BRK,1,10:56.0,,,,,,J. ValanÄiÅ«nas,Defensive rebound by J. ValanÄiÅ«nas,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202201150BRK,1,10:53.0,,,,,,D. Graham,Turnover by D. Graham (lost ball; steal by J. Harden ),False,0,False,,,False,,False,False,False,True,True,False,False,False,False,True,False
202201150BRK,1,10:41.0,,,,,,K. Durant,K. Durant misses 3-pt jump shot from 25 ft,False,0,True,False,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202201150BRK,1,10:37.0,,,,,,B. Ingram,Defensive rebound by B. Ingram,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202201150BRK,1,10:29.0,,,,,,H. Jones,H. Jones misses 2-pt layup from 3 ft (block by D. Sharpe ),False,0,True,False,rim,False,,False,False,False,False,False,True,False,False,False,False,False
202201150BRK,1,10:26.0,,,,,,K. Durant,Defensive rebound by K. Durant,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202201150BRK,1,10:24.0,,,,,,P. Mills,P. Mills makes 3-pt jump shot from 23 ft (assist by J. Harden ),True,3,True,True,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202201150BRK,1,9:59.0,,,,,,J. ValanÄiÅ«nas,J. ValanÄiÅ«nas misses 2-pt jump shot from 10 ft,False,0,True,False,midrange,False,,False,False,False,False,False,False,False,False,False,False,False
202201150BRK,1,9:57.0,,,,,,J. Harden,Defensive rebound by J. Harden,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202201150BRK,1,9:51.0,,,,,,P. Mills,P. Mills misses 3-pt jump shot from 22 ft,False,0,True,False,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202201150BRK,1,9:46.0,,,,,,J. Hart,Defensive rebound by J. Hart,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202201150BRK,1,9:45.0,,,,,,P. Mills,Personal foul by P. Mills (drawn by J. Hart ),False,0,False,,,False,,False,False,False,False,False,False,True,False,False,False,True
202201150BRK,1,9:36.0,,,,,,K. Edwards,Shooting foul by K. Edwards (drawn by B. Ingram ),False,0,False,,,False,,False,False,False,False,False,False,True,False,False,False,True
202201150BRK,1,9:36.0,,,,,,B. Ingram,B. Ingram misses free throw 1 of 2,False,0,True,False,,True,False,False,False,False,False,False,False,False,False,False,False,False
202201150BRK,1,9:36.0,,,,,,,Offensive rebound by Team,False,0,False,,,False,,True,True,False,False,False,False,False,False,False,False,False
202201150BRK,1,9:36.0,,,,,,B. Ingram,B. Ingram makes free throw 2 of 2,True,1,True,True,,True,True,False,False,False,False,False,False,False,False,False,False,False
202201150BRK,1,9:22.0,,,,,,J. Harden,J. Harden makes 2-pt layup from 1 ft,True,2,True,True,rim,False,,False,False,False,False,False,False,False,False,False,False,False
202201150BRK,1,8:59.0,,,,,,D. Graham,D. Graham misses 3-pt jump shot from 23 ft,False,0,True,False,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202201150BRK,1,8:55.0,,,,,,K. Durant,Defensive rebound by K. Durant,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202201150BRK,1,8:51.0,,,,,,J. Harden,J. Harden makes 2-pt layup from 1 ft,True,2,True,True,rim,False,,False,False,False,False,False,False,False,False,False,False,False
