game_id,period,time_remaining,away_score,home_score,away_team,home_team,team,player,event_text,is_scoring,points,is_shot,shot_made,shot_zone,is_ft,ft_made,is_rebound,is_off_rebound,is_def_rebound,is_turnover,is_steal,is_block,is_foul,is_timeout,is_sub,is_live_ball_tov,is_dead_ball
202204010LAL,1,11:41.0,,,,,,A. Davis,A. Davis makes 2-pt jump shot from 17 ft (assist by R. Westbrook ),True,2,True,True,midrange,False,,False,False,False,False,False,False,False,False,False,False,False
202204010LAL,1,11:16.0,,,,,,J. ValanÄiÅ«nas,J. ValanÄiÅ«nas misses 2-pt jump shot from 9 ft,False,0,True,False,midrange,False,,False,False,False,False,False,False,False,False,False,False,False
202204010LAL,1,11:14.0,,,,,,D. Howard,Defensive rebound by D. Howard,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202204010LAL,1,11:10.0,,,,,,H. Jones,Personal foul by H. Jones (drawn by L. James ),False,0,False,,,False,,False,False,False,False,False,False,True,False,False,False,True
202204010LAL,1,11:08.0,,,,,,R. Westbrook,Turnover by R. Westbrook (bad pass; steal by J. Hayes ),False,0,False,,,False,,False,False,False,True,True,False,False,False,False,True,False
202204010LAL,1,10:55.0,,,,,,B. Ingram,B. Ingram makes 2-pt jump shot from 14 ft,True,2,True,True,midrange,False,,False,False,False,False,False,False,False,False,False,False,False
202204010LAL,1,10:32.0,,,,,,L. James,L. James misses 2-pt layup from 1 ft,False,0,True,False,rim,False,,False,False,False,False,False,False,False,False,False,False,False
202204010LAL,1,10:27.0,,,,,,J. ValanÄiÅ«nas,Defensive rebound by J. ValanÄiÅ«nas,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202204010LAL,1,10:22.0,,,,,,B. Ingram,B. Ingram misses 3-pt jump shot from 25 ft,False,0,True,False,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202204010LAL,1,10:21.0,,,,,,,Defensive rebound by Team,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202204010LAL,1,10:05.0,,,,,,A. Davis,A. Davis misses 2-pt jump shot from 18 ft,False,0,True,False,midrange,False,,False,False,False,False,False,False,False,False,False,False,False
202204010LAL,1,10:02.0,,,,,,C. McCollum,Defensive rebound by C. McCollum,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202204010LAL,1,10:00.0,,,,,,A. Bradley,Personal foul by A. Bradley (drawn by C. McCollum ),False,0,False,,,False,,False,False,False,False,False,False,True,False,False,False,True
202204010LAL,1,9:56.0,,,,,,C. McCollum,C. McCollum makes 3-pt jump shot from 26 ft (assist by J. ValanÄiÅ«nas ),True,3,True,True,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202204010LAL,1,9:40.0,,,,,,D. Howard,D. Howard makes 2-pt dunk from 1 ft (assist by A. Davis ),True,2,True,True,rim,False,,False,False,False,False,False,False,False,False,False,False,False
202204010LAL,1,9:20.0,,,,,,B. Ingram,Turnover by B. Ingram (bad pass; steal by D. Howard ),False,0,False,,,False,,False,False,False,True,True,False,False,False,False,True,False
202204010LAL,1,9:17.0,,,,,,L. James,L. James makes 2-pt dunk from 1 ft (assist by R. Westbrook ),True,2,True,True,rim,False,,False,False,False,False,False,False,False,False,False,False,False
202204010LAL,1,9:01.0,,,,,,H. Jones,H. Jones misses 3-pt jump shot from 25 ft,False,0,True,False,above_break_3,False,,False,False,False,False,False,False,False,False,False,False,False
202204010LAL,1,8:58.0,,,,,,A. Davis,Defensive rebound by A. Davis,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202204010LAL,1,8:51.0,,,,,,A. Davis,Turnover by A. Davis (bad pass; steal by C. McCollum ),False,0,False,,,False,,False,False,False,True,True,False,False,False,False,True,False
202204010LAL,1,8:44.0,,,,,,C. McCollum,C. McCollum misses 2-pt jump shot from 9 ft,False,0,True,False,midrange,False,,False,False,False,False,False,False,False,False,False,False,False
202204010LAL,1,8:41.0,,,,,,A. Davis,Defensive rebound by A. Davis,False,0,False,,,False,,True,False,True,False,False,False,False,False,False,False,False
202204010LAL,1,8:40.0,,,,,,J. Hayes,Flagrant foul type 1 by J. Hayes (drawn by L. James ),False,0,False,,,False,,False,False,False,False,False,False,True,False,False,False,True
202204010LAL,1,8:40.0,,,,,,,Instant Replay (Request: Ruling Stands),False,0,False,,,False,,False,False,False,False,False,False,False,False,False,False,False
202204010LAL,1,8:40.0,,,,,,L. James,L. James misses flagrant free throw 1 of 2,False,0,True,False,,True,False,False,False,False,False,False,False,False,False,False,False,False
202204010LAL,1,8:40.0,,,,,,,Offensive rebound by Team,False,0,False,,,False,,True,True,False,False,False,False,False,False,False,False,False
202204010LAL,1,8:40.0,,,,,,L. James,L. James misses flagrant free throw 2 of 2,False,0,True,False,,True,False,False,False,False,False,False,False,False,False,False,False,False
202204010LAL,1,8:40.0,,,,,,,Offensive rebound by Team,False,0,False,,,False,,True,True,False,False,False,False,False,False,False,False,False
202204010LAL,1,8:32.0,,,,,,A. Bradley,Turnover by A. Bradley (bad pass; steal by J. Hayes ),False,0,False,,,False,,False,False,False,True,True,False,False,False,False,True,False
