player_key,player_name,team_alias,position,inches,weight,age,off,def,tot,tot_change,off_rk,def_rk,tot_rk
victor wembanyama,Victor Wembanyama,SAS,F-C,88,235,22,3.80731,3.99967,7.807,,11,1,1
nikola jokic,Nikola Jokic,DEN,C,83,284,31,6.39257,0.944269,7.3368,,1,67,2
kawhi leonard,Kawhi Leonard,LAC,F,78,225,34,6.15694,1.14048,7.2974,,2,48,3
shai gilgeous-alexander,Shai Gilgeous-Alexander,OKC,G,78,195,27,5.67336,1.34407,7.0174,,5,36,4
giannis antetokounmpo,Giannis Antetokounmpo,MIL,F,83,243,31,5.51294,1.13833,6.6513,,6,49,5
luka doncic,Luka Doncic,LAL,F-G,80,230,27,5.92514,0.479559,6.4047,,4,120,6
lamelo ball,LaMelo Ball,CHA,G,79,180,24,5.94108,-0.802321,5.1388,,3,407,7
ty jerome,Ty Jerome,MEM,G-F,77,195,28,5.17281,-0.120556,5.0523,,8,224,8
karl-anthony towns,Karl-Anthony Towns,NYK,C-F,84,248,30,2.89438,1.7358,4.6302,,26,24,9
chet holmgren,Chet Holmgren,OKC,C-F,85,208,24,1.82207,2.75886,4.5809,,49,6,10
jimmy butler iii,Jimmy Butler III,GSW,F,78,230,36,3.22567,1.25028,4.4759,,20,44,11
stephen curry,Stephen Curry,GSW,G,74,185,38,5.27385,-0.837379,4.4365,,7,416,12
jayson tatum,Jayson Tatum,BOS,F-G,80,210,28,3.44398,0.920719,4.3647,,18,69,13
joel embiid,Joel Embiid,PHI,C-F,84,270,32,3.63782,0.665546,4.3034,,12,98,14
bam adebayo,Bam Adebayo,MIA,C-F,81,260,28,2.10509,1.79854,3.9036,,36,23,15
franz wagner,Franz Wagner,ORL,F,82,220,24,1.86658,1.87535,3.7419,,46,17,16
tyrese haliburton,Tyrese Haliburton,IND,G,77,185,26,3.57544,0.154636,3.7301,,16,167,17
jarrett allen,Jarrett Allen,CLE,C,81,243,28,2.41394,1.31305,3.727,,33,37,18
cade cunningham,Cade Cunningham,DET,G,78,220,24,2.72901,0.925685,3.6547,,28,68,19
donovan mitchell,Donovan Mitchell,CLE,G,74,215,29,3.60257,0.051386,3.654,,14,186,20
lauri markkanen,Lauri Markkanen,UTA,F-C,85,240,29,3.37351,0.278994,3.6525,,19,146,21
kyrie irving,Kyrie Irving,DAL,G,74,195,34,3.21818,0.316187,3.5344,,21,137,22
paul reed,Paul Reed,DET,F,81,210,26,1.56481,1.90975,3.4746,,60,15,23
dyson daniels,Dyson Daniels,ATL,G,79,199,23,0.866126,2.59637,3.4625,,100,7,24
ausar thompson,Ausar Thompson,DET,G-F,79,205,23,-0.498933,3.64469,3.1458,,220,2,25
isaiah hartenstein,Isaiah Hartenstein,OKC,C-F,84,250,28,1.10612,2.01278,3.1189,,79,13,26
scottie barnes,Scottie Barnes,TOR,F-G,80,237,24,1.2689,1.8371,3.106,,69,19,27
ajay mitchell,Ajay Mitchell,OKC,G,76,190,23,1.07143,2.02435,3.0958,,81,12,28
neemias queta,Neemias Queta,BOS,C,84,248,26,1.08145,1.95411,3.0356,,80,14,29
amen thompson,Amen Thompson,HOU,G-F,79,200,23,1.3871,1.60705,2.9942,,65,27,30
jalen williams,Jalen Williams,OKC,G-F,77,211,25,1.64367,1.25438,2.8981,,56,43,31
devin booker,Devin Booker,PHX,G,77,206,29,3.59515,-0.720368,2.8748,,15,385,32
jalen brunson,Jalen Brunson,NYK,G,74,190,29,4.14033,-1.26774,2.8726,,9,506,33
derrick white,Derrick White,BOS,G,76,190,31,0.779193,2.08508,2.8643,,102,10,34
kevin durant,Kevin Durant,HOU,F,83,240,37,2.91158,-0.141551,2.77,,25,228,35
rudy gobert,Rudy Gobert,MIN,C,85,258,33,-0.923205,3.57877,2.6556,,276,3,36
alex caruso,Alex Caruso,OKC,G,77,186,32,-0.784431,3.40463,2.6202,,258,4,37
donovan clingan,Donovan Clingan,POR,C,86,280,22,1.90995,0.705722,2.6157,,42,94,38
kon knueppel,Kon Knueppel,CHA,G-F,78,215,20,2.66014,-0.0532692,2.6069,,30,212,39
pascal siakam,Pascal Siakam,IND,F,80,245,32,1.88988,0.711115,2.601,,43,92,40
jamal murray,Jamal Murray,DEN,G,76,215,29,4.0445,-1.46082,2.5837,,10,542,41
brandon miller,Brandon Miller,CHA,F,79,200,23,2.0623,0.498778,2.5611,,37,116,42
payton pritchard,Payton Pritchard,BOS,G,73,195,28,3.06668,-0.514367,2.5523,,23,315,43
jrue holiday,Jrue Holiday,POR,G,76,220,36,0.991309,1.54127,2.5326,,88,28,44
og anunoby,OG Anunoby,NYK,F-G,79,240,28,1.45685,1.05138,2.5082,,64,58,45
darius garland,Darius Garland,LAC,G,73,192,26,3.2049,-0.709179,2.4957,,22,377,46
michael porter jr.,Michael Porter Jr.,BKN,F,82,218,27,3.62846,-1.15348,2.475,,13,483,47
austin reaves,Austin Reaves,LAL,G,77,197,28,2.45306,-0.113971,2.3391,,32,221,48
kristaps porzingis,Kristaps Porzingis,GSW,F-C,86,240,30,1.98066,0.308917,2.2896,,39,139,49
de'aaron fox,De'Aaron Fox,SAS,G,75,185,28,1.88016,0.355778,2.2359,,44,129,50
dylan harper,Dylan Harper,SAS,G,77,215,20,0.45462,1.72711,2.1817,,118,25,51
moses moody,Moses Moody,GSW,G,77,211,24,0.505578,1.63833,2.1439,,117,26,52
lebron james,LeBron James,LAL,F,81,250,41,1.58625,0.55749,2.1437,,58,110,53
stephon castle,Stephon Castle,SAS,G,78,215,21,0.984707,1.15291,2.1376,,91,47,54
damian lillard,Damian Lillard,POR,G,74,200,35,2.33153,-0.195927,2.1356,,34,241,55
grayson allen,Grayson Allen,PHX,G,75,198,30,2.67672,-0.578487,2.0982,,29,343,56
coby white,Coby White,CHA,G,76,210,26,2.93306,-0.83533,2.0977,,24,414,57
jalen duren,Jalen Duren,DET,C,82,250,22,1.93076,0.144286,2.075,,41,170,58
cason wallace,Cason Wallace,OKC,G,75,195,22,-0.936877,2.96288,2.026,,278,5,59
tyrese maxey,Tyrese Maxey,PHI,G,74,200,25,2.29795,-0.299492,1.9985,,35,262,60
norman powell,Norman Powell,MIA,G,76,215,33,1.70143,0.282341,1.9838,,54,145,61
ja morant,Ja Morant,MEM,G,74,174,26,1.93714,0.0153468,1.9525,,40,194,62
julian champagnie,Julian Champagnie,SAS,F,79,217,24,1.56203,0.34089,1.9029,,61,131,63
tobias harris,Tobias Harris,DET,F,80,226,33,1.15106,0.708826,1.8599,,75,93,64
mitchell robinson,Mitchell Robinson,NYK,C-F,84,240,28,0.285964,1.51253,1.7985,,133,30,65
deni avdija,Deni Avdija,POR,F,80,228,25,2.74789,-0.956829,1.7911,,27,442,66
desmond bane,Desmond Bane,ORL,G,78,215,27,1.84501,-0.0711595,1.7739,,47,216,67
fred vanvleet,Fred VanVleet,HOU,G,72,197,32,0.346384,1.39855,1.7449,,128,34,68
trae young,Trae Young,WAS,G,74,164,27,3.45097,-1.75462,1.6963,,17,574,69
marcus smart,Marcus Smart,LAL,G,75,220,32,-0.414889,2.09563,1.6807,,205,9,70
collin gillespie,Collin Gillespie,PHX,G,73,195,26,1.02856,0.631951,1.6605,,87,101,71
aaron gordon,Aaron Gordon,DEN,F,80,235,30,1.34558,0.269507,1.6151,,66,147,72
nickeil alexander-walker,Nickeil Alexander-Walker,ATL,G,77,205,27,1.2664,0.331495,1.5979,,70,133,73
anthony davis,Anthony Davis,WAS,F-C,82,253,33,0.659223,0.846829,1.5061,,107,79,74
donte divincenzo,Donte DiVincenzo,MIN,G,76,203,29,0.847694,0.622343,1.47,,101,102,75
zach edey,Zach Edey,MEM,C,87,305,24,0.349258,1.10342,1.4527,,127,53,76
paolo banchero,Paolo Banchero,ORL,F,82,250,23,0.94388,0.504687,1.4486,,95,114,77
anthony edwards,Anthony Edwards,MIN,G,76,225,24,2.02741,-0.582677,1.4447,,38,346,78
collin murray-boyles,Collin Murray-Boyles,TOR,F,79,245,21,-0.00103711,1.4412,1.4402,,160,33,79
moussa diabate,Moussa Diabate,CHA,F,82,210,24,0.414682,0.983268,1.3979,,123,64,80
jalen johnson,Jalen Johnson,ATL,F,80,219,24,0.969224,0.408313,1.3775,,93,125,81
