player_key,%FGA Self-Created,Self-Created eFG,Assisted eFG,Diff,act eFG%,eFG% l_diff,FG3% l_diff,u10 FG% l_diff,Drives Per Poss,Points Per Drive,Ast%,TO%,Potential Ast Per Poss,Secondary Ast,Adj Ast,Ast Pts,Steals,Blocks,Def Rim FG%,Def Rim FGA Per Poss,Time of Poss,Touches Per Poss,Seconds Per Touch,OReb,OReb Contested,OReb Uncontested,OReb Chances,OReb Chances Defered,DReb,Closest Defender Distance,eFG%,oreb_adv_per_g,steal_adv_per_g,fouldraw_adv_per_g,def_disrupt_per_g,secondchance_pts_per_g,RimPressureValue,AdvantageChainValue,LowestThreatSpacer,height_in,weight_lb,age,draft_pick,PIE,def_rating,off_rating,net_rating,usg_pct,ts_pct,pace,oreb_pct,dreb_pct,ast_pct,opp_pts_paint100,opp_pts_2ndchance100,opp_pts_fb100,def_ws100,espn_netpts_pg,espn_off_netpts_pg,espn_def_netpts_pg,espn_drive_pg,espn_cut_pg,espn_putback_pg,espn_rimdef_pg,espn_corner3_pg,rim_contest_det,three_contest_det,all_contest_det,contest_3pa,bbr_obpm,bbr_dbpm,bbr_bpm,bbr_vorp,bbr_dws,HustleImpactValue,Targetability,PlayTypeScoringYield,PlayTypeEntropy,DefenderSuppression,ElasticityIndex,epm_off_cur,epm_def_cur,epm_tot_cur,scoring_poe_total,scoring_poe_pg,ScoringLoadValue,def_psoe_total,def_psoe_pg,DefensivePlayTypeYield
a.j. lawson,0.2402,0.5233,0.5257,0.0024,0.5251,-0.0489,-0.0179,-0.0679,0.0766,0.527,0.0405,0.0541,0.0673,7.0,40.0,77.0,12.0,6.0,0.7778,0.0282,27.6,0.7878,2.1761,18.0,10.0,8.0,37.0,1.0,65.0,4-6 Feet - Open,1.1,,,,,,,,,78.0,179.0,24.0,Undrafted,0.082,111.1,109.7,-1.4,0.189,0.542,103.71,0.036,0.128,0.093,49.5,16.0,17.3,0.159,-1.03,-0.494,-0.536,-0.141,0.021,0.052,-0.121,0.047,,,,,,,,,,,,,,,,-1.52933,-0.580311,-2.1096,-1.8410897404038185,-0.0708111438616853,,8.933823717207696,0.40608289623671345,
aaron gordon,0.3964,0.5051,0.6733,0.1682,0.6066,0.0363,0.0631,-0.0156,0.0475,0.7214,0.0571,0.0571,0.0978,10.0,192.0,413.0,23.0,13.0,0.6821,0.0515,109.2,0.71,3.1334,80.0,59.0,21.0,138.0,3.0,167.0,4-6 Feet - Open,0.875,0.509,0.235,1.81,2.246,1.652,65.4,47.1,16.9,80.0,235.0,29.0,4,0.104,113.0,122.5,9.5,0.186,0.65,101.64,0.06,0.109,0.143,50.9,13.4,15.4,0.133,1.157,1.649,-0.492,0.109,0.072,0.186,-0.174,0.441,1.7999999999999972,-0.2000000000000028,0.3000000000000042,6644.0,2.7,-1.5,1.2,1.2,0.7,35.7,51.2,82.2,95.9,55.4,88.1,1.34558,0.269507,1.6151,69.50887644232927,1.3629191459280248,69.7,10.028426510490927,0.20056853020981855,55.4
aaron holiday,0.4291,0.5275,0.5966,0.0691,0.5669,0.044,0.0298,0.0828,0.1012,0.4161,0.1056,0.087,0.0993,10.0,97.0,211.0,19.0,11.0,0.6515,0.041,76.6,0.7605,3.7983,13.0,6.0,7.0,33.0,2.0,61.0,,,0.072,0.118,0.611,0.959,0.391,27.7,48.1,34.1,72.0,185.0,28.0,23,0.082,103.6,110.3,6.7,0.162,0.594,103.09,0.015,0.073,0.142,47.1,13.9,13.2,0.27,-0.116,0.027,-0.143,0.123,0.008,-0.023,-0.082,0.235,-1.899999999999992,0.0,-1.0,3488.0,-0.4,0.1,-0.2,0.3,0.8,,,58.5,13.5,,,-1.3589,0.099262,-1.2596,22.473698591338728,0.3624790095377214,55.3,4.937610089746249,0.09495404018742787,52.4
aaron nesmith,0.3815,0.525,0.6762,0.1512,0.6185,0.05,0.0585,0.0116,0.0749,0.7321,0.0655,0.0417,0.0419,15.0,71.0,126.0,33.0,17.0,0.5667,0.0531,44.6,0.7413,1.6101,37.0,16.0,21.0,78.0,3.0,139.0,6+ Feet - Wide Open,1.0714,0.193,0.038,0.215,0.461,0.634,53.1,32.5,7.1,78.0,215.0,25.0,14,0.087,111.5,120.1,8.5,0.171,0.653,101.64,0.034,0.118,0.063,49.8,14.5,12.2,0.154,0.638,0.825,-0.187,0.071,0.079,0.096,-0.101,0.645,-2.799999999999997,1.2999999999999972,0.7000000000000028,4251.0,0.0,-0.5,-0.5,0.4,1.0,35.6,26.8,88.7,39.2,,76.9,0.285426,-0.193875,0.0916,78.18273095214487,1.7373940211587748,75.1,29.421601911807826,0.6686727707229051,68.6
aaron wiggins,0.4313,0.5016,0.6317,0.1301,0.5756,0.0148,0.0073,0.0288,0.1062,0.6263,0.1026,0.0526,0.0662,29.0,171.0,346.0,59.0,18.0,0.6806,0.0537,113.9,0.692,2.7601,80.0,43.0,37.0,181.0,4.0,211.0,6+ Feet - Wide Open,1.0714,,,,,,54.2,43.6,19.6,77.0,190.0,26.0,55,0.105,106.6,120.7,14.2,0.2,0.596,101.91,0.046,0.113,0.102,44.1,16.3,11.0,0.221,0.595,0.626,-0.031,0.011,0.166,0.198,-0.183,0.048,-2.5,0.0,-1.6999999999999955,4359.0,1.3,-0.2,1.1,1.4,2.7,38.3,44.6,69.5,65.2,,,-1.55607,-0.0355992,-1.5917,34.26407819762197,0.4508431341792364,56.6,28.727354575960625,0.37799150757842925,60.4
adam flagler,0.3125,0.3833,0.3106,-0.0727,0.3333,-0.2155,-0.1785,-0.2325,0.0604,0.6,0.2,0.04,0.07,2.0,15.0,35.0,8.0,3.0,0.8,0.0245,14.6,0.7609,2.781,7.0,2.0,5.0,11.0,0.0,20.0,6+ Feet - Wide Open,0.25,,,,,,,,,75.0,180.0,25.0,Undrafted,0.025,96.7,99.1,2.3,0.207,0.335,100.16,0.029,0.086,0.094,39.8,13.7,10.7,0.357,-0.845,-0.905,0.06,-0.065,0.014,-0.028,-0.058,-0.185,-4.199999999999996,-7.0,-7.0,189.0,,,,,,,,,,,,,,,,,,,,
adama sanogo,0.1429,0.0,0.6667,0.6667,0.5714,-0.1454,,-0.1454,0.0,0.0,0.0,0.0,0.0217,0.0,1.0,2.0,0.0,0.0,0.4286,0.1628,0.5,0.4565,1.4286,5.0,1.0,4.0,8.0,0.0,1.0,,,,,,,,,,,81.0,245.0,23.0,Undrafted,0.078,122.2,104.2,-18.1,0.145,0.571,103.82,0.217,0.053,0.067,33.3,14.6,14.6,0.007,,,,,,,,,-1.0999999999999943,5.600000000000001,-0.5999999999999943,68.0,,,,,,,,,,,,,,,,,,,,
adem bona,0.2448,0.6596,0.7172,0.0576,0.7031,0.0744,-0.3595,0.0798,0.0217,0.825,0.05,0.05,0.0282,1.0,28.0,66.0,26.0,69.0,0.5694,0.1184,29.9,0.5716,1.7021,92.0,75.0,18.0,242.0,8.0,153.0,2-4 Feet - Tight,1.0,,,,,,65.7,18.8,96.6,82.0,235.0,22.0,41,0.093,114.0,107.4,-6.6,0.135,0.714,100.51,0.097,0.164,0.043,48.2,16.2,15.9,0.121,-0.031,0.009,-0.039,0.107,0.032,0.298,-0.383,-0.013,-0.5999999999999943,2.299999999999997,-0.3999999999999986,708.0,-2.9,0.2,-2.7,-0.2,0.9,60.4,,,,,,-2.00343,-0.249127,-2.2526,28.61451277110613,0.4933536684673471,57.2,-3.8820285676065573,-0.09242925160967994,47.1
aj green,0.1853,0.5064,0.6414,0.135,0.6164,0.0926,0.0787,-0.2195,0.0146,0.2449,0.102,0.0408,0.0618,14.0,125.0,287.0,34.0,7.0,0.7422,0.0382,62.9,0.6256,1.7937,18.0,2.0,16.0,50.0,2.0,154.0,4-6 Feet - Open,0.0,,,,,,11.6,34.6,49.5,76.0,190.0,25.0,Undrafted,0.058,107.6,114.0,6.4,0.123,0.621,100.84,0.011,0.087,0.086,45.3,12.3,13.9,0.209,-0.334,-0.153,-0.182,-0.011,0.001,-0.015,-0.144,0.736,0.5,-0.8999999999999986,-1.7999999999999972,2015.0,,,,,,34.1,48.5,81.7,21.3,,,0.559824,-1.19106,-0.6312,67.10091971376241,0.919190681010444,63.3,-7.3166378830616985,-0.10161997059807915,46.8
aj johnson,0.5634,0.4,0.4946,0.0946,0.4413,-0.1201,-0.1018,-0.0856,0.1112,0.5274,0.0753,0.0479,0.1158,6.0,87.0,196.0,12.0,3.0,0.7442,0.0654,79.9,0.8896,4.1045,8.0,6.0,2.0,30.0,1.0,51.0,6+ Feet - Wide Open,0.0,,,,,,46.2,53.4,78.3,77.0,160.0,20.0,23,0.053,115.6,104.1,-11.5,0.173,0.48,100.83,0.011,0.073,0.178,51.4,17.7,18.0,0.097,-2.686,-1.818,-0.868,-0.145,0.002,-0.122,-0.16,0.074,2.700000000000003,-0.7000000000000028,-0.8999999999999986,536.0,,,,,,,,,,,,-3.18901,-1.15759,-4.3466,-8.694841770456371,-0.3952200804752896,,,,
