name_slug,name,season_year,fga,total_zone_fga,u10_fga,o10_fg2a,fg3a,p_exp_efgpct,act_efgpct,efg_above_position,efg_above_league,u10_fgpct_p_diff,o10_fg2pct_p_diff,fg3pct_p_diff,ptv_raw
aaron-brooks,Aaron Brooks,2014,543,543,198,100,245,0.5175,0.5175,0.0,0.0046,0.0,0.0,0.0,0.0
aaron-gray,Aaron Gray,2014,49,49,37,11,1,0.5102,0.5102,0.0,-0.071,0.0,0.0,0.0,0.0
adonis-thomas,Adonis Thomas,2014,13,13,2,6,5,0.5,0.5,0.0,-0.005,0.0,0.0,0.0,0.0
aj-price,AJ Price,2014,46,46,5,19,22,0.4783,0.4783,0.0,0.0002,0.0,0.0,0.0,0.0
al-farouq-aminu,Al-Farouq Aminu,2014,445,445,272,126,47,0.5404,0.5404,0.0,-0.0245,0.0,0.0,0.0,0.0
al-harrington,Al Harrington,2014,190,190,73,22,95,0.5,0.5,0.0,-0.05,0.0,0.0,0.0,0.0
al-horford,Al Horford,2014,406,406,202,193,11,0.5911,0.5911,0.0,0.054,0.0,0.0,0.0,0.0
al-jefferson,Al Jefferson,2014,1282,1282,710,557,15,0.5371,0.5371,0.0,0.0352,0.0,0.0,0.0,0.0
alan-anderson,Alan Anderson,2014,451,451,121,94,236,0.5078,0.5078,0.0,0.0084,0.0,0.0,0.0,0.0
alec-burks,Alec Burks,2014,762,762,372,249,141,0.5315,0.5315,0.0,0.0256,0.0,0.0,0.0,0.0
alex-len,Alex Len,2014,71,71,48,23,0,0.4648,0.4648,0.0,-0.1036,0.0,0.0,,0.0
alexey-shved,Alexey Shved,2014,222,222,80,40,102,0.4099,0.4099,0.0,-0.1243,0.0,0.0,0.0,0.0
alexis-ajinca,Alexis Ajinca,2014,234,234,155,78,1,0.5812,0.5812,0.0,0.0227,0.0,0.0,0.0,0.0
allen-crabbe,Allen Crabbe,2014,31,31,9,8,14,0.4839,0.4839,0.0,-0.0712,0.0,0.0,0.0,0.0
alonzo-gee,Alonzo Gee,2014,221,221,105,58,58,0.4864,0.4864,0.0,-0.0543,0.0,0.0,0.0,0.0
