entity_id,season_year,open_cs_fg3a,open_cs_fg3m,open_cs_3_rate,open_cs_fg3_pct,off_drbl_fg3a,off_drbl_fg3m,off_drbl_fg2a,off_drbl_fg2m,off_drbl_rate,off_drbl_fg3_pct,contested_fg3a,contested_fg2a,contested_shot_rate,wide_open_fg3a,wide_open_fg3m,three_rate_sz,total_fga_sz,data_source,confidence
1713,2018,122.0,46.0,0.4404,0.377,2.0,0.0,22.0,11.0,0.0866,0.0,25.0,52.0,0.278,62.0,18.0,0.5848,277,nba_shotzone_only,low
1717,2018,262.0,107.0,0.3479,0.4084,0.0,0.0,1.0,1.0,0.0013,,62.0,39.0,0.1341,135.0,59.0,0.4462,753,nba_shotzone_only,low
1891,2018,88.0,31.0,0.5946,0.3523,2.0,1.0,6.0,4.0,0.0541,0.5,18.0,7.0,0.1689,51.0,21.0,0.7635,148,nba_shotzone_only,low
1938,2018,118.0,45.0,0.2694,0.3814,33.0,10.0,78.0,47.0,0.2534,0.303,14.0,149.0,0.3721,120.0,44.0,0.4338,438,nba_shotzone_only,low
2037,2018,132.0,51.0,0.1821,0.3864,95.0,23.0,71.0,35.0,0.229,0.2421,122.0,82.0,0.2814,61.0,22.0,0.4317,725,nba_shotzone_only,low
2199,2018,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,137.0,0.7569,0.0,0.0,0.0,181,nba_shotzone_only,low
2200,2018,119.0,43.0,0.2017,0.3613,0.0,0.0,31.0,12.0,0.0525,,1.0,251.0,0.4271,96.0,38.0,0.2034,590,nba_shotzone_only,low
2207,2018,132.0,37.0,0.3697,0.2803,3.0,0.0,68.0,38.0,0.1989,0.0,5.0,88.0,0.2605,102.0,31.0,0.4034,357,nba_shotzone_only,low
2210,2018,6.0,1.0,0.2308,0.1667,1.0,1.0,3.0,3.0,0.1538,1.0,0.0,12.0,0.4615,1.0,1.0,0.2692,26,nba_shotzone_only,low
2216,2018,140.0,49.0,0.1939,0.35,3.0,1.0,115.0,63.0,0.1634,0.3333,6.0,341.0,0.4806,105.0,40.0,0.2036,722,nba_shotzone_only,low
2225,2018,33.0,9.0,0.0902,0.2727,2.0,1.0,129.0,77.0,0.3579,0.5,1.0,136.0,0.3743,23.0,5.0,0.0984,366,nba_shotzone_only,low
2403,2018,1.0,0.0,0.0046,0.0,0.0,0.0,8.0,7.0,0.037,,1.0,154.0,0.7176,1.0,0.0,0.0093,216,nba_shotzone_only,low
2544,2018,121.0,44.0,0.0806,0.3636,215.0,75.0,461.0,321.0,0.4504,0.3488,55.0,617.0,0.4477,142.0,60.0,0.2698,1501,nba_shotzone_only,low
2546,2018,330.0,122.0,0.3061,0.3697,50.0,14.0,47.0,27.0,0.09,0.28,81.0,135.0,0.2004,191.0,80.0,0.4286,1078,nba_shotzone_only,low
2548,2018,38.0,9.0,0.0588,0.2368,36.0,11.0,129.0,69.0,0.2554,0.3056,24.0,215.0,0.37,34.0,12.0,0.1718,646,nba_shotzone_only,low
