entity_id,season_year,u10_fg2m,u10_fg2a,o10_fg2m,o10_fg2a,fg3m,fg3a,open_cs_fg3m,open_cs_fg3a,off_drbl_fg3m,off_drbl_fg3a,off_drbl_fg2m,off_drbl_fg2a,contested_fg3a,contested_fg3m,contested_fg2a,contested_fg2m,wide_open_fg3a,wide_open_fg3m,total_fga_sz,three_rate_sz,open_cs_3_rate,off_drbl_rate,contested_shot_rate,open_cs_fg3_pct,off_drbl_fg3_pct
1713,2018,35,67,22,48,56,162,46.0,122.0,0.0,2.0,11.0,22.0,25.0,8.0,52.0,26.0,62.0,18.0,277,0.5848,0.4404,0.0866,0.278,0.377,0.0
1717,2018,32,43,176,374,138,336,107.0,262.0,0.0,0.0,1.0,1.0,62.0,29.0,39.0,28.0,135.0,59.0,753,0.4462,0.3479,0.0013,0.1341,0.4084,
1891,2018,9,13,10,22,40,113,31.0,88.0,1.0,2.0,4.0,6.0,18.0,6.0,7.0,3.0,51.0,21.0,148,0.7635,0.5946,0.0541,0.1689,0.3523,0.5
1938,2018,113,180,24,68,64,190,45.0,118.0,10.0,33.0,47.0,78.0,14.0,3.0,149.0,91.0,120.0,44.0,438,0.4338,0.2694,0.2534,0.3721,0.3814,0.303
2037,2018,47,92,157,320,104,313,51.0,132.0,23.0,95.0,35.0,71.0,122.0,32.0,82.0,38.0,61.0,22.0,725,0.4317,0.1821,0.229,0.2814,0.3864,0.2421
2199,2018,119,178,2,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,87.0,0.0,0.0,181,0.0,0.0,0.0,0.7569,,
2200,2018,176,288,68,182,43,120,43.0,119.0,0.0,0.0,12.0,31.0,1.0,0.0,251.0,147.0,96.0,38.0,590,0.2034,0.2017,0.0525,0.4271,0.3613,
2207,2018,58,102,48,111,40,144,37.0,132.0,0.0,3.0,38.0,68.0,5.0,2.0,88.0,48.0,102.0,31.0,357,0.4034,0.3697,0.1989,0.2605,0.2803,0.0
2207,2022,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,,
2210,2018,8,15,2,4,2,7,1.0,6.0,1.0,1.0,3.0,3.0,0.0,0.0,12.0,7.0,1.0,1.0,26,0.2692,0.2308,0.1538,0.4615,0.1667,1.0
2216,2018,226,370,83,205,51,147,49.0,140.0,1.0,3.0,63.0,115.0,6.0,2.0,341.0,209.0,105.0,40.0,722,0.2036,0.1939,0.1634,0.4806,0.35,0.3333
