player_key,player_name,epm_tot_cur_z,epm_tot_cur_mod,epm_off_cur_z,epm_off_cur_mod,epm_def_cur_z,epm_def_cur_mod,ScoringLoadValue_z,ScoringLoadValue_mod,RimPressureValue_z,RimPressureValue_mod,AdvantageChainValue_z,AdvantageChainValue_mod,PlayTypeEntropy_z,PlayTypeEntropy_mod,ElasticityIndex_z,ElasticityIndex_mod,LowestThreatSpacer_z,LowestThreatSpacer_mod,DefenderSuppression_z,DefenderSuppression_mod,DefensivePlayTypeYield_z,DefensivePlayTypeYield_mod,HustleImpactValue_z,HustleImpactValue_mod,n_metrics_real
a.j. lawson,A.J. Lawson,-0.566,0.9717,-0.513,0.9744,-0.343,0.9828,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3
aaron gordon,Aaron Gordon,1.037,1.0519,1.033,1.0517,0.464,1.0232,1.346,1.0673,0.769,1.0385,-0.093,0.9954,1.582,1.0791,-1.305,0.9348,1.15,1.0575,0.27,1.0135,0.356,1.0178,-0.648,0.9676,12
aaron holiday,Aaron Holiday,-0.2,0.99,-0.421,0.9789,0.302,1.0151,0.366,1.0183,-1.06,0.947,-0.045,0.9978,-1.268,0.9366,0.0,1.0,0.555,1.0277,0.0,1.0,0.156,1.0078,0.0,1.0,9
aaron nesmith,Aaron Nesmith,0.381,1.0191,0.463,1.0232,0.024,1.0012,1.714,1.0857,0.172,1.0086,-0.795,0.9602,-0.379,0.981,-0.918,0.9541,1.489,1.0744,0.0,1.0,1.237,1.0619,-0.653,0.9673,11
aaron wiggins,Aaron Wiggins,-0.343,0.9828,-0.527,0.9736,0.174,1.0087,0.455,1.0227,0.226,1.0113,-0.261,0.9869,0.52,1.026,0.0,1.0,1.056,1.0528,0.0,1.0,0.69,1.0345,-0.514,0.9743,10
adam flagler,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0
adama sanogo,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0
adem bona,Adem Bona,-0.628,0.9686,-0.768,0.9616,-0.029,0.9986,0.496,1.0248,0.784,1.0392,-1.454,0.9273,0.0,1.0,0.0,1.0,-1.608,0.9196,0.0,1.0,-0.198,0.9901,0.625,1.0313,9
aj green,AJ Green,0.07,1.0035,0.611,1.0305,-0.923,0.9538,0.911,1.0455,-1.841,0.9079,-0.694,0.9653,-0.998,0.9501,0.0,1.0,0.022,1.0011,0.0,1.0,-0.218,0.9891,-0.731,0.9635,10
aj johnson,AJ Johnson,-1.529,0.9236,-1.405,0.9297,-0.891,0.9554,0.0,1.0,-0.162,0.9919,0.21,1.0105,0.0,1.0,0.0,1.0,-0.974,0.9513,0.0,1.0,0.0,1.0,0.0,1.0,6
ajay mitchell,Ajay Mitchell,1.675,1.0837,0.886,1.0443,2.13,1.1065,-0.028,0.9986,0.158,1.0079,0.331,1.0165,0.0,1.0,0.0,1.0,-0.473,0.9764,0.0,1.0,0.0,1.0,0.0,1.0,7
al horford,Al Horford,0.467,1.0234,0.438,1.0219,0.257,1.0128,-0.192,0.9904,-1.448,0.9276,-0.338,0.9831,-0.87,0.9565,0.0,1.0,-0.379,0.981,1.212,1.0606,0.002,1.0001,0.837,1.0418,11
alec burks,,0.0,1.0,0.0,1.0,0.0,1.0,0.713,1.0357,-0.895,0.9552,-0.8,0.96,-1.489,0.9255,0.0,1.0,1.395,1.0698,0.0,1.0,0.356,1.0178,-1.39,0.9305,7
alex caruso,Alex Caruso,1.47,1.0735,-0.112,0.9944,2.5,1.125,-0.273,0.9863,-0.851,0.9574,0.701,1.0351,-1.5,0.925,0.0,1.0,-0.452,0.9774,0.0,1.0,2.305,1.1153,0.048,1.0024,10
alex ducas,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0
alex len,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0
alex reese,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0
alex sarr,Alex Sarr,0.033,1.0016,0.258,1.0129,-0.384,0.9808,-2.5,0.875,0.235,1.0118,-0.377,0.9812,0.624,1.0312,1.261,1.063,0.233,1.0116,-0.075,0.9963,-0.665,0.9667,2.094,1.1047,12
alondes williams,Alondes Williams,-1.218,0.9391,-0.996,0.9502,-0.93,0.9535,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3
alperen sengun,Alperen Sengun,0.656,1.0328,0.834,1.0417,-0.025,0.9987,-1.655,0.9173,1.633,1.0816,0.682,1.0341,1.409,1.0704,1.651,1.0825,-1.241,0.938,0.332,1.0166,0.416,1.0208,2.476,1.1238,12
amen thompson,Amen Thompson,1.631,1.0815,1.056,1.0528,1.734,1.0867,-0.436,0.9782,0.42,1.021,0.162,1.0081,1.115,1.0557,-1.371,0.9315,-1.459,0.9271,1.87,1.0935,1.698,1.0849,0.187,1.0093,12
