bbref_id,stint_name,note
armeltr01,A. TraorÃ©,low_minute_or_not_in_gingeball_roster
brockiz01,I. Brockington,low_minute_or_not_in_gingeball_roster
caverah01,A. Caver,low_minute_or_not_in_gingeball_roster
cazalma01,M. Cazalon,low_minute_or_not_in_gingeball_roster
cheatzy01,Z. Cheatham,low_minute_or_not_in_gingeball_roster
cuiyo01,Y. Cui,low_minute_or_not_in_gingeball_roster
echenja01,J. Echenique,low_minute_or_not_in_gingeball_roster
fostemi02,M. Foster,low_minute_or_not_in_gingeball_roster
gateska01,K. Gates,low_minute_or_not_in_gingeball_roster
hallty01,T. Hall,low_minute_or_not_in_gingeball_roster
lewissc01,S. Lewis,low_minute_or_not_in_gingeball_roster
louzama01,M. Louzada Silva,low_minute_or_not_in_gingeball_roster
magnawi01,W. Magnay,low_minute_or_not_in_gingeball_roster
matkoka01,K. MatkoviÄ,low_minute_or_not_in_gingeball_roster
murkead01,A. Murkey,low_minute_or_not_in_gingeball_roster
nembhrj01,R. Nembhard,multi
newmama01,M. Newman,low_minute_or_not_in_gingeball_roster
paigeja01,J. Paige,low_minute_or_not_in_gingeball_roster
salauti01,T. SalaÃ¼n,low_minute_or_not_in_gingeball_roster
vezenal01,A. Vezenkov,low_minute_or_not_in_gingeball_roster
vildolu01,L. Vildoza,low_minute_or_not_in_gingeball_roster
willido02,D. Williams,low_minute_or_not_in_gingeball_roster
