bbref_id,nba_id,player_name,source,confidence
achiupr01,1630173,Precious Achiuwa,stub_reconstruction,high
adamsja01,1629121,Jaylen Adams,authoritative,high
adamsst01,203500,Steven Adams,authoritative,high
adebaba01,1628389,Bam Adebayo,authoritative,high
agbajoc01,1630534,Ochai Agbaji,stub_reconstruction,high
aldamsa01,1630583,Santi Aldama,stub_reconstruction,high
aldrila01,200746,LaMarcus Aldridge,authoritative,high
alexani01,1629638,Nickeil Alexander-Walker,stub_reconstruction,high
alexatr01,1641725,Trey Alexander,stub_reconstruction,high
alexaty01,1630234,Ty-Shon Alexander,stub_reconstruction,high
allengr01,1628960,Grayson Allen,authoritative,high
allenja01,1628386,Jarrett Allen,authoritative,high
allenti01,1641851,Timmy Allen,stub_reconstruction,high
alvarjo01,1630631,Jose Alvarado,stub_reconstruction,high
aminual01,202329,Al-Farouq Aminu,authoritative,high
anderju01,1626147,Justin Anderson,authoritative,high
anderky01,203937,Kyle Anderson,authoritative,high
antetgi01,203507,Giannis Antetokounmpo,authoritative,high
antetko01,1628961,Kostas Antetokounmpo,authoritative,high
antetth01,203648,Thanasis Antetokounmpo,authoritative,high
anthoca01,2546,Carmelo Anthony,authoritative,high
anthoco01,1630175,Cole Anthony,stub_reconstruction,high
anunoog01,1628384,OG Anunoby,authoritative,high
arcidry01,1627853,Nigel Hayes,authoritative,high
arizatr01,2772,Trevor Ariza,authoritative,high
augusdj01,201571,D.J. Augustin,authoritative,high
avdijde01,1630166,Deni Avdija,stub_reconstruction,high
ayayijo01,1630555,Joel Ayayi,stub_reconstruction,high
aytonde01,1629028,Deandre Ayton,authoritative,high
azubuud01,1628962,Udoka Azubuike,stub_reconstruction,high
bacondw01,1628407,Dwayne Bacon,authoritative,high
badjiib01,1630641,Ibou Badji,stub_reconstruction,high
baglema01,1628963,Marvin Bagley III,authoritative,high
baglema02,1628963,Marvin Bagley III,stub_reconstruction,high
baileam01,1641735,Amari Bailey,stub_reconstruction,high
baldwpa01,1631116,Patrick Baldwin Jr.,stub_reconstruction,high
ballla01,1630163,LaMelo Ball,stub_reconstruction,high
balllo01,1628366,Lonzo Ball,authoritative,high
bambamo01,1628964,Mo Bamba,authoritative,high
banchpa01,1631094,Paolo Banchero,stub_reconstruction,high
banede01,1630217,Desmond Bane,stub_reconstruction,high
bantoda01,1630625,Dalano Banton,stub_reconstruction,high
barbeca01,1627760,Cat Barber,stub_reconstruction,high
barlodo01,1631230,Dominick Barlow,stub_reconstruction,high
barneha02,203084,Harrison Barnes,authoritative,high
barnesc01,1630567,Scottie Barnes,stub_reconstruction,high
barrerj01,1629628,RJ Barrett,stub_reconstruction,high
bartowi01,203115,Will Barton,authoritative,high
bassech01,1629646,Charles Bassey,stub_reconstruction,high
basspa01,1628238,Paris Bass,stub_reconstruction,high
batesem01,1641734,Emoni Bates,stub_reconstruction,high
bateske01,1628966,Keita Bates-Diop,authoritative,high
battlja01,1642419,Jamison Battle,stub_reconstruction,high
batumni01,201587,Nicolas Batum,authoritative,high
baughda01,1641878,Damion Baugh,stub_reconstruction,high
baynear01,203382,Aron Baynes,authoritative,high
bazemke01,203145,Kent Bazemore,authoritative,high
bazleda01,1629647,Darius Bazley,stub_reconstruction,high
bealbr01,203078,Bradley Beal,authoritative,high
beaslma01,1627736,Malik Beasley,authoritative,high
beaucma01,1630699,MarJon Beauchamp,stub_reconstruction,high
beekmre01,1641736,Reece Beekman,stub_reconstruction,high
belljo01,1628395,Jordan Bell,authoritative,high
bembrde01,1627761,DeAndre' Bembry,authoritative,high
bernaju01,1631262,Jules Bernard,stub_reconstruction,high
bertada01,202722,Davis Bertans,authoritative,high
beverpa01,201976,Patrick Beverley,authoritative,high
