entity_id,entity_type,season,season_type,minutes,off_poss,def_poss,drives,drive_fgm,drive_fga,drive_ftm,drive_fta,drive_points,drive_passes,drive_assists,drive_turnovers,drive_fouls,passes_made,passes_received,assists,ft_assists,secondary_assists,potential_assists,adj_assists,assist_pts,steals,blocks,def_rim_fgm,def_rim_fga,touches,front_court_touches,time_of_poss,elbow_touches,elbow_touch_fgm,elbow_touch_fga,elbow_touch_ftm,elbow_touch_fta,elbow_touch_points,elbow_touch_passes,elbow_touch_assists,elbow_touch_turnovers,elbow_touch_fouls,paint_touches,paint_touch_fgm,paint_touch_fga,paint_touch_ftm,paint_touch_fta,paint_touch_points,paint_touch_passes,paint_touch_assists,paint_touch_turnovers,paint_touch_fouls,post_touches,post_touch_fgm,post_touch_fga,post_touch_ftm,post_touch_fta,post_touch_points,post_touch_passes,post_touch_assists,post_touch_turnovers,post_touch_fouls,oreb,oreb_contest,oreb_uncontest,oreb_chances,oreb_chance_defer,dreb,dreb_contest,dreb_uncontest,dreb_chances,dreb_chance_defer,feet,miles,miles_off,miles_def
1610612761,opponent,2025-26,RegularSeason,19787.1,8115,8082,4060,897,1798,537,690,2409,1544,397,253,348,23329,23121,2006,194,244,3618,2442,5281,641,411,1499,2236,33464,17148,1786.9,634,161,260,71,89,401,281,61,25,41,1635,631,944,183,240,1473,435,101,74,113,222,42,91,36,44,123,84,26,13,22,892,481,411,2205,81,2584,705,1878,4343,417,7796142,1474.9,806.2,669.600000000001
1610612762,opponent,2025-26,RegularSeason,19598.8,8394,8371,3576,782,1505,540,669,2178,1403,376,238,337,24694,24515,2489,238,359,4378,3084,6535,757,475,1530,2318,34958,18368,1669.6,835,205,315,100,127,529,383,96,51,60,2056,831,1179,197,287,1896,541,96,102,136,409,90,174,43,58,228,153,44,24,29,962,508,451,2118,71,2740,717,2013,4523,392,7676414,1454.2,774.600000000001,677.800000000001
1610612758,opponent,2025-26,RegularSeason,19760.9,8200,8152,3734,920,1770,426,523,2341,1382,357,234,266,23452,23452,2297,241,318,3886,2855,6023,717,386,1377,2123,33535,17275,1696.3,881,228,346,97,136,568,395,100,33,64,1974,723,1086,258,341,1748,534,118,94,167,408,112,198,52,70,282,128,31,28,35,911,496,412,2146,67,2692,705,1984,4567,472,7707515,1459.8,782.0,679.600000000001
1610612742,opponent,2025-26,RegularSeason,19621.2,8099,8055,4111,981,1948,481,592,2519,1524,367,271,300,23405,23693,2292,193,329,3927,2783,5787,710,429,1400,2199,33878,17647,1692.1,864,269,418,75,95,636,344,68,32,46,1959,766,1133,205,296,1765,492,99,116,141,315,70,128,28,36,174,131,28,19,18,970,545,415,2285,69,2817,682,2130,4584,490,7739906,1465.8,778.2,688.200000000001
1610612766,opponent,2025-26,RegularSeason,19763.0,7980,7959,3806,886,1835,419,522,2239,1378,378,246,267,23206,23206,2126,167,255,3739,2548,5470,672,364,1208,1837,32952,17076,1633.0,702,189,321,56,74,443,300,63,26,34,1658,625,953,173,224,1438,432,77,92,105,404,98,197,27,32,228,157,40,20,16,835,478,356,1905,59,2386,807,1579,4411,423,7707911,1459.0,750.400000000001,709.700000000001
1610612750,opponent,2025-26,RegularSeason,19548.0,8203,8183,4211,963,2017,463,585,2455,1519,345,246,298,22791,22533,2105,184,250,3586,2536,5403,674,336,1414,2079,32978,16830,1704.7,792,199,331,82,108,498,340,59,37,52,1803,621,980,189,258,1473,530,91,86,127,204,64,109,26,32,158,60,15,10,16,948,510,435,2186,90,2571,566,1993,4319,452,7658394,1451.9,777.100000000001,672.400000000001
1610612743,opponent,2025-26,RegularSeason,19938.6,8200,8170,3870,863,1683,489,622,2286,1551,385,228,317,24082,24082,2254,197,323,4098,2771,5847,642,380,1334,2045,34105,17948,1680.8,837,189,347,63,94,452,396,81,25,44,1878,704,1091,181,256,1631,522,99,87,122,315,61,118,20,30,144,138,39,18,15,922,508,412,2125,61,2589,599,1983,4267,395,7690616,1456.0,775.400000000001,680.4
1610612763,opponent,2025-26,RegularSeason,19736.7,8308,8278,3928,867,1763,488,634,2290,1470,361,266,319,23729,23729,2314,177,299,4051,2786,5974,724,434,1284,1980,34049,17674,1737.5,749,176,286,63,78,433,349,82,47,39,1937,768,1112,177,240,1745,518,102,104,113,366,85,160,39,50,217,139,31,25,26,1044,601,441,2241,68,2792,901,1887,4741,461,7783399,1473.6,790.100000000001,684.800000000001
1610612745,opponent,2025-26,RegularSeason,19912.7,7965,7928,3828,920,1851,410,536,2302,1371,326,245,274,22131,22131,2011,185,271,3638,2462,5204,738,384,1457,2259,31980,16164,1617.8,784,180,334,86,116,464,335,64,28,56,1742,603,938,149,226,1388,521,103,96,107,270,65,135,29,42,164,86,14,16,21,918,458,452,2177,71,2295,601,1677,4246,411,7555441,1430.6,751.100000000002,679.800000000001
1610612740,opponent,2025-26,RegularSeason,19812.5,8297,8263,3432,811,1578,408,529,2105,1242,317,245,273,24067,24066,2307,198,337,4147,2839,5983,656,476,1799,2813,34488,17967,1726.6,912,253,388,81,113,603,391,88,40,54,2026,810,1179,226,282,1877,548,124,95,138,370,97,174,47,58,248,124,24,26,30,1040,572,469,2397,87,2715,679,2035,4541,425,7740505,1464.5,787.6,678.5
