entity_id,entity_type,season,season_type,minutes,off_poss,def_poss,drives,drive_fgm,drive_fga,drive_ftm,drive_fta,drive_points,drive_passes,drive_assists,drive_turnovers,drive_fouls,passes_made,passes_received,assists,ft_assists,secondary_assists,potential_assists,adj_assists,assist_pts,steals,blocks,def_rim_fgm,def_rim_fga,touches,front_court_touches,time_of_poss,elbow_touches,elbow_touch_fgm,elbow_touch_fga,elbow_touch_ftm,elbow_touch_fta,elbow_touch_points,elbow_touch_passes,elbow_touch_assists,elbow_touch_turnovers,elbow_touch_fouls,paint_touches,paint_touch_fgm,paint_touch_fga,paint_touch_ftm,paint_touch_fta,paint_touch_points,paint_touch_passes,paint_touch_assists,paint_touch_turnovers,paint_touch_fouls,post_touches,post_touch_fgm,post_touch_fga,post_touch_ftm,post_touch_fta,post_touch_points,post_touch_passes,post_touch_assists,post_touch_turnovers,post_touch_fouls,oreb,oreb_contest,oreb_uncontest,oreb_chances,oreb_chance_defer,dreb,dreb_contest,dreb_uncontest,dreb_chances,dreb_chance_defer,feet,miles,miles_off,miles_def
1630249,player,2023-24,RegularSeason,541.3,1079,1074,75,13,19,0,0,26,43,16,10,0,492,424,50,8,1,87,59,145,13,6,37,50,633,375,22.0,3,1,1,0,0,2,2,0,0,0,12,3,5,1,2,7,3,3,0,1,0,0,0,0,0,0,0,0,0,0,11,3,8,23,0,41,5,36,73,6,215418,40.78,21.88,18.91
204060,player,2023-24,RegularSeason,1169.02,2345,2320,201,21,54,9,10,52,122,43,15,5,1687,1395,203,30,22,316,255,510,43,5,50,62,2028,1164,104.4,12,2,2,3,4,7,7,1,1,2,12,4,8,0,0,8,4,2,0,0,1,0,0,0,0,0,1,1,0,0,18,10,8,31,1,124,15,108,183,12,439574,83.25,45.36,37.85
1629677,player,2023-24,RegularSeason,389.9,822,821,65,13,30,5,10,33,21,3,7,5,351,302,18,1,0,39,20,49,5,6,39,55,558,311,16.1,17,9,10,1,2,20,4,1,1,1,54,16,29,7,8,42,15,3,6,4,22,5,11,4,4,15,6,1,2,2,21,11,10,61,3,76,18,57,111,13,162284,30.73,16.37,14.36
1641722,player,2023-24,RegularSeason,1160.58,2394,2358,119,24,64,14,18,62,37,15,7,9,973,1112,70,7,16,103,93,179,19,7,75,106,1529,1051,46.4,15,4,9,2,2,11,5,0,0,1,21,6,10,0,0,12,9,2,1,0,0,0,0,0,0,0,0,0,0,0,29,7,22,71,2,118,24,95,209,18,498567,94.47,50.14,44.34
1630538,player,2023-24,RegularSeason,526.78,1077,1066,134,27,67,6,8,61,45,20,11,4,794,917,92,7,7,124,108,229,23,4,36,41,1142,463,92.2,9,1,4,0,0,2,5,0,0,0,11,3,6,0,0,6,3,1,1,0,3,1,2,0,0,2,0,0,1,0,5,0,4,18,1,48,10,38,77,9,210852,39.96,22.19,17.78
1626167,player,2023-24,RegularSeason,2076.46,4371,4341,155,55,105,34,44,151,13,4,12,22,1682,2073,100,8,17,133,125,250,39,144,379,645,2833,2107,70.2,264,92,148,52,68,241,65,13,13,32,442,186,273,100,126,488,75,11,19,59,99,29,60,16,20,77,18,3,7,10,113,73,39,284,10,420,135,272,743,79,811698,153.74,81.2,72.5
1628997,player,2023-24,RegularSeason,1756.6,3445,3463,343,74,164,30,40,184,117,29,23,20,1757,1699,143,6,12,241,159,368,47,29,111,172,2497,1252,136.1,36,9,12,0,0,18,21,5,2,0,91,28,50,3,4,60,30,5,5,2,1,0,1,0,0,0,0,0,0,0,74,34,39,140,5,207,30,176,357,34,760666,144.1,78.57,65.5
1641851,player,2023-24,RegularSeason,125.45,255,259,17,5,10,1,2,11,4,0,2,1,105,70,5,1,0,13,6,14,4,0,4,5,135,63,4.3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,9,1,13,0,13,21,2,52965,10.04,5.68,4.35
1630529,player,2023-24,RegularSeason,2321.47,4680,4702,248,55,122,30,34,145,83,22,20,17,2443,2082,199,12,18,288,227,481,105,62,146,219,3245,1729,136.4,40,7,9,8,10,22,21,10,2,5,108,35,48,11,14,81,42,9,8,6,0,0,0,0,0,0,0,0,0,0,74,22,49,147,7,198,55,138,372,45,934515,177.0,91.76,85.27
1627777,player,2023-24,RegularSeason,1831.19,3685,3654,315,91,168,27,34,213,101,21,20,17,2186,1736,98,13,13,184,122,261,30,18,143,211,2974,1586,81.5,19,6,10,2,2,15,7,1,1,1,53,21,33,4,4,47,13,2,3,2,9,2,4,0,0,4,4,2,1,0,22,7,15,78,2,256,51,189,436,48,724704,137.31,73.77,63.45
1628380,player,2023-24,RegularSeason,1503.52,3140,3140,135,39,85,18,22,101,22,5,15,11,1850,1823,194,24,19,315,238,496,33,51,252,432,2705,1848,81.0,269,62,106,10,12,137,136,31,16,4,318,107,169,33,40,249,88,19,19,18,131,32,61,25,32,90,33,8,9,16,118,73,45,322,12,249,79,167,465,43,600899,113.79,60.58,53.18
1630288,player,2023-24,RegularSeason,134.45,266,265,24,1,7,0,0,2,13,4,3,0,216,209,26,1,5,40,32,62,6,1,4,5,261,108,19.0,3,0,0,2,2,2,1,0,0,1,4,3,3,2,2,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,2,4,0,15,0,15,16,0,52680,9.99,5.28,4.71
1630259,player,2023-24,RegularSeason,21.82,44,44,5,2,3,0,0,4,2,0,0,0,34,39,2,0,0,4,2,6,0,0,1,1,45,14,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,1,9433,1.77,0.93,0.86
1641709,player,2023-24,RegularSeason,1571.62,3231,3254,285,68,122,23,44,162,106,29,22,22,1244,1070,120,4,11,213,133,291,67,59,101,168,1914,1063,73.5,52,14,19,3,6,32,22,2,8,3,217,86,129,9,14,182,56,10,14,7,3,0,1,0,0,0,1,0,1,0,125,68,53,223,4,272,57,212,411,25,654968,124.05,63.58,60.43
1631169,player,2023-24,RegularSeason,91.42,216,207,18,4,8,2,2,12,7,2,1,1,75,77,8,1,0,17,9,19,5,4,15,18,125,75,5.2,7,2,3,0,0,4,3,0,1,0,16,5,11,0,0,10,5,1,0,0,1,0,0,0,0,0,1,0,0,0,4,2,2,9,0,13,4,8,16,1,40663,7.7,4.18,3.55
1627783,player,2023-24,RegularSeason,2658.0,5509,5482,923,225,448,89,110,551,345,84,42,56,2956,3380,342,25,55,601,420,888,63,25,181,274,4664,2851,208.5,115,35,48,11,16,84,53,18,2,7,333,166,223,52,68,396,62,15,6,32,170,49,86,7,20,108,66,13,5,10,139,74,63,284,19,426,69,349,612,45,1067449,202.16,108.98,93.26
1629018,player,2023-24,RegularSeason,1951.84,4000,3985,245,66,161,20,24,156,55,8,14,12,1248,1715,116,11,17,212,144,288,75,10,64,83,2201,1681,86.1,24,9,16,2,2,20,5,2,1,1,45,19,25,3,4,43,10,3,5,2,3,1,2,2,2,4,0,0,0,1,23,7,16,66,4,160,25,134,254,21,743939,140.87,71.78,69.19
1628374,player,2023-24,RegularSeason,1819.72,3798,3801,247,63,138,54,59,186,59,15,12,30,1638,1618,110,6,9,189,125,288,50,26,164,245,2787,1707,85.5,104,32,48,28,30,92,32,7,5,13,257,121,177,58,66,301,23,3,7,34,63,12,34,8,8,32,15,3,3,4,122,74,49,229,8,327,105,214,485,31,725469,137.42,76.08,61.23
1628418,player,2023-24,RegularSeason,441.39,882,882,12,3,6,3,4,9,3,0,1,2,471,352,23,1,0,38,23,58,10,16,70,103,658,364,19.7,52,12,25,7,8,32,18,2,4,4,122,58,84,23,25,143,17,2,8,13,19,4,6,2,2,10,7,1,3,1,40,29,9,82,1,98,37,59,143,12,165043,31.23,16.91,14.37
