season_year,name,name_slug,rpv,miv,dpc,data_source,possessions,touches,paint_touches,paint_touches_per_poss,touches_per_poss,points_per_paint_touch,drives,drives_per_poss,points_per_drive,fga_per_drive,post_touches,post_touches_per_poss,points_per_post_touch,elbow_touches,elbow_touches_per_poss,points_per_elbow_touch,steals,blocks,dreb,def_rim_fgm,def_rim_fga,def_rim_fg%,def_rim_fga_per_poss
2017,AJ Hammons,aj-hammons,0.653,-2.565,,nba_tracking,320.0,163.0,25.0,0.0781,0.5094,0.64,2.0,0.0063,0.0,0.5,22.0,0.0688,0.0909,10.0,0.0312,0.7,1.0,13.0,28.0,16.0,31.0,0.5161,0.096
2017,Aaron Brooks,aaron-brooks,-2.347,-0.75,,nba_tracking,1697.0,1786.0,13.0,0.0077,1.0524,0.3077,267.0,0.1573,0.4045,0.4007,0.0,0.0,0.0,4.0,0.0024,1.0,22.0,9.0,51.0,38.0,51.0,0.7451,0.0299
2017,Aaron Gordon,aaron-gordon,0.375,1.669,,nba_tracking,4598.0,3097.0,267.0,0.0581,0.6736,1.1423,276.0,0.06,0.5688,0.4855,91.0,0.0198,0.6923,86.0,0.0187,0.9186,65.0,40.0,289.0,119.0,195.0,0.6103,0.0421
2017,Aaron Harrison,aaron-harrison,-2.903,-0.617,,nba_tracking,34.0,27.0,0.0,0.0,0.7941,0.0,1.0,0.0294,0.0,0.0,0.0,0.0,0.0,1.0,0.0294,0.0,0.0,0.0,3.0,3.0,5.0,0.6,0.1613
2017,Adreian Payne,adreian-payne,1.361,0.762,,nba_tracking,266.0,288.0,21.0,0.0789,1.0827,0.619,17.0,0.0639,0.5882,0.4118,11.0,0.0414,0.3636,14.0,0.0526,1.0,8.0,7.0,24.0,12.0,21.0,0.5714,0.0772
2017,Al Horford,al-horford,1.119,-2.504,,nba_tracking,4393.0,4553.0,282.0,0.0642,1.0364,0.6879,181.0,0.0412,0.5912,0.453,511.0,0.1163,0.4814,195.0,0.0444,0.3846,52.0,86.0,370.0,194.0,333.0,0.5826,0.0762
2017,Al Jefferson,al-jefferson,2.492,-2.456,,nba_tracking,1802.0,1603.0,197.0,0.1093,0.8896,1.0711,8.0,0.0044,0.5,0.625,397.0,0.2203,0.5995,175.0,0.0971,0.4514,19.0,16.0,202.0,73.0,115.0,0.6348,0.0638
2017,Al-Farouq Aminu,al-farouq-aminu,0.956,0.181,,nba_tracking,3520.0,2508.0,147.0,0.0418,0.7125,0.5782,249.0,0.0707,0.4819,0.3855,23.0,0.0065,0.3478,85.0,0.0241,0.2,60.0,44.0,374.0,126.0,210.0,0.6,0.0594
2017,Alan Anderson,alan-anderson,0.278,-2.637,,nba_tracking,605.0,307.0,4.0,0.0066,0.5074,0.5,54.0,0.0893,0.5741,0.4259,4.0,0.0066,0.5,3.0,0.005,0.0,3.0,0.0,21.0,17.0,19.0,0.8947,0.0312
2017,Alan Williams,alan-williams,2.444,-2.056,,nba_tracking,1476.0,1048.0,248.0,0.168,0.71,0.9032,9.0,0.0061,0.0,0.5556,70.0,0.0474,0.5286,109.0,0.0738,0.5321,27.0,32.0,198.0,83.0,152.0,0.5461,0.1022
2017,Alec Burks,alec-burks,0.339,-0.931,,nba_tracking,1266.0,964.0,32.0,0.0253,0.7615,0.5312,135.0,0.1066,0.6667,0.5778,0.0,0.0,0.0,23.0,0.0182,0.8696,18.0,5.0,103.0,27.0,45.0,0.6,0.0353
2017,Alex Abrines,alex-abrines,-0.218,0.52,,nba_tracking,2172.0,1262.0,22.0,0.0101,0.581,0.3182,65.0,0.0299,0.6,0.5385,2.0,0.0009,0.0,18.0,0.0083,0.3333,37.0,8.0,68.0,59.0,93.0,0.6344,0.0435
2017,Alex Len,alex-len,1.984,-1.258,,nba_tracking,3184.0,2160.0,439.0,0.1379,0.6784,0.8337,26.0,0.0082,0.8846,0.4231,207.0,0.065,0.4203,217.0,0.0682,0.447,38.0,97.0,348.0,192.0,348.0,0.5517,0.1087
2017,Alex Poythress,alex-poythress,2.474,2.722,,nba_tracking,316.0,322.0,20.0,0.0633,1.019,0.7,19.0,0.0601,0.7368,0.5263,0.0,0.0,0.0,6.0,0.019,0.5,3.0,2.0,18.0,6.0,9.0,0.6667,0.028
2017,Alexis Ajinca,alexis-ajinca,2.141,-1.04,,nba_tracking,1181.0,956.0,124.0,0.105,0.8095,0.8468,21.0,0.0178,0.7619,0.5714,24.0,0.0203,0.2083,72.0,0.061,0.6667,20.0,22.0,131.0,75.0,112.0,0.6696,0.0946
2017,Allen Crabbe,allen-crabbe,-0.907,2.008,,nba_tracking,4568.0,2461.0,50.0,0.0109,0.5387,0.58,180.0,0.0394,0.4889,0.4222,2.0,0.0004,1.0,47.0,0.0103,0.766,54.0,20.0,207.0,70.0,96.0,0.7292,0.0212
2017,Alonzo Gee,alonzo-gee,1.379,-1.125,,nba_tracking,184.0,95.0,10.0,0.0543,0.5163,0.4,6.0,0.0326,1.3333,0.5,0.0,0.0,0.0,2.0,0.0109,0.0,5.0,1.0,11.0,2.0,3.0,0.6667,0.0151
2017,Amir Johnson,amir-johnson,2.861,-2.685,,nba_tracking,3156.0,2432.0,342.0,0.1084,0.7706,0.9327,44.0,0.0139,0.7955,0.6591,71.0,0.0225,0.2958,110.0,0.0349,0.3455,51.0,62.0,248.0,157.0,300.0,0.5233,0.0939
2017,Anderson Varejao,anderson-varejao,1.923,2.202,,nba_tracking,191.0,191.0,24.0,0.1257,1.0,0.3333,7.0,0.0366,0.5714,0.5714,7.0,0.0366,0.0,17.0,0.089,0.2353,3.0,3.0,15.0,11.0,19.0,0.5789,0.099
2017,Andre Drummond,andre-drummond,2.788,-2.613,,nba_tracking,4707.0,3103.0,894.0,0.1899,0.6592,0.906,76.0,0.0161,0.5132,0.5658,408.0,0.0867,0.5956,235.0,0.0499,0.3957,124.0,89.0,770.0,226.0,356.0,0.6348,0.0757
2017,Andre Iguodala,andre-iguodala,-0.302,-1.488,,nba_tracking,4133.0,3129.0,158.0,0.0382,0.7571,0.7025,104.0,0.0252,0.3365,0.2308,53.0,0.0128,0.4151,84.0,0.0203,0.2976,76.0,39.0,253.0,97.0,146.0,0.6644,0.0354
2017,Andre Roberson,andre-roberson,0.635,-0.823,,nba_tracking,4828.0,2617.0,253.0,0.0524,0.542,0.7589,98.0,0.0203,0.4592,0.4082,5.0,0.001,0.0,76.0,0.0157,0.4868,94.0,79.0,305.0,173.0,283.0,0.6113,0.0584
2017,Andrew Bogut,andrew-bogut,2.31,-2.371,,nba_tracking,1103.0,972.0,110.0,0.0997,0.8812,0.5455,7.0,0.0063,0.0,0.5714,36.0,0.0326,0.2778,101.0,0.0916,0.1584,13.0,25.0,162.0,61.0,101.0,0.604,0.0912
2017,Andrew Harrison,andrew-harrison,-2.202,-1.827,,nba_tracking,2813.0,3223.0,27.0,0.0096,1.1458,0.5926,411.0,0.1461,0.4039,0.3017,6.0,0.0021,0.3333,24.0,0.0085,0.4167,53.0,21.0,113.0,63.0,96.0,0.6562,0.034
2017,Andrew Nicholson,andrew-nicholson,2.54,-1.415,,nba_tracking,677.0,514.0,47.0,0.0694,0.7592,0.8085,13.0,0.0192,0.6923,0.5385,40.0,0.0591,0.35,18.0,0.0266,0.4444,16.0,6.0,46.0,33.0,55.0,0.6,0.0817
2017,Andrew Wiggins,andrew-wiggins,2.177,-1.887,,nba_tracking,6036.0,4210.0,266.0,0.0441,0.6975,1.0338,784.0,0.1299,0.6276,0.4605,334.0,0.0553,0.6467,124.0,0.0205,0.5323,82.0,30.0,226.0,215.0,293.0,0.7338,0.0485
2017,Anthony Bennett,anthony-bennett,1.833,0.895,,nba_tracking,515.0,428.0,48.0,0.0932,0.8311,1.0,16.0,0.0311,0.625,0.4375,10.0,0.0194,0.8,8.0,0.0155,0.25,4.0,2.0,47.0,20.0,27.0,0.7407,0.052
2017,Anthony Brown,anthony-brown,-2.431,-0.641,,nba_tracking,307.0,193.0,7.0,0.0228,0.6287,0.5714,14.0,0.0456,0.2857,0.3571,0.0,0.0,0.0,4.0,0.013,1.0,5.0,1.0,25.0,9.0,13.0,0.6923,0.0426
2017,Anthony Davis,anthony-davis,2.74,-2.625,,nba_tracking,5500.0,5545.0,508.0,0.0924,1.0082,1.0571,386.0,0.0702,0.8497,0.6166,491.0,0.0893,0.6721,449.0,0.0816,0.7149,94.0,167.0,712.0,205.0,362.0,0.5663,0.0657
2017,Anthony Morrow,anthony-morrow,-1.04,-2.516,,nba_tracking,1461.0,629.0,11.0,0.0075,0.4305,0.3636,67.0,0.0459,0.806,0.6716,9.0,0.0062,1.1111,5.0,0.0034,1.2,24.0,2.0,19.0,30.0,49.0,0.6122,0.0344
2017,Anthony Tolliver,anthony-tolliver,-0.073,1.694,,nba_tracking,2936.0,2205.0,120.0,0.0409,0.751,0.7,82.0,0.0279,0.5366,0.3293,51.0,0.0174,0.2549,155.0,0.0528,0.0968,34.0,20.0,186.0,120.0,184.0,0.6522,0.0629
2017,Archie Goodwin,archie-goodwin,-0.835,0.169,,nba_tracking,434.0,397.0,8.0,0.0184,0.9147,1.0,72.0,0.1659,0.7361,0.4583,1.0,0.0023,0.0,3.0,0.0069,0.0,4.0,5.0,21.0,9.0,16.0,0.5625,0.0365
2017,Arinze Onuaku,arinze-onuaku,3.0,-2.964,,nba_tracking,54.0,51.0,5.0,0.0926,0.9444,0.0,0.0,0.0,0.0,0.0,10.0,0.1852,0.2,5.0,0.0926,0.4,0.0,1.0,4.0,4.0,5.0,0.8,0.0909
2017,Aron Baynes,aron-baynes,2.74,-2.649,,nba_tracking,2280.0,1069.0,325.0,0.1425,0.4689,0.8123,1.0,0.0004,0.0,1.0,77.0,0.0338,0.4805,143.0,0.0627,0.3566,17.0,39.0,222.0,94.0,180.0,0.5222,0.0785
2017,Arron Afflalo,arron-afflalo,-2.371,-0.423,,nba_tracking,3085.0,2081.0,53.0,0.0172,0.6746,0.7925,131.0,0.0425,0.4275,0.4504,116.0,0.0376,0.5862,48.0,0.0156,0.4167,21.0,6.0,116.0,64.0,84.0,0.7619,0.0272
2017,Austin Rivers,austin-rivers,-1.058,-0.883,,nba_tracking,4107.0,3694.0,49.0,0.0119,0.8994,0.6735,618.0,0.1505,0.6246,0.5032,7.0,0.0017,0.7143,25.0,0.0061,0.36,48.0,10.0,141.0,76.0,117.0,0.6496,0.0285
2017,Avery Bradley,avery-bradley,-1.016,-1.21,,nba_tracking,3682.0,2736.0,131.0,0.0356,0.7431,0.9847,214.0,0.0581,0.4626,0.5047,2.0,0.0005,0.5,72.0,0.0196,0.6111,68.0,11.0,269.0,96.0,131.0,0.7328,0.0357
2017,Axel Toupane,axel-toupane,-2.903,1.04,,nba_tracking,94.0,46.0,0.0,0.0,0.4894,0.0,2.0,0.0213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.3333,0.0323
2017,Ben Bentil,ben-bentil,0.157,1.657,,nba_tracking,22.0,12.0,0.0,0.0,0.5455,0.0,0.0,0.0,0.0,0.0,3.0,0.1364,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0435
2017,Ben McLemore,ben-mclemore,-1.149,2.226,,nba_tracking,2317.0,1629.0,76.0,0.0328,0.7031,0.7237,105.0,0.0453,0.5048,0.4571,2.0,0.0009,1.0,60.0,0.0259,0.45,29.0,6.0,110.0,51.0,75.0,0.68,0.0322
2017,Beno Udrih,beno-udrih,-2.395,2.867,,nba_tracking,1087.0,1422.0,10.0,0.0092,1.3082,0.6,181.0,0.1665,0.453,0.3481,0.0,0.0,0.0,14.0,0.0129,0.2857,13.0,0.0,51.0,22.0,30.0,0.7333,0.0279
2017,Bismack Biyombo,bismack-biyombo,1.681,-1.548,,nba_tracking,3464.0,3052.0,456.0,0.1316,0.8811,0.6886,12.0,0.0035,0.4167,0.4167,87.0,0.0251,0.4023,275.0,0.0794,0.4327,25.0,91.0,410.0,208.0,354.0,0.5876,0.1008
2017,Blake Griffin,blake-griffin,1.065,-2.806,,nba_tracking,4155.0,4875.0,312.0,0.0751,1.1733,0.8558,235.0,0.0566,0.6936,0.4723,439.0,0.1057,0.4829,359.0,0.0864,0.3816,57.0,22.0,385.0,122.0,186.0,0.6559,0.0449
2017,Boban Marjanovic,boban-marjanovic,2.401,-2.577,,nba_tracking,589.0,389.0,136.0,0.2309,0.6604,1.0368,0.0,0.0,0.0,0.0,97.0,0.1647,0.5155,33.0,0.056,0.3333,6.0,12.0,84.0,23.0,49.0,0.4694,0.0839
2017,Bobby Brown,bobby-brown,-2.298,-1.996,,nba_tracking,269.0,192.0,0.0,0.0,0.7138,0.0,25.0,0.0929,0.4,0.56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,5.0,5.0,1.0,0.0189
2017,Bobby Portis,bobby-portis,1.022,1.633,,nba_tracking,1982.0,2000.0,146.0,0.0737,1.0091,0.9726,59.0,0.0298,0.661,0.6949,67.0,0.0338,0.5821,47.0,0.0237,0.5745,16.0,11.0,221.0,84.0,126.0,0.6667,0.0637
2017,Bojan Bogdanovic,bojan-bogdanovic,-0.254,0.448,,nba_tracking,4310.0,2841.0,98.0,0.0227,0.6592,1.0204,416.0,0.0965,0.6082,0.4399,30.0,0.007,0.4667,79.0,0.0183,0.7848,34.0,7.0,240.0,108.0,161.0,0.6708,0.0377
2017,Boris Diaw,boris-diaw,1.119,0.036,,nba_tracking,2410.0,2519.0,103.0,0.0427,1.0452,0.6117,187.0,0.0776,0.5775,0.4492,274.0,0.1137,0.1898,117.0,0.0485,0.1624,18.0,9.0,112.0,96.0,148.0,0.6486,0.0613
2017,Bradley Beal,bradley-beal,-1.173,-1.222,,nba_tracking,5472.0,4154.0,121.0,0.0221,0.7591,0.9752,655.0,0.1197,0.5985,0.4626,31.0,0.0057,0.4516,118.0,0.0216,0.6525,83.0,21.0,187.0,117.0,160.0,0.7312,0.0294
2017,Brandan Wright,brandan-wright,1.5,-2.323,,nba_tracking,849.0,587.0,123.0,0.1449,0.6914,1.0407,10.0,0.0118,0.8,0.9,18.0,0.0212,0.3333,90.0,0.106,0.4,11.0,20.0,47.0,34.0,61.0,0.5574,0.0724
2017,Brandon Bass,brandon-bass,2.268,0.496,,nba_tracking,1141.0,907.0,141.0,0.1236,0.7949,0.8936,23.0,0.0202,0.6957,0.3043,86.0,0.0754,0.7093,79.0,0.0692,0.7089,14.0,11.0,86.0,46.0,65.0,0.7077,0.0568
2017,Brandon Ingram,brandon-ingram,-0.587,1.44,,nba_tracking,4638.0,3547.0,124.0,0.0267,0.7648,0.7903,377.0,0.0813,0.5172,0.4668,93.0,0.0201,0.6237,66.0,0.0142,0.5758,50.0,36.0,256.0,115.0,167.0,0.6886,0.0358
2017,Brandon Jennings,brandon-jennings,-2.607,1.875,,nba_tracking,3642.0,4429.0,42.0,0.0115,1.2161,0.3333,483.0,0.1326,0.2981,0.2795,3.0,0.0008,0.6667,28.0,0.0077,0.4286,70.0,4.0,167.0,73.0,89.0,0.8202,0.0246
2017,Brandon Knight,brandon-knight,-1.355,0.883,,nba_tracking,2323.0,2410.0,32.0,0.0138,1.0375,0.2188,375.0,0.1614,0.5467,0.456,2.0,0.0009,0.0,20.0,0.0086,0.2,27.0,5.0,92.0,53.0,71.0,0.7465,0.0304
2017,Brandon Rush,brandon-rush,-1.258,0.315,,nba_tracking,2022.0,910.0,28.0,0.0138,0.45,0.5357,52.0,0.0257,0.3269,0.3077,2.0,0.001,1.0,14.0,0.0069,0.2857,22.0,23.0,83.0,51.0,77.0,0.6623,0.0379
2017,Brian Roberts,brian-roberts,-0.919,2.613,,nba_tracking,808.0,903.0,13.0,0.0161,1.1176,0.3077,87.0,0.1077,0.3563,0.3103,2.0,0.0025,0.0,5.0,0.0062,0.0,9.0,1.0,34.0,18.0,23.0,0.7826,0.0285
2017,Briante Weber,briante-weber,-2.673,2.77,,nba_tracking,382.0,462.0,18.0,0.0471,1.2094,1.0,36.0,0.0942,0.4167,0.3889,0.0,0.0,0.0,9.0,0.0236,0.2222,12.0,1.0,18.0,10.0,12.0,0.8333,0.0312
2017,Brice Johnson,brice-johnson,2.988,-2.032,,nba_tracking,20.0,23.0,3.0,0.15,1.15,0.6667,2.0,0.1,0.0,1.0,3.0,0.15,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,5.0,0.6,0.2632
2017,Brook Lopez,brook-lopez,2.879,-2.081,,nba_tracking,4706.0,3827.0,392.0,0.0833,0.8132,1.0255,248.0,0.0527,0.8024,0.5726,734.0,0.156,0.5014,280.0,0.0595,0.625,38.0,124.0,282.0,175.0,295.0,0.5932,0.0633
2017,Bruno Caboclo,bruno-caboclo,2.903,2.891,,nba_tracking,81.0,54.0,5.0,0.0617,0.6667,0.4,4.0,0.0494,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0128
2017,Bryn Forbes,bryn-forbes,-2.48,2.069,,nba_tracking,553.0,433.0,0.0,0.0,0.783,0.0,20.0,0.0362,0.3,0.55,0.0,0.0,0.0,3.0,0.0054,0.0,1.0,0.0,20.0,12.0,18.0,0.6667,0.0327
2017,Buddy Hield,buddy-hield,-2.238,2.637,,nba_tracking,3807.0,2720.0,65.0,0.0171,0.7145,0.7538,347.0,0.0911,0.4957,0.4438,6.0,0.0016,0.0,52.0,0.0137,0.3846,38.0,9.0,234.0,126.0,168.0,0.75,0.0443
2017,C.J. Watson,c-j-watson,-2.335,0.81,,nba_tracking,2020.0,1636.0,29.0,0.0144,0.8099,1.2069,115.0,0.0569,0.3217,0.3043,1.0,0.0005,2.0,22.0,0.0109,0.6364,43.0,2.0,73.0,41.0,48.0,0.8542,0.0236
2017,CJ McCollum,cj-mccollum,-1.948,2.794,,nba_tracking,5619.0,5078.0,82.0,0.0146,0.9037,0.6341,805.0,0.1433,0.641,0.528,14.0,0.0025,0.4286,71.0,0.0126,0.7042,72.0,42.0,229.0,101.0,169.0,0.5976,0.0302
2017,CJ Miles,cj-miles,-0.798,-2.044,,nba_tracking,3483.0,2016.0,49.0,0.0141,0.5788,1.0408,120.0,0.0345,0.6667,0.525,10.0,0.0029,0.7,40.0,0.0115,0.475,46.0,25.0,197.0,55.0,78.0,0.7051,0.0225
2017,CJ Wilcox,cj-wilcox,-2.704,-1.863,,nba_tracking,216.0,125.0,2.0,0.0093,0.5787,0.0,10.0,0.0463,0.4,0.3,0.0,0.0,0.0,5.0,0.0231,0.0,2.0,1.0,8.0,11.0,16.0,0.6875,0.0731
2017,Cameron Payne,cameron-payne,-2.456,0.653,,nba_tracking,926.0,934.0,12.0,0.013,1.0086,0.5,109.0,0.1177,0.3761,0.4587,1.0,0.0011,0.0,6.0,0.0065,0.0,14.0,4.0,45.0,22.0,29.0,0.7586,0.0314
2017,Caris LeVert,caris-levert,-1.778,0.121,,nba_tracking,2588.0,1727.0,38.0,0.0147,0.6673,0.6579,282.0,0.109,0.5035,0.3511,6.0,0.0023,0.6667,24.0,0.0093,0.6667,48.0,8.0,164.0,52.0,77.0,0.6753,0.0295
2017,Carmelo Anthony,carmelo-anthony,0.992,-2.419,,nba_tracking,5064.0,4431.0,156.0,0.0308,0.875,0.8718,169.0,0.0334,0.7515,0.5917,463.0,0.0914,0.6695,242.0,0.0478,0.6116,60.0,34.0,376.0,124.0,193.0,0.6425,0.0382
2017,Chandler Parsons,chandler-parsons,-0.46,0.641,,nba_tracking,1293.0,993.0,26.0,0.0201,0.768,0.6923,104.0,0.0804,0.4231,0.4615,23.0,0.0178,0.7391,24.0,0.0186,0.3333,20.0,5.0,78.0,27.0,37.0,0.7297,0.0287
2017,Channing Frye,channing-frye,1.657,-2.347,,nba_tracking,2793.0,2402.0,118.0,0.0422,0.86,0.8475,49.0,0.0175,0.6939,0.551,64.0,0.0229,0.5156,71.0,0.0254,0.5211,33.0,37.0,253.0,158.0,260.0,0.6077,0.0935
2017,Chasson Randle,chasson-randle,-0.671,2.625,,nba_tracking,601.0,699.0,11.0,0.0183,1.1631,0.9091,79.0,0.1314,0.5696,0.3544,1.0,0.0017,0.0,4.0,0.0067,0.5,9.0,2.0,26.0,15.0,23.0,0.6522,0.0378
2017,Cheick Diallo,cheick-diallo,0.804,-0.266,,nba_tracking,406.0,295.0,39.0,0.0961,0.7266,0.9487,7.0,0.0172,1.0,0.7143,20.0,0.0493,0.7,20.0,0.0493,0.8,4.0,7.0,50.0,27.0,33.0,0.8182,0.0803
2017,Chinanu Onuaku,chinanu-onuaku,0.175,-1.802,,nba_tracking,109.0,65.0,11.0,0.1009,0.5963,1.0909,2.0,0.0183,1.0,0.0,2.0,0.0183,0.0,2.0,0.0183,1.0,3.0,1.0,8.0,8.0,9.0,0.8889,0.0826
2017,Chris Andersen,chris-andersen,2.014,-2.734,,nba_tracking,225.0,157.0,18.0,0.08,0.6978,0.6667,4.0,0.0178,1.0,0.5,1.0,0.0044,0.0,8.0,0.0356,0.75,5.0,7.0,22.0,17.0,30.0,0.5667,0.1322
2017,Chris McCullough,chris-mccullough,-1.839,-0.024,,nba_tracking,168.0,149.0,19.0,0.1131,0.8869,0.6316,6.0,0.0357,1.0,0.1667,1.0,0.006,0.0,8.0,0.0476,1.375,2.0,2.0,10.0,8.0,12.0,0.6667,0.0698
2017,Chris Paul,chris-paul,-1.79,-1.923,,nba_tracking,3833.0,5254.0,45.0,0.0117,1.3707,0.4222,593.0,0.1547,0.371,0.3103,100.0,0.0261,0.63,69.0,0.018,0.2609,119.0,8.0,264.0,95.0,126.0,0.754,0.0331
2017,Christian Wood,christian-wood,1.101,2.19,,nba_tracking,205.0,126.0,20.0,0.0976,0.6146,1.2,7.0,0.0341,0.2857,0.4286,3.0,0.0146,0.3333,7.0,0.0341,0.4286,3.0,6.0,15.0,10.0,11.0,0.9091,0.0545
2017,Clint Capela,clint-capela,2.595,-1.282,,nba_tracking,3164.0,2837.0,649.0,0.2051,0.8966,0.98,37.0,0.0117,0.4865,0.4865,35.0,0.0111,0.7143,260.0,0.0822,0.5538,34.0,79.0,348.0,226.0,374.0,0.6043,0.118
2017,Cody Zeller,cody-zeller,2.087,1.089,,nba_tracking,3406.0,1817.0,378.0,0.111,0.5335,0.8148,79.0,0.0232,0.6203,0.5949,43.0,0.0126,0.4186,330.0,0.0969,0.5424,62.0,58.0,270.0,150.0,242.0,0.6198,0.0713
2017,Cole Aldrich,cole-aldrich,1.754,-0.956,,nba_tracking,1041.0,722.0,130.0,0.1249,0.6936,0.6308,5.0,0.0048,0.8,0.2,16.0,0.0154,0.375,88.0,0.0845,0.2386,25.0,23.0,107.0,78.0,113.0,0.6903,0.1079
2017,Corey Brewer,corey-brewer,-1.56,-2.02,,nba_tracking,2602.0,1409.0,69.0,0.0265,0.5415,0.7681,168.0,0.0646,0.5,0.5179,3.0,0.0012,1.3333,29.0,0.0111,0.6207,61.0,20.0,134.0,70.0,94.0,0.7447,0.0359
2017,Cory Joseph,cory-joseph,0.302,2.54,,nba_tracking,3885.0,4177.0,82.0,0.0211,1.0752,0.3902,621.0,0.1598,0.4348,0.4138,7.0,0.0018,0.0,31.0,0.008,0.6452,66.0,13.0,178.0,95.0,141.0,0.6738,0.0362
2017,Courtney Lee,courtney-lee,-2.492,-0.714,,nba_tracking,4884.0,3266.0,66.0,0.0135,0.6687,0.5758,264.0,0.0541,0.4583,0.4583,5.0,0.001,0.0,64.0,0.0131,0.5156,81.0,24.0,206.0,117.0,156.0,0.75,0.0321
2017,Cristiano Felicio,cristiano-felicio,1.542,-0.871,,nba_tracking,2040.0,1397.0,267.0,0.1309,0.6848,0.9139,19.0,0.0093,0.6842,0.4211,25.0,0.0123,0.28,101.0,0.0495,0.3861,25.0,17.0,187.0,131.0,206.0,0.6359,0.1007
